Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,AKSI,125.0,125.0,125.0,125.0,0
2014-10-21,AKSI,125.0,125.0,125.0,125.0,0
2014-10-22,AKSI,125.0,125.0,125.0,125.0,0
2014-10-23,AKSI,125.0,125.0,125.0,125.0,0
2014-10-24,AKSI,125.0,125.0,125.0,125.0,0
2014-10-27,AKSI,125.0,125.0,125.0,125.0,0
2014-10-28,AKSI,125.0,125.0,125.0,125.0,0
2014-10-29,AKSI,125.0,125.0,125.0,125.0,0
2014-10-30,AKSI,125.0,125.0,125.0,125.0,0
2014-10-31,AKSI,125.0,125.0,125.0,125.0,0
2014-11-03,AKSI,125.0,125.0,125.0,125.0,0
2014-11-04,AKSI,125.0,125.0,125.0,125.0,0
2014-11-05,AKSI,125.0,125.0,125.0,125.0,0
2014-11-06,AKSI,125.0,125.0,125.0,125.0,0
2014-11-07,AKSI,125.0,125.0,125.0,125.0,0
2014-11-10,AKSI,125.0,125.0,125.0,125.0,0
2014-11-11,AKSI,125.0,125.0,125.0,125.0,0
2014-11-12,AKSI,125.0,125.0,125.0,125.0,0
2014-11-13,AKSI,125.0,125.0,125.0,125.0,0
2014-11-14,AKSI,125.0,125.0,125.0,125.0,0
2014-11-17,AKSI,125.0,125.0,125.0,125.0,0
2014-11-18,AKSI,125.0,125.0,125.0,125.0,0
2014-11-19,AKSI,125.0,125.0,125.0,125.0,0
2014-11-20,AKSI,125.0,125.0,125.0,125.0,0
2014-11-21,AKSI,125.0,125.0,125.0,125.0,0
2014-11-24,AKSI,125.0,125.0,125.0,125.0,0
2014-11-25,AKSI,125.0,125.0,125.0,125.0,0
2014-11-26,AKSI,125.0,125.0,125.0,125.0,0
2014-11-27,AKSI,125.0,125.0,125.0,125.0,0
2014-11-28,AKSI,125.0,125.0,125.0,125.0,0
2014-12-01,AKSI,125.0,125.0,125.0,125.0,0
2014-12-02,AKSI,125.0,125.0,125.0,125.0,0
2014-12-03,AKSI,125.0,125.0,125.0,125.0,0
2014-12-04,AKSI,125.0,125.0,125.0,125.0,0
2014-12-05,AKSI,125.0,125.0,125.0,125.0,0
2014-12-08,AKSI,125.0,125.0,125.0,125.0,0
2014-12-09,AKSI,125.0,125.0,125.0,125.0,0
2014-12-10,AKSI,125.0,125.0,125.0,125.0,0
2014-12-11,AKSI,125.0,125.0,125.0,125.0,0
2014-12-12,AKSI,125.0,125.0,125.0,125.0,0
2014-12-15,AKSI,125.0,125.0,125.0,125.0,0
2014-12-16,AKSI,125.0,125.0,125.0,125.0,0
2014-12-17,AKSI,125.0,125.0,125.0,125.0,0
2014-12-18,AKSI,125.0,125.0,125.0,125.0,0
2014-12-19,AKSI,125.0,125.0,125.0,125.0,0
2014-12-22,AKSI,125.0,125.0,125.0,125.0,0
2014-12-23,AKSI,125.0,125.0,125.0,125.0,0
2014-12-24,AKSI,125.0,125.0,125.0,125.0,0
2014-12-29,AKSI,125.0,125.0,125.0,125.0,0
2014-12-30,AKSI,125.0,125.0,125.0,125.0,0
2015-01-02,AKSI,125.0,125.0,125.0,125.0,0
2015-01-05,AKSI,125.0,125.0,125.0,125.0,0
2015-01-06,AKSI,125.0,125.0,125.0,125.0,0
2015-01-07,AKSI,125.0,125.0,125.0,125.0,0
2015-01-08,AKSI,125.0,125.0,125.0,125.0,0
2015-01-09,AKSI,125.0,125.0,125.0,125.0,0
2015-01-12,AKSI,125.0,125.0,125.0,125.0,0
2015-01-13,AKSI,125.0,125.0,125.0,125.0,0
2015-01-14,AKSI,125.0,125.0,125.0,125.0,0
2015-01-15,AKSI,125.0,125.0,125.0,125.0,0
2015-01-16,AKSI,125.0,125.0,125.0,125.0,0
2015-01-19,AKSI,125.0,125.0,125.0,125.0,0
2015-01-20,AKSI,125.0,125.0,125.0,125.0,0
2015-01-21,AKSI,125.0,125.0,125.0,125.0,0
2015-01-22,AKSI,125.0,125.0,125.0,125.0,0
2015-01-23,AKSI,125.0,125.0,125.0,125.0,0
2015-01-26,AKSI,125.0,125.0,125.0,125.0,0
2015-01-27,AKSI,125.0,125.0,125.0,125.0,0
2015-01-28,AKSI,125.0,125.0,125.0,125.0,0
2015-01-29,AKSI,125.0,125.0,125.0,125.0,0
2015-01-30,AKSI,125.0,125.0,125.0,125.0,0
2015-02-02,AKSI,125.0,125.0,125.0,125.0,0
2015-02-03,AKSI,125.0,125.0,125.0,125.0,0
2015-02-04,AKSI,125.0,125.0,125.0,125.0,0
2015-02-05,AKSI,125.0,125.0,125.0,125.0,0
2015-02-06,AKSI,125.0,125.0,125.0,125.0,0
2015-02-09,AKSI,125.0,125.0,125.0,125.0,0
2015-02-10,AKSI,125.0,125.0,125.0,125.0,0
2015-02-11,AKSI,125.0,125.0,125.0,125.0,0
2015-02-12,AKSI,125.0,125.0,125.0,125.0,0
2015-02-13,AKSI,125.0,125.0,125.0,125.0,0
2015-02-16,AKSI,125.0,125.0,125.0,125.0,0
2015-02-17,AKSI,125.0,125.0,125.0,125.0,0
2015-02-18,AKSI,125.0,125.0,125.0,125.0,0
2015-02-20,AKSI,125.0,125.0,125.0,125.0,0
2015-02-23,AKSI,125.0,125.0,125.0,125.0,0
2015-02-24,AKSI,125.0,125.0,125.0,125.0,0
2015-02-25,AKSI,125.0,125.0,125.0,125.0,0
2015-02-26,AKSI,125.0,125.0,125.0,125.0,0
2015-02-27,AKSI,125.0,125.0,125.0,125.0,0
2015-03-02,AKSI,125.0,125.0,125.0,125.0,0
2015-03-03,AKSI,125.0,125.0,125.0,125.0,0
2015-03-04,AKSI,125.0,125.0,125.0,125.0,0
2015-03-05,AKSI,125.0,125.0,125.0,125.0,0
2015-03-06,AKSI,125.0,125.0,125.0,125.0,0
2015-03-09,AKSI,125.0,125.0,125.0,125.0,0
2015-03-10,AKSI,125.0,125.0,125.0,125.0,0
2015-03-11,AKSI,125.0,125.0,125.0,125.0,0
2015-03-12,AKSI,125.0,125.0,125.0,125.0,0
2015-03-13,AKSI,125.0,125.0,125.0,125.0,0
2015-03-16,AKSI,125.0,125.0,125.0,125.0,0
2015-03-17,AKSI,125.0,125.0,125.0,125.0,0
2015-03-18,AKSI,125.0,125.0,125.0,125.0,0
2015-03-19,AKSI,125.0,125.0,125.0,125.0,0
2015-03-20,AKSI,125.0,125.0,125.0,125.0,0
2015-03-23,AKSI,125.0,125.0,125.0,125.0,0
2015-03-24,AKSI,125.0,125.0,125.0,125.0,0
2015-03-25,AKSI,125.0,125.0,125.0,125.0,0
2015-03-26,AKSI,125.0,125.0,125.0,125.0,0
2015-03-27,AKSI,125.0,125.0,125.0,125.0,0
2015-03-30,AKSI,125.0,125.0,125.0,125.0,0
2015-03-31,AKSI,125.0,125.0,125.0,125.0,0
2015-04-01,AKSI,125.0,125.0,125.0,125.0,0
2015-04-02,AKSI,125.0,125.0,125.0,125.0,0
2015-04-06,AKSI,125.0,125.0,125.0,125.0,0
2015-04-07,AKSI,125.0,125.0,125.0,125.0,0
2015-04-08,AKSI,125.0,125.0,125.0,125.0,0
2015-04-09,AKSI,125.0,125.0,125.0,125.0,0
2015-04-10,AKSI,125.0,125.0,125.0,125.0,0
2015-04-13,AKSI,125.0,125.0,125.0,125.0,0
2015-04-14,AKSI,125.0,125.0,125.0,125.0,0
2015-04-15,AKSI,125.0,125.0,125.0,125.0,0
2015-04-16,AKSI,125.0,125.0,125.0,125.0,0
2015-04-17,AKSI,125.0,125.0,125.0,125.0,0
2015-04-20,AKSI,125.0,125.0,125.0,125.0,0
2015-04-21,AKSI,125.0,125.0,125.0,125.0,0
2015-04-22,AKSI,125.0,125.0,125.0,125.0,0
2015-04-23,AKSI,125.0,125.0,125.0,125.0,0
2015-04-24,AKSI,125.0,125.0,125.0,125.0,0
2015-04-27,AKSI,125.0,125.0,125.0,125.0,0
2015-04-28,AKSI,125.0,125.0,125.0,125.0,0
2015-04-29,AKSI,125.0,125.0,125.0,125.0,0
2015-04-30,AKSI,125.0,125.0,125.0,125.0,0
2015-05-04,AKSI,125.0,125.0,125.0,125.0,0
2015-05-05,AKSI,125.0,125.0,125.0,125.0,0
2015-05-06,AKSI,125.0,125.0,125.0,125.0,0
2015-05-07,AKSI,125.0,125.0,125.0,125.0,0
2015-05-08,AKSI,125.0,125.0,125.0,125.0,0
2015-05-11,AKSI,125.0,125.0,125.0,125.0,0
2015-05-12,AKSI,125.0,125.0,125.0,125.0,0
2015-05-13,AKSI,125.0,125.0,125.0,125.0,0
2015-05-15,AKSI,125.0,125.0,125.0,125.0,0
2015-05-18,AKSI,125.0,125.0,125.0,125.0,0
2015-05-19,AKSI,125.0,125.0,125.0,125.0,0
2015-05-20,AKSI,125.0,125.0,125.0,125.0,0
2015-05-21,AKSI,125.0,125.0,125.0,125.0,0
2015-05-22,AKSI,125.0,125.0,125.0,125.0,0
2015-05-25,AKSI,125.0,125.0,125.0,125.0,0
2015-05-26,AKSI,125.0,125.0,125.0,125.0,0
2015-05-27,AKSI,125.0,125.0,125.0,125.0,0
2015-05-28,AKSI,125.0,125.0,125.0,125.0,0
2015-05-29,AKSI,125.0,125.0,125.0,125.0,0
2015-06-01,AKSI,125.0,125.0,125.0,125.0,0
2015-06-03,AKSI,125.0,125.0,125.0,125.0,0
2015-06-04,AKSI,125.0,125.0,125.0,125.0,0
2015-06-05,AKSI,125.0,125.0,125.0,125.0,0
2015-06-08,AKSI,125.0,125.0,125.0,125.0,0
2015-06-09,AKSI,125.0,125.0,125.0,125.0,0
2015-06-10,AKSI,125.0,125.0,125.0,125.0,0
2015-06-11,AKSI,125.0,125.0,125.0,125.0,0
2015-06-12,AKSI,125.0,125.0,125.0,125.0,0
2015-06-15,AKSI,125.0,125.0,125.0,125.0,0
2015-06-16,AKSI,125.0,125.0,125.0,125.0,0
2015-06-17,AKSI,125.0,125.0,125.0,125.0,0
2015-06-18,AKSI,125.0,125.0,125.0,125.0,0
2015-06-19,AKSI,125.0,125.0,125.0,125.0,0
2015-06-22,AKSI,125.0,125.0,125.0,125.0,0
2015-06-23,AKSI,125.0,125.0,125.0,125.0,0
2015-06-24,AKSI,125.0,125.0,125.0,125.0,0
2015-06-25,AKSI,125.0,125.0,125.0,125.0,0
2015-06-26,AKSI,125.0,125.0,125.0,125.0,0
2015-06-29,AKSI,125.0,125.0,125.0,125.0,0
2015-06-30,AKSI,125.0,125.0,125.0,125.0,0
2015-07-01,AKSI,125.0,125.0,125.0,125.0,0
2015-07-02,AKSI,125.0,125.0,125.0,125.0,0
2015-07-03,AKSI,125.0,125.0,125.0,125.0,0
2015-07-06,AKSI,125.0,125.0,125.0,125.0,0
2015-07-07,AKSI,125.0,125.0,125.0,125.0,0
2015-07-08,AKSI,125.0,125.0,125.0,125.0,0
2015-07-09,AKSI,125.0,125.0,125.0,125.0,0
2015-07-10,AKSI,125.0,125.0,125.0,125.0,0
2015-07-13,AKSI,125.0,125.0,125.0,125.0,0
2015-07-14,AKSI,125.0,125.0,125.0,125.0,0
2015-07-15,AKSI,125.0,125.0,125.0,125.0,0
2015-07-22,AKSI,125.0,125.0,125.0,125.0,0
2015-07-23,AKSI,125.0,125.0,125.0,125.0,0
2015-07-24,AKSI,125.0,125.0,125.0,125.0,0
2015-07-27,AKSI,125.0,125.0,125.0,125.0,0
2015-07-28,AKSI,125.0,125.0,125.0,125.0,0
2015-07-29,AKSI,125.0,125.0,125.0,125.0,0
2015-07-30,AKSI,125.0,125.0,125.0,125.0,0
2015-07-31,AKSI,125.0,125.0,125.0,125.0,0
2015-08-03,AKSI,125.0,125.0,125.0,125.0,0
2015-08-04,AKSI,125.0,125.0,125.0,125.0,0
2015-08-05,AKSI,125.0,125.0,125.0,125.0,0
2015-08-06,AKSI,125.0,125.0,125.0,125.0,0
2015-08-07,AKSI,125.0,125.0,125.0,125.0,0
2015-08-10,AKSI,125.0,125.0,125.0,125.0,0
2015-08-11,AKSI,125.0,125.0,125.0,125.0,0
2015-08-12,AKSI,125.0,125.0,125.0,125.0,0
2015-08-13,AKSI,125.0,125.0,125.0,125.0,0
2015-08-14,AKSI,125.0,125.0,125.0,125.0,0
2015-08-18,AKSI,125.0,125.0,125.0,125.0,0
2015-08-19,AKSI,125.0,125.0,125.0,125.0,0
2015-08-20,AKSI,125.0,125.0,125.0,125.0,0
2015-08-21,AKSI,125.0,125.0,125.0,125.0,0
2015-08-24,AKSI,125.0,125.0,125.0,125.0,0
2015-08-25,AKSI,125.0,125.0,125.0,125.0,0
2015-08-26,AKSI,125.0,125.0,125.0,125.0,0
2015-08-27,AKSI,125.0,125.0,125.0,125.0,0
2015-08-28,AKSI,125.0,125.0,125.0,125.0,0
2015-08-31,AKSI,125.0,125.0,125.0,125.0,0
2015-09-01,AKSI,125.0,125.0,125.0,125.0,0
2015-09-02,AKSI,125.0,125.0,125.0,125.0,0
2015-09-03,AKSI,125.0,125.0,125.0,125.0,0
2015-09-04,AKSI,125.0,125.0,125.0,125.0,0
2015-09-07,AKSI,125.0,125.0,125.0,125.0,0
2015-09-08,AKSI,125.0,125.0,125.0,125.0,0
2015-09-09,AKSI,125.0,125.0,125.0,125.0,0
2015-09-10,AKSI,125.0,125.0,125.0,125.0,0
2015-09-11,AKSI,125.0,125.0,125.0,125.0,0
2015-09-14,AKSI,125.0,125.0,125.0,125.0,0
2015-09-15,AKSI,125.0,125.0,125.0,125.0,0
2015-09-16,AKSI,125.0,125.0,125.0,125.0,0
2015-09-17,AKSI,125.0,125.0,125.0,125.0,0
2015-09-18,AKSI,125.0,125.0,125.0,125.0,0
2015-09-21,AKSI,125.0,125.0,125.0,125.0,0
2015-09-22,AKSI,125.0,125.0,125.0,125.0,0
2015-09-23,AKSI,125.0,125.0,125.0,125.0,0
2015-09-25,AKSI,125.0,125.0,125.0,125.0,0
2015-09-28,AKSI,125.0,125.0,125.0,125.0,0
2015-09-29,AKSI,125.0,125.0,125.0,125.0,0
2015-09-30,AKSI,125.0,125.0,125.0,125.0,0
2015-10-01,AKSI,125.0,125.0,125.0,125.0,0
2015-10-02,AKSI,125.0,125.0,125.0,125.0,0
2015-10-05,AKSI,125.0,125.0,125.0,125.0,0
2015-10-06,AKSI,125.0,125.0,125.0,125.0,0
2015-10-07,AKSI,125.0,125.0,125.0,125.0,0
2015-10-08,AKSI,125.0,125.0,125.0,125.0,0
2015-10-09,AKSI,125.0,125.0,125.0,125.0,0
2015-10-12,AKSI,125.0,125.0,125.0,125.0,0
2015-10-13,AKSI,125.0,125.0,125.0,125.0,0
2015-10-15,AKSI,125.0,125.0,125.0,125.0,0
2015-10-16,AKSI,125.0,125.0,125.0,125.0,0
2015-10-19,AKSI,125.0,125.0,125.0,125.0,0
2015-10-20,AKSI,125.0,125.0,125.0,125.0,0
2015-10-21,AKSI,125.0,125.0,125.0,125.0,0
2015-10-22,AKSI,125.0,125.0,125.0,125.0,0
2015-10-23,AKSI,125.0,125.0,125.0,125.0,0
2015-10-26,AKSI,125.0,125.0,125.0,125.0,0
2015-10-27,AKSI,125.0,125.0,125.0,125.0,0
2015-10-28,AKSI,125.0,125.0,125.0,125.0,0
2015-10-29,AKSI,125.0,125.0,125.0,125.0,0
2015-10-30,AKSI,125.0,125.0,125.0,125.0,0
2015-11-02,AKSI,125.0,125.0,125.0,125.0,0
2015-11-03,AKSI,125.0,125.0,125.0,125.0,0
2015-11-04,AKSI,125.0,125.0,125.0,125.0,0
2015-11-05,AKSI,125.0,125.0,125.0,125.0,0
2015-11-06,AKSI,125.0,125.0,125.0,125.0,0
2015-11-09,AKSI,125.0,125.0,125.0,125.0,0
2015-11-10,AKSI,125.0,125.0,125.0,125.0,0
2015-11-11,AKSI,125.0,125.0,125.0,125.0,0
2015-11-12,AKSI,125.0,125.0,125.0,125.0,0
2015-11-13,AKSI,125.0,125.0,125.0,125.0,0
2015-11-16,AKSI,125.0,125.0,125.0,125.0,0
2015-11-17,AKSI,125.0,125.0,125.0,125.0,0
2015-11-18,AKSI,125.0,125.0,125.0,125.0,0
2015-11-19,AKSI,125.0,125.0,125.0,125.0,0
2015-11-20,AKSI,125.0,125.0,125.0,125.0,0
2015-11-23,AKSI,125.0,125.0,125.0,125.0,0
2015-11-24,AKSI,125.0,125.0,125.0,125.0,0
2015-11-25,AKSI,125.0,125.0,125.0,125.0,0
2015-11-26,AKSI,125.0,125.0,125.0,125.0,0
2015-11-27,AKSI,125.0,125.0,125.0,125.0,0
2015-11-30,AKSI,125.0,125.0,125.0,125.0,0
2015-12-01,AKSI,125.0,125.0,125.0,125.0,0
2015-12-02,AKSI,125.0,125.0,125.0,125.0,0
2015-12-03,AKSI,125.0,125.0,125.0,125.0,0
2015-12-04,AKSI,125.0,125.0,125.0,125.0,0
2015-12-07,AKSI,125.0,125.0,125.0,125.0,0
2015-12-08,AKSI,125.0,125.0,125.0,125.0,0
2015-12-09,AKSI,125.0,125.0,125.0,125.0,0
2015-12-10,AKSI,125.0,125.0,125.0,125.0,0
2015-12-11,AKSI,125.0,125.0,125.0,125.0,0
2015-12-14,AKSI,125.0,125.0,125.0,125.0,0
2015-12-15,AKSI,125.0,125.0,125.0,125.0,0
2015-12-16,AKSI,125.0,125.0,125.0,125.0,0
2015-12-17,AKSI,125.0,125.0,125.0,125.0,0
2015-12-18,AKSI,125.0,125.0,125.0,125.0,0
2015-12-21,AKSI,125.0,125.0,125.0,125.0,0
2015-12-22,AKSI,125.0,125.0,125.0,125.0,0
2015-12-23,AKSI,125.0,125.0,125.0,125.0,0
2015-12-28,AKSI,125.0,125.0,125.0,125.0,0
2015-12-29,AKSI,125.0,125.0,125.0,125.0,0
2015-12-30,AKSI,125.0,125.0,125.0,125.0,0
2016-01-04,AKSI,125.0,125.0,125.0,125.0,0
2016-01-05,AKSI,125.0,125.0,125.0,125.0,0
2016-01-06,AKSI,125.0,125.0,125.0,125.0,0
2016-01-07,AKSI,125.0,125.0,125.0,125.0,0
2016-01-08,AKSI,125.0,125.0,125.0,125.0,0
2016-01-11,AKSI,125.0,125.0,125.0,125.0,0
2016-01-12,AKSI,125.0,125.0,125.0,125.0,0
2016-01-13,AKSI,125.0,125.0,125.0,125.0,0
2016-01-14,AKSI,125.0,125.0,125.0,125.0,0
2016-01-15,AKSI,125.0,125.0,125.0,125.0,0
2016-01-18,AKSI,125.0,125.0,125.0,125.0,0
2016-01-19,AKSI,125.0,125.0,125.0,125.0,0
2016-01-20,AKSI,125.0,125.0,125.0,125.0,0
2016-01-21,AKSI,125.0,125.0,125.0,125.0,0
2016-01-22,AKSI,125.0,125.0,125.0,125.0,0
2016-01-25,AKSI,125.0,125.0,125.0,125.0,0
2016-01-26,AKSI,125.0,125.0,125.0,125.0,0
2016-01-27,AKSI,125.0,125.0,125.0,125.0,0
2016-01-28,AKSI,125.0,125.0,125.0,125.0,0
2016-01-29,AKSI,125.0,125.0,125.0,125.0,0
2016-02-01,AKSI,125.0,125.0,125.0,125.0,0
2016-02-02,AKSI,125.0,125.0,125.0,125.0,0
2016-02-03,AKSI,125.0,125.0,125.0,125.0,0
2016-02-04,AKSI,125.0,125.0,125.0,125.0,0
2016-02-05,AKSI,125.0,125.0,125.0,125.0,0
2016-02-09,AKSI,125.0,125.0,125.0,125.0,0
2016-02-10,AKSI,125.0,125.0,125.0,125.0,0
2016-02-11,AKSI,125.0,125.0,125.0,125.0,0
2016-02-12,AKSI,125.0,125.0,125.0,125.0,0
2016-02-15,AKSI,125.0,125.0,125.0,125.0,0
2016-02-16,AKSI,125.0,125.0,125.0,125.0,0
2016-02-17,AKSI,125.0,125.0,125.0,125.0,0
2016-02-18,AKSI,125.0,125.0,125.0,125.0,0
2016-02-19,AKSI,125.0,125.0,125.0,125.0,0
2016-02-22,AKSI,125.0,125.0,125.0,125.0,0
2016-02-23,AKSI,125.0,125.0,125.0,125.0,0
2016-02-24,AKSI,125.0,125.0,125.0,125.0,0
2016-02-25,AKSI,125.0,125.0,125.0,125.0,0
2016-02-26,AKSI,125.0,125.0,125.0,125.0,0
2016-02-29,AKSI,125.0,125.0,125.0,125.0,0
2016-03-01,AKSI,125.0,125.0,125.0,125.0,0
2016-03-02,AKSI,125.0,125.0,125.0,125.0,0
2016-03-03,AKSI,125.0,125.0,125.0,125.0,0
2016-03-04,AKSI,125.0,125.0,125.0,125.0,0
2016-03-07,AKSI,125.0,125.0,125.0,125.0,0
2016-03-08,AKSI,125.0,125.0,125.0,125.0,0
2016-03-10,AKSI,125.0,125.0,125.0,125.0,0
2016-03-11,AKSI,125.0,125.0,125.0,125.0,0
2016-03-14,AKSI,125.0,125.0,125.0,125.0,0
2016-03-15,AKSI,125.0,125.0,125.0,125.0,0
2016-03-16,AKSI,125.0,125.0,125.0,125.0,0
2016-03-17,AKSI,125.0,125.0,125.0,125.0,0
2016-03-18,AKSI,125.0,125.0,125.0,125.0,0
2016-03-21,AKSI,125.0,125.0,125.0,125.0,0
2016-03-22,AKSI,125.0,125.0,125.0,125.0,0
2016-03-23,AKSI,125.0,125.0,125.0,125.0,0
2016-03-24,AKSI,125.0,125.0,125.0,125.0,0
2016-03-28,AKSI,125.0,125.0,125.0,125.0,0
