Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,AMFG,6475.0,6650.0,6425.0,6475.0,34600
2014-10-21,AMFG,6400.0,6575.0,6325.0,6400.0,581200
2014-10-22,AMFG,6600.0,6625.0,6500.0,6600.0,26900
2014-10-23,AMFG,6425.0,6450.0,6375.0,6425.0,268600
2014-10-24,AMFG,6350.0,6425.0,6300.0,6350.0,154600
2014-10-27,AMFG,6450.0,6450.0,6275.0,6450.0,17800
2014-10-28,AMFG,6425.0,6425.0,6325.0,6425.0,42100
2014-10-29,AMFG,6650.0,6700.0,6425.0,6650.0,37000
2014-10-30,AMFG,6600.0,6750.0,6450.0,6600.0,16200
2014-10-31,AMFG,6700.0,6750.0,6450.0,6700.0,689600
2014-11-03,AMFG,6425.0,6600.0,6400.0,6425.0,904400
2014-11-04,AMFG,6850.0,7175.0,6400.0,6850.0,400000
2014-11-05,AMFG,6600.0,6900.0,6500.0,6600.0,388200
2014-11-06,AMFG,6600.0,6700.0,6550.0,6600.0,174100
2014-11-07,AMFG,6650.0,6850.0,6600.0,6650.0,478900
2014-11-10,AMFG,6625.0,6750.0,6600.0,6625.0,217600
2014-11-11,AMFG,6675.0,6700.0,6600.0,6675.0,630900
2014-11-12,AMFG,7025.0,7100.0,6650.0,7025.0,755400
2014-11-13,AMFG,7250.0,7350.0,7025.0,7250.0,148600
2014-11-14,AMFG,7025.0,7250.0,7025.0,7025.0,244700
2014-11-17,AMFG,7025.0,7150.0,6925.0,7000.0,160500
2014-11-18,AMFG,7500.0,7500.0,6850.0,7500.0,678900
2014-11-19,AMFG,7800.0,7825.0,7550.0,7800.0,913000
2014-11-20,AMFG,7700.0,8000.0,7550.0,7700.0,1254200
2014-11-21,AMFG,7700.0,7875.0,7600.0,7700.0,66200
2014-11-24,AMFG,7650.0,7875.0,7525.0,7650.0,188400
2014-11-25,AMFG,7625.0,7750.0,7550.0,7625.0,97600
2014-11-26,AMFG,7650.0,7800.0,7600.0,7650.0,100200
2014-11-27,AMFG,7475.0,7775.0,7475.0,7475.0,314600
2014-11-28,AMFG,7475.0,7500.0,7200.0,7475.0,458200
2014-12-01,AMFG,7475.0,7600.0,7350.0,7350.0,44400
2014-12-02,AMFG,7400.0,7600.0,7300.0,7300.0,104100
2014-12-03,AMFG,7450.0,7450.0,7200.0,7200.0,272000
2014-12-04,AMFG,7150.0,7375.0,7150.0,7375.0,77100
2014-12-05,AMFG,7400.0,7650.0,7300.0,7500.0,129800
