Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,AUTO,4125.0,4125.0,4100.0,4125.0,9400
2014-10-21,AUTO,4000.0,4125.0,4000.0,4000.0,217800
2014-10-22,AUTO,4060.0,4060.0,4050.0,4060.0,60900
2014-10-23,AUTO,4070.0,4070.0,4070.0,4070.0,200
2014-10-24,AUTO,4070.0,4070.0,4070.0,4070.0,0
2014-10-27,AUTO,4020.0,4070.0,4020.0,4020.0,30400
2014-10-28,AUTO,3955.0,4025.0,3955.0,3955.0,28000
2014-10-29,AUTO,3950.0,3965.0,3950.0,3950.0,36200
2014-10-30,AUTO,3945.0,3955.0,3940.0,3945.0,11100
2014-10-31,AUTO,3935.0,3935.0,3935.0,3935.0,26000
2014-11-03,AUTO,3900.0,3930.0,3890.0,3900.0,217100
2014-11-04,AUTO,3910.0,3910.0,3850.0,3910.0,587700
2014-11-05,AUTO,3860.0,3900.0,3850.0,3860.0,112200
2014-11-06,AUTO,3840.0,3860.0,3800.0,3840.0,280500
2014-11-07,AUTO,3795.0,3840.0,3780.0,3795.0,193700
2014-11-10,AUTO,3790.0,3795.0,3790.0,3790.0,10300
2014-11-11,AUTO,3775.0,3785.0,3775.0,3775.0,336000
2014-11-12,AUTO,3700.0,3780.0,3700.0,3700.0,192200
2014-11-13,AUTO,3700.0,3730.0,3690.0,3700.0,116400
2014-11-14,AUTO,3690.0,3700.0,3560.0,3690.0,121100
2014-11-17,AUTO,3690.0,3770.0,3700.0,3730.0,914200
2014-11-18,AUTO,3770.0,3770.0,3725.0,3770.0,32700
2014-11-19,AUTO,3850.0,3850.0,3780.0,3850.0,112000
2014-11-20,AUTO,3850.0,3850.0,3800.0,3850.0,77700
2014-11-21,AUTO,3840.0,3850.0,3800.0,3840.0,10100
2014-11-24,AUTO,3850.0,3850.0,3750.0,3850.0,5800
2014-11-25,AUTO,3890.0,3950.0,3850.0,3890.0,59800
2014-11-26,AUTO,3885.0,3885.0,3885.0,3885.0,8500
2014-11-27,AUTO,3885.0,3885.0,3805.0,3885.0,200
2014-11-28,AUTO,3900.0,3900.0,3900.0,3900.0,50000
2014-12-01,AUTO,3900.0,3900.0,3900.0,3900.0,10100
2014-12-02,AUTO,3840.0,3895.0,3820.0,3850.0,2600
2014-12-03,AUTO,3800.0,3870.0,3800.0,3870.0,1500
2014-12-04,AUTO,3800.0,3845.0,3800.0,3845.0,1000
2014-12-05,AUTO,3845.0,3845.0,3840.0,3840.0,16100
2014-12-08,AUTO,3840.0,3840.0,3790.0,3825.0,28300
2014-12-09,AUTO,3825.0,3850.0,3825.0,3825.0,4400
2014-12-10,AUTO,3775.0,3845.0,3725.0,3845.0,600
2014-12-11,AUTO,3750.0,3820.0,3750.0,3775.0,21800
2014-12-12,AUTO,3800.0,3800.0,3780.0,3800.0,37600
2014-12-15,AUTO,3750.0,3800.0,3700.0,3775.0,73300
2014-12-16,AUTO,3715.0,3720.0,3715.0,3720.0,3500
2014-12-17,AUTO,3750.0,3820.0,3750.0,3820.0,218100
2014-12-18,AUTO,3820.0,3900.0,3750.0,3900.0,90400
2014-12-19,AUTO,3800.0,3920.0,3800.0,3900.0,76200
2014-12-22,AUTO,3900.0,3900.0,3860.0,3860.0,3300
2014-12-23,AUTO,3870.0,3950.0,3800.0,3950.0,34600
2014-12-24,AUTO,3900.0,3900.0,3900.0,3900.0,5000
2014-12-29,AUTO,3900.0,3900.0,3880.0,3900.0,479300
2014-12-30,AUTO,3800.0,4200.0,3750.0,4200.0,481600
2015-01-02,AUTO,4125.0,4125.0,3920.0,4050.0,5100
2015-01-05,AUTO,4050.0,4050.0,3970.0,3975.0,236400
2015-01-06,AUTO,3895.0,3895.0,3865.0,3865.0,19400
2015-01-07,AUTO,3860.0,3860.0,3805.0,3805.0,328700
2015-01-08,AUTO,3805.0,3900.0,3780.0,3800.0,297600
2015-01-09,AUTO,3805.0,3905.0,3800.0,3905.0,315100
2015-01-12,AUTO,3800.0,3840.0,3800.0,3830.0,100900
2015-01-13,AUTO,3830.0,3830.0,3755.0,3755.0,99500
2015-01-14,AUTO,3770.0,3770.0,3765.0,3765.0,1500
2015-01-15,AUTO,3800.0,3810.0,3775.0,3800.0,33700
2015-01-16,AUTO,3800.0,3800.0,3790.0,3790.0,1300
2015-01-19,AUTO,3790.0,3790.0,3710.0,3750.0,2700
2015-01-20,AUTO,3750.0,3750.0,3700.0,3750.0,61900
2015-01-21,AUTO,3750.0,3780.0,3750.0,3780.0,16800
2015-01-22,AUTO,3790.0,3825.0,3770.0,3775.0,315300
2015-01-23,AUTO,3800.0,3850.0,3800.0,3840.0,48200
2015-01-26,AUTO,3835.0,3835.0,3780.0,3790.0,10700
2015-01-27,AUTO,3825.0,3850.0,3750.0,3760.0,366800
2015-01-28,AUTO,3765.0,3850.0,3760.0,3765.0,242200
2015-01-29,AUTO,3780.0,3780.0,3750.0,3750.0,24900
2015-01-30,AUTO,3750.0,3755.0,3730.0,3730.0,520400
2015-02-02,AUTO,3750.0,3770.0,3750.0,3770.0,2900
2015-02-03,AUTO,3760.0,3800.0,3760.0,3775.0,968100
2015-02-04,AUTO,3800.0,3800.0,3770.0,3770.0,13700
2015-02-05,AUTO,3770.0,3770.0,3705.0,3710.0,36000
2015-02-06,AUTO,3710.0,3800.0,3710.0,3725.0,54900
2015-02-09,AUTO,3800.0,3830.0,3730.0,3820.0,102700
2015-02-10,AUTO,3800.0,3830.0,3800.0,3830.0,254800
2015-02-11,AUTO,3830.0,3870.0,3830.0,3855.0,324900
2015-02-12,AUTO,3870.0,3910.0,3850.0,3900.0,322300
2015-02-13,AUTO,3900.0,3900.0,3875.0,3875.0,2000
2015-02-16,AUTO,3800.0,3880.0,3750.0,3880.0,9700
2015-02-17,AUTO,3850.0,3850.0,3790.0,3790.0,1400
2015-02-18,AUTO,3790.0,3800.0,3790.0,3795.0,9600
2015-02-20,AUTO,3795.0,3795.0,3795.0,3795.0,6900
2015-02-23,AUTO,3760.0,3795.0,3760.0,3790.0,20800
2015-02-24,AUTO,3770.0,3780.0,3765.0,3770.0,275300
2015-02-25,AUTO,3775.0,3775.0,3715.0,3720.0,436100
2015-02-26,AUTO,3720.0,3720.0,3700.0,3700.0,365100
2015-02-27,AUTO,3700.0,3700.0,3695.0,3700.0,579700
2015-03-02,AUTO,3700.0,3700.0,3640.0,3650.0,93000
2015-03-03,AUTO,3700.0,3700.0,3650.0,3700.0,479500
2015-03-04,AUTO,3700.0,3700.0,3650.0,3650.0,42300
2015-03-05,AUTO,3650.0,3660.0,3650.0,3650.0,11700
2015-03-06,AUTO,3650.0,3665.0,3650.0,3655.0,80400
2015-03-09,AUTO,3660.0,3660.0,3640.0,3640.0,283100
2015-03-10,AUTO,3640.0,3650.0,3630.0,3640.0,293300
2015-03-11,AUTO,3700.0,3700.0,3625.0,3630.0,48600
2015-03-12,AUTO,3635.0,3635.0,3625.0,3625.0,46100
2015-03-13,AUTO,3625.0,3625.0,3600.0,3600.0,424200
2015-03-16,AUTO,3600.0,3600.0,3515.0,3530.0,795500
2015-03-17,AUTO,3530.0,3530.0,3495.0,3530.0,274300
2015-03-18,AUTO,3530.0,3530.0,3460.0,3460.0,69300
2015-03-19,AUTO,3470.0,3475.0,3470.0,3475.0,10100
2015-03-20,AUTO,3505.0,3515.0,3465.0,3465.0,40800
2015-03-23,AUTO,3500.0,3500.0,3400.0,3400.0,199700
2015-03-24,AUTO,3450.0,3450.0,3450.0,3450.0,600
2015-03-25,AUTO,3445.0,3450.0,3355.0,3360.0,48700
2015-03-26,AUTO,3360.0,3400.0,3325.0,3400.0,33100
2015-03-27,AUTO,3350.0,3450.0,3300.0,3320.0,120900
2015-03-30,AUTO,3375.0,3400.0,3315.0,3320.0,51500
2015-03-31,AUTO,3370.0,3600.0,3370.0,3600.0,1063000
2015-04-01,AUTO,3530.0,3530.0,3450.0,3505.0,11300
2015-04-02,AUTO,3530.0,3530.0,3500.0,3530.0,1300
2015-04-06,AUTO,3530.0,3530.0,3475.0,3530.0,204700
2015-04-07,AUTO,3480.0,3530.0,3470.0,3500.0,2000
2015-04-08,AUTO,3560.0,3560.0,3400.0,3460.0,6500
2015-04-09,AUTO,3500.0,3500.0,3450.0,3450.0,14400
2015-04-10,AUTO,3475.0,3475.0,3430.0,3450.0,8700
2015-04-13,AUTO,3440.0,3445.0,3405.0,3440.0,4800
2015-04-14,AUTO,3500.0,3500.0,3400.0,3400.0,33700
2015-04-15,AUTO,3380.0,3425.0,3350.0,3350.0,15100
2015-04-16,AUTO,3355.0,3400.0,3335.0,3365.0,9400
2015-04-17,AUTO,3400.0,3400.0,3350.0,3355.0,40200
2015-04-20,AUTO,3345.0,3345.0,3330.0,3340.0,35400
2015-04-21,AUTO,3400.0,3400.0,3300.0,3300.0,1298900
2015-04-22,AUTO,3320.0,3325.0,3255.0,3300.0,107800
2015-04-23,AUTO,3300.0,3300.0,3200.0,3245.0,818400
2015-04-24,AUTO,3240.0,3270.0,3215.0,3255.0,57600
2015-04-27,AUTO,3255.0,3255.0,3150.0,3155.0,44400
2015-04-28,AUTO,3140.0,3160.0,2995.0,3100.0,1896700
2015-04-29,AUTO,3095.0,3100.0,3000.0,3100.0,504900
2015-04-30,AUTO,3095.0,3105.0,3055.0,3105.0,695800
2015-05-04,AUTO,3100.0,3100.0,3005.0,3050.0,11600
2015-05-05,AUTO,3085.0,3090.0,3000.0,3020.0,19800
2015-05-06,AUTO,3015.0,3015.0,3000.0,3010.0,507100
2015-05-07,AUTO,3015.0,3015.0,2995.0,3000.0,222300
2015-05-08,AUTO,3000.0,3005.0,2995.0,3000.0,812900
2015-05-11,AUTO,2995.0,3000.0,2985.0,2990.0,22900
2015-05-12,AUTO,2990.0,3000.0,2990.0,3000.0,502900
2015-05-13,AUTO,3000.0,3000.0,3000.0,3000.0,17700
