Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,BACA,92.0,93.0,91.0,92.0,900
2014-10-21,BACA,92.0,92.0,92.0,92.0,105900
2014-10-22,BACA,94.0,94.0,92.0,94.0,2500
2014-10-23,BACA,94.0,94.0,94.0,94.0,0
2014-10-24,BACA,94.0,115.0,90.0,94.0,78500
2014-10-27,BACA,94.0,94.0,94.0,94.0,0
2014-10-28,BACA,94.0,95.0,94.0,94.0,600
2014-10-29,BACA,94.0,94.0,94.0,94.0,0
2014-10-30,BACA,94.0,94.0,94.0,94.0,0
2014-10-31,BACA,94.0,94.0,94.0,94.0,100
2014-11-03,BACA,94.0,94.0,94.0,94.0,100
2014-11-04,BACA,87.0,94.0,87.0,87.0,1000
2014-11-05,BACA,89.0,90.0,89.0,89.0,127900
2014-11-06,BACA,88.0,88.0,88.0,88.0,7000
2014-11-07,BACA,88.0,88.0,88.0,88.0,0
2014-11-10,BACA,90.0,91.0,87.0,90.0,4300
2014-11-11,BACA,92.0,92.0,92.0,92.0,100
2014-11-12,BACA,92.0,92.0,92.0,92.0,100
2014-11-13,BACA,92.0,92.0,92.0,92.0,0
2014-11-14,BACA,92.0,92.0,92.0,92.0,0
2014-11-17,BACA,92.0,92.0,92.0,92.0,0
2014-11-18,BACA,92.0,92.0,92.0,92.0,0
2014-11-19,BACA,88.0,92.0,88.0,88.0,500
2014-11-20,BACA,89.0,89.0,89.0,89.0,300
2014-11-21,BACA,92.0,92.0,92.0,92.0,100
2014-11-24,BACA,92.0,92.0,92.0,92.0,0
2014-11-25,BACA,92.0,92.0,92.0,92.0,0
2014-11-26,BACA,91.0,91.0,89.0,91.0,500
2014-11-27,BACA,92.0,92.0,86.0,92.0,1700
2014-11-28,BACA,92.0,92.0,91.0,92.0,400
2014-12-01,BACA,89.0,89.0,87.0,89.0,10100
2014-12-02,BACA,90.0,90.0,90.0,90.0,100
2014-12-03,BACA,90.0,90.0,90.0,90.0,300
2014-12-04,BACA,90.0,90.0,90.0,90.0,0
2014-12-05,BACA,90.0,91.0,90.0,91.0,300
2014-12-08,BACA,91.0,91.0,91.0,91.0,0
2014-12-09,BACA,92.0,92.0,91.0,91.0,5200
2014-12-10,BACA,91.0,91.0,91.0,91.0,100
2014-12-11,BACA,91.0,92.0,88.0,90.0,2800
2014-12-12,BACA,90.0,90.0,87.0,87.0,79000
2014-12-15,BACA,90.0,90.0,90.0,90.0,100
2014-12-16,BACA,89.0,89.0,88.0,89.0,4380900
2014-12-17,BACA,90.0,90.0,90.0,90.0,100
2014-12-18,BACA,88.0,89.0,87.0,89.0,12200
