Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,BALI,420.0,454.0,420.0,420.0,427500
2014-10-21,BALI,425.0,448.0,425.0,425.0,110500
2014-10-22,BALI,432.0,440.0,420.0,432.0,144000
2014-10-23,BALI,430.0,430.0,430.0,430.0,500
2014-10-24,BALI,429.0,430.0,410.0,429.0,116500
2014-10-27,BALI,416.0,430.0,416.0,416.0,44000
2014-10-28,BALI,430.0,430.0,430.0,430.0,36000
2014-10-29,BALI,430.0,430.0,420.0,430.0,58000
2014-10-30,BALI,430.0,430.0,430.0,430.0,15500
2014-10-31,BALI,430.0,430.0,430.0,430.0,3500
2014-11-03,BALI,430.0,430.0,430.0,430.0,0
2014-11-04,BALI,460.0,460.0,460.0,460.0,2500
2014-11-05,BALI,460.0,460.0,460.0,460.0,0
2014-11-06,BALI,455.0,455.0,455.0,455.0,500
2014-11-07,BALI,455.0,455.0,455.0,455.0,0
2014-11-10,BALI,440.0,440.0,440.0,440.0,500
2014-11-11,BALI,429.0,430.0,405.0,429.0,112000
2014-11-12,BALI,430.0,430.0,420.0,430.0,46000
2014-11-13,BALI,430.0,430.0,430.0,430.0,109500
2014-11-14,BALI,430.0,430.0,430.0,430.0,5500
2014-11-17,BALI,430.0,450.0,430.0,450.0,89000
2014-11-18,BALI,450.0,450.0,450.0,450.0,0
2014-11-19,BALI,450.0,450.0,450.0,450.0,0
2014-11-20,BALI,450.0,450.0,450.0,450.0,0
2014-11-21,BALI,450.0,450.0,450.0,450.0,0
2014-11-24,BALI,450.0,450.0,450.0,450.0,0
2014-11-25,BALI,450.0,450.0,450.0,450.0,0
2014-11-26,BALI,450.0,450.0,430.0,450.0,173500
2014-11-27,BALI,430.0,430.0,430.0,430.0,10000
2014-11-28,BALI,448.0,448.0,420.0,448.0,177000
2014-12-01,BALI,430.0,450.0,430.0,450.0,377000
2014-12-02,BALI,430.0,450.0,430.0,450.0,686000
2014-12-03,BALI,450.0,455.0,450.0,455.0,4500
2014-12-04,BALI,450.0,450.0,450.0,450.0,2000
2014-12-05,BALI,431.0,431.0,431.0,431.0,10000
2014-12-08,BALI,420.0,420.0,410.0,410.0,8500
2014-12-09,BALI,428.0,430.0,428.0,430.0,6000
2014-12-10,BALI,430.0,430.0,430.0,430.0,0
2014-12-11,BALI,410.0,430.0,410.0,410.0,20500
2014-12-12,BALI,410.0,410.0,410.0,410.0,2500
2014-12-15,BALI,410.0,410.0,410.0,410.0,500
2014-12-16,BALI,430.0,430.0,430.0,430.0,2000
2014-12-17,BALI,430.0,430.0,430.0,430.0,1500
2014-12-18,BALI,430.0,430.0,430.0,430.0,0
2014-12-19,BALI,430.0,447.0,430.0,430.0,20000
2014-12-22,BALI,410.0,410.0,400.0,400.0,1500
2014-12-23,BALI,400.0,400.0,400.0,400.0,8500
2014-12-24,BALI,400.0,400.0,400.0,400.0,0
2014-12-29,BALI,420.0,420.0,420.0,420.0,500
2014-12-30,BALI,420.0,420.0,420.0,420.0,0
2015-01-02,BALI,420.0,420.0,420.0,420.0,500
2015-01-05,BALI,420.0,420.0,420.0,420.0,0
2015-01-06,BALI,416.0,416.0,416.0,416.0,500
2015-01-07,BALI,416.0,416.0,416.0,416.0,0
2015-01-08,BALI,416.0,416.0,416.0,416.0,0
2015-01-09,BALI,416.0,416.0,416.0,416.0,0
2015-01-12,BALI,416.0,416.0,416.0,416.0,0
2015-01-13,BALI,416.0,416.0,416.0,416.0,0
2015-01-14,BALI,416.0,416.0,416.0,416.0,0
2015-01-15,BALI,416.0,416.0,416.0,416.0,0
2015-01-16,BALI,416.0,416.0,416.0,416.0,0
2015-01-19,BALI,416.0,416.0,416.0,416.0,0
2015-01-20,BALI,420.0,420.0,420.0,420.0,17000
2015-01-21,BALI,420.0,420.0,420.0,420.0,0
2015-01-22,BALI,420.0,420.0,420.0,420.0,0
2015-01-23,BALI,420.0,420.0,420.0,420.0,0
2015-01-26,BALI,420.0,420.0,420.0,420.0,0
2015-01-27,BALI,420.0,420.0,420.0,420.0,0
2015-01-28,BALI,420.0,420.0,420.0,420.0,0
2015-01-29,BALI,400.0,400.0,400.0,400.0,3500
2015-01-30,BALI,400.0,400.0,400.0,400.0,0
2015-02-02,BALI,400.0,400.0,400.0,400.0,0
2015-02-03,BALI,400.0,400.0,400.0,400.0,0
2015-02-04,BALI,399.0,399.0,399.0,399.0,2500
2015-02-05,BALI,400.0,400.0,400.0,400.0,500
2015-02-06,BALI,400.0,400.0,400.0,400.0,0
2015-02-09,BALI,400.0,410.0,400.0,400.0,189000
2015-02-10,BALI,400.0,400.0,400.0,400.0,0
2015-02-11,BALI,400.0,400.0,400.0,400.0,0
2015-02-12,BALI,400.0,400.0,400.0,400.0,0
2015-02-13,BALI,419.0,419.0,419.0,419.0,16500
2015-02-16,BALI,400.0,400.0,400.0,400.0,500
2015-02-17,BALI,400.0,400.0,400.0,400.0,0
2015-02-18,BALI,400.0,400.0,400.0,400.0,0
2015-02-20,BALI,390.0,390.0,390.0,390.0,500
2015-02-23,BALI,399.0,399.0,398.0,398.0,1500
2015-02-24,BALI,398.0,398.0,398.0,398.0,0
2015-02-25,BALI,398.0,398.0,398.0,398.0,500
2015-02-26,BALI,398.0,398.0,398.0,398.0,0
2015-02-27,BALI,410.0,419.0,410.0,419.0,1000
2015-03-02,BALI,419.0,419.0,419.0,419.0,0
2015-03-03,BALI,419.0,419.0,419.0,419.0,0
2015-03-04,BALI,410.0,410.0,410.0,410.0,10000
2015-03-05,BALI,410.0,419.0,410.0,410.0,49000
2015-03-06,BALI,410.0,460.0,410.0,420.0,56500
2015-03-09,BALI,420.0,440.0,410.0,440.0,54500
2015-03-10,BALI,440.0,480.0,440.0,480.0,34000
2015-03-11,BALI,460.0,475.0,460.0,460.0,151500
2015-03-12,BALI,470.0,470.0,460.0,460.0,10500
2015-03-13,BALI,461.0,484.0,460.0,484.0,74000
2015-03-16,BALI,484.0,484.0,484.0,484.0,25000
2015-03-17,BALI,498.0,498.0,498.0,498.0,500
2015-03-18,BALI,498.0,500.0,498.0,500.0,92500
2015-03-19,BALI,500.0,519.0,499.0,519.0,181000
2015-03-20,BALI,524.0,524.0,520.0,520.0,42000
2015-03-23,BALI,520.0,526.0,520.0,526.0,77500
2015-03-24,BALI,526.0,526.0,526.0,526.0,54000
2015-03-25,BALI,520.0,520.0,505.0,505.0,101500
2015-03-26,BALI,491.0,505.0,490.0,490.0,34500
2015-03-27,BALI,480.0,500.0,480.0,500.0,23500
2015-03-30,BALI,490.0,490.0,480.0,480.0,21500
2015-03-31,BALI,490.0,500.0,481.0,500.0,68500
2015-04-01,BALI,500.0,500.0,500.0,500.0,0
2015-04-02,BALI,500.0,500.0,500.0,500.0,0
2015-04-06,BALI,490.0,500.0,490.0,500.0,14500
2015-04-07,BALI,500.0,500.0,500.0,500.0,15000
2015-04-08,BALI,501.0,501.0,501.0,501.0,2500
2015-04-09,BALI,501.0,501.0,501.0,501.0,0
2015-04-10,BALI,505.0,505.0,505.0,505.0,10000
2015-04-13,BALI,490.0,490.0,490.0,490.0,7500
2015-04-14,BALI,481.0,490.0,480.0,490.0,130000
2015-04-15,BALI,490.0,490.0,490.0,490.0,0
2015-04-16,BALI,490.0,495.0,490.0,495.0,12500
2015-04-17,BALI,495.0,495.0,495.0,495.0,0
2015-04-20,BALI,495.0,495.0,495.0,495.0,0
2015-04-21,BALI,495.0,495.0,495.0,495.0,0
2015-04-22,BALI,495.0,495.0,495.0,495.0,0
2015-04-23,BALI,495.0,495.0,495.0,495.0,500
2015-04-24,BALI,495.0,495.0,495.0,495.0,0
2015-04-27,BALI,475.0,475.0,470.0,470.0,8500
2015-04-28,BALI,460.0,460.0,460.0,460.0,1000
2015-04-29,BALI,440.0,440.0,440.0,440.0,30000
2015-04-30,BALI,440.0,440.0,440.0,440.0,0
2015-05-04,BALI,440.0,440.0,440.0,440.0,0
2015-05-05,BALI,440.0,440.0,440.0,440.0,0
2015-05-06,BALI,440.0,440.0,440.0,440.0,0
2015-05-07,BALI,420.0,420.0,400.0,400.0,10000
2015-05-08,BALI,400.0,400.0,400.0,400.0,0
2015-05-11,BALI,400.0,400.0,400.0,400.0,0
2015-05-12,BALI,380.0,400.0,380.0,400.0,15000
2015-05-13,BALI,404.0,414.0,404.0,414.0,23500
2015-05-15,BALI,425.0,440.0,425.0,440.0,13000
2015-05-18,BALI,455.0,455.0,407.0,407.0,8000
2015-05-19,BALI,430.0,430.0,430.0,430.0,500
2015-05-20,BALI,430.0,430.0,430.0,430.0,0
2015-05-21,BALI,430.0,430.0,430.0,430.0,0
2015-05-22,BALI,430.0,430.0,430.0,430.0,0
2015-05-25,BALI,430.0,430.0,430.0,430.0,0
2015-05-26,BALI,401.0,530.0,401.0,530.0,29000
2015-05-27,BALI,530.0,530.0,530.0,530.0,0
2015-05-28,BALI,530.0,530.0,530.0,530.0,0
2015-05-29,BALI,500.0,500.0,500.0,500.0,1000
2015-06-01,BALI,500.0,500.0,500.0,500.0,0
2015-06-03,BALI,500.0,500.0,500.0,500.0,0
2015-06-04,BALI,500.0,500.0,500.0,500.0,0
2015-06-05,BALI,500.0,500.0,500.0,500.0,0
2015-06-08,BALI,500.0,500.0,500.0,500.0,0
2015-06-09,BALI,500.0,500.0,500.0,500.0,0
2015-06-10,BALI,500.0,500.0,500.0,500.0,0
2015-06-11,BALI,500.0,500.0,500.0,500.0,0
2015-06-12,BALI,500.0,500.0,500.0,500.0,0
2015-06-15,BALI,500.0,500.0,500.0,500.0,0
2015-06-16,BALI,412.0,485.0,405.0,485.0,64500
2015-06-17,BALI,485.0,485.0,485.0,485.0,0
2015-06-18,BALI,485.0,485.0,485.0,485.0,0
2015-06-19,BALI,480.0,500.0,465.0,500.0,299000
2015-06-22,BALI,506.0,540.0,505.0,520.0,119000
2015-06-23,BALI,500.0,535.0,500.0,535.0,236500
2015-06-24,BALI,540.0,560.0,540.0,560.0,252500
2015-06-25,BALI,560.0,580.0,560.0,580.0,109000
2015-06-26,BALI,570.0,580.0,570.0,580.0,42000
2015-06-29,BALI,570.0,580.0,570.0,580.0,42000
2015-06-30,BALI,575.0,580.0,575.0,580.0,45000
2015-07-01,BALI,572.0,574.0,565.0,574.0,88000
2015-07-02,BALI,560.0,574.0,543.0,574.0,75000
2015-07-03,BALI,560.0,578.0,560.0,575.0,85500
2015-07-06,BALI,576.0,576.0,560.0,560.0,223500
2015-07-07,BALI,575.0,576.0,575.0,576.0,214000
2015-07-08,BALI,575.0,575.0,560.0,560.0,190500
2015-07-09,BALI,595.0,595.0,580.0,580.0,173000
2015-07-10,BALI,560.0,560.0,556.0,556.0,368000
2015-07-13,BALI,556.0,556.0,556.0,556.0,0
2015-07-14,BALI,556.0,556.0,556.0,556.0,1000
2015-07-15,BALI,556.0,556.0,556.0,556.0,0
2015-07-22,BALI,556.0,556.0,556.0,556.0,0
2015-07-23,BALI,556.0,556.0,556.0,556.0,0
2015-07-24,BALI,554.0,590.0,554.0,590.0,80500
2015-07-27,BALI,590.0,590.0,590.0,590.0,2500
2015-07-28,BALI,590.0,590.0,570.0,585.0,100000
2015-07-29,BALI,590.0,600.0,580.0,585.0,90500
2015-07-30,BALI,585.0,595.0,540.0,560.0,160000
2015-07-31,BALI,570.0,590.0,570.0,580.0,174100
2015-08-03,BALI,595.0,600.0,575.0,600.0,282300
2015-08-04,BALI,600.0,610.0,590.0,610.0,237700
2015-08-05,BALI,615.0,620.0,600.0,610.0,193500
2015-08-06,BALI,605.0,620.0,600.0,620.0,193400
2015-08-07,BALI,620.0,750.0,615.0,700.0,362900
2015-08-10,BALI,700.0,780.0,700.0,780.0,219700
2015-08-11,BALI,750.0,750.0,750.0,750.0,100
2015-08-12,BALI,700.0,750.0,700.0,750.0,76700
2015-08-13,BALI,640.0,755.0,640.0,750.0,65900
2015-08-14,BALI,705.0,750.0,700.0,750.0,12500
2015-08-18,BALI,700.0,700.0,700.0,700.0,113300
2015-08-19,BALI,710.0,715.0,710.0,710.0,43500
2015-08-20,BALI,710.0,710.0,705.0,710.0,62200
2015-08-21,BALI,700.0,720.0,700.0,720.0,229000
2015-08-24,BALI,710.0,740.0,700.0,740.0,193500
2015-08-25,BALI,750.0,850.0,750.0,800.0,137300
2015-08-26,BALI,850.0,975.0,800.0,850.0,101100
2015-08-27,BALI,850.0,910.0,835.0,850.0,140400
2015-08-28,BALI,895.0,900.0,820.0,890.0,6600
2015-08-31,BALI,855.0,880.0,830.0,870.0,48000
2015-09-01,BALI,840.0,870.0,785.0,785.0,156400
2015-09-02,BALI,820.0,820.0,750.0,790.0,21800
2015-09-03,BALI,840.0,840.0,725.0,730.0,24600
2015-09-04,BALI,775.0,775.0,735.0,770.0,700
2015-09-07,BALI,785.0,785.0,765.0,770.0,14100
2015-09-08,BALI,780.0,780.0,730.0,775.0,33800
2015-09-09,BALI,750.0,755.0,745.0,750.0,37900
2015-09-10,BALI,775.0,775.0,775.0,775.0,100
2015-09-11,BALI,750.0,775.0,700.0,700.0,145300
2015-09-14,BALI,670.0,700.0,635.0,655.0,77900
2015-09-15,BALI,660.0,700.0,660.0,700.0,700
2015-09-16,BALI,655.0,655.0,655.0,655.0,1900
2015-09-17,BALI,670.0,740.0,660.0,735.0,51300
2015-09-18,BALI,745.0,795.0,745.0,780.0,8400
2015-09-21,BALI,715.0,715.0,705.0,705.0,48200
2015-09-22,BALI,705.0,705.0,705.0,705.0,6500
2015-09-23,BALI,705.0,705.0,705.0,705.0,0
2015-09-25,BALI,695.0,695.0,695.0,695.0,1500
2015-09-28,BALI,700.0,700.0,700.0,700.0,30000
2015-09-29,BALI,690.0,720.0,690.0,720.0,50300
2015-09-30,BALI,700.0,735.0,700.0,735.0,38100
2015-10-01,BALI,750.0,760.0,715.0,715.0,11700
2015-10-02,BALI,710.0,710.0,670.0,675.0,105000
2015-10-05,BALI,675.0,680.0,675.0,675.0,74300
2015-10-06,BALI,680.0,680.0,675.0,675.0,700
2015-10-07,BALI,675.0,675.0,675.0,675.0,0
2015-10-08,BALI,675.0,675.0,675.0,675.0,0
2015-10-09,BALI,715.0,715.0,715.0,715.0,500
2015-10-12,BALI,715.0,715.0,715.0,715.0,200
2015-10-13,BALI,715.0,715.0,715.0,715.0,0
2015-10-15,BALI,715.0,715.0,715.0,715.0,0
2015-10-16,BALI,715.0,715.0,715.0,715.0,500
2015-10-19,BALI,700.0,750.0,675.0,750.0,154100
2015-10-20,BALI,745.0,760.0,725.0,750.0,65300
2015-10-21,BALI,745.0,750.0,740.0,750.0,30400
2015-10-22,BALI,750.0,750.0,750.0,750.0,0
2015-10-23,BALI,745.0,760.0,740.0,750.0,57000
2015-10-26,BALI,745.0,750.0,745.0,750.0,56000
2015-10-27,BALI,735.0,750.0,735.0,750.0,92600
2015-10-28,BALI,750.0,750.0,750.0,750.0,47500
2015-10-29,BALI,750.0,750.0,750.0,750.0,79500
2015-10-30,BALI,745.0,750.0,740.0,750.0,73600
2015-11-02,BALI,750.0,750.0,750.0,750.0,24500
2015-11-03,BALI,750.0,750.0,750.0,750.0,50000
2015-11-04,BALI,720.0,750.0,720.0,750.0,62800
2015-11-05,BALI,750.0,750.0,750.0,750.0,30000
2015-11-06,BALI,750.0,750.0,750.0,750.0,32500
2015-11-09,BALI,750.0,750.0,750.0,750.0,0
2015-11-10,BALI,750.0,750.0,750.0,750.0,31700
2015-11-11,BALI,750.0,750.0,740.0,750.0,81000
2015-11-12,BALI,740.0,760.0,740.0,760.0,665000
2015-11-13,BALI,750.0,750.0,750.0,750.0,665000
2015-11-16,BALI,750.0,750.0,750.0,750.0,665000
2015-11-17,BALI,750.0,750.0,750.0,750.0,1925000
2015-11-18,BALI,750.0,750.0,750.0,750.0,1325500
2015-11-19,BALI,710.0,710.0,710.0,710.0,90800
2015-11-20,BALI,720.0,775.0,720.0,755.0,1341600
2015-11-23,BALI,755.0,755.0,755.0,755.0,0
2015-11-24,BALI,750.0,750.0,740.0,740.0,1000
2015-11-25,BALI,740.0,740.0,740.0,740.0,0
2015-11-26,BALI,740.0,740.0,740.0,740.0,2000
2015-11-27,BALI,755.0,755.0,740.0,745.0,3400
2015-11-30,BALI,740.0,740.0,740.0,740.0,5000
2015-12-01,BALI,730.0,750.0,730.0,750.0,62400
2015-12-02,BALI,760.0,800.0,750.0,800.0,57800
2015-12-03,BALI,790.0,795.0,775.0,795.0,50000
2015-12-04,BALI,780.0,800.0,770.0,800.0,44500
2015-12-07,BALI,790.0,805.0,785.0,805.0,63100
2015-12-08,BALI,790.0,810.0,790.0,810.0,67100
2015-12-09,BALI,810.0,810.0,810.0,810.0,0
2015-12-10,BALI,810.0,810.0,800.0,810.0,90200
2015-12-11,BALI,805.0,810.0,805.0,810.0,53600
