Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,BKDP,82.0,82.0,81.0,82.0,5600
2014-10-21,BKDP,81.0,82.0,81.0,81.0,50000
2014-10-22,BKDP,83.0,90.0,83.0,83.0,200
2014-10-23,BKDP,83.0,83.0,83.0,83.0,0
2014-10-24,BKDP,83.0,83.0,83.0,83.0,0
2014-10-27,BKDP,88.0,89.0,88.0,88.0,200
2014-10-28,BKDP,84.0,84.0,84.0,84.0,1300
2014-10-29,BKDP,84.0,84.0,84.0,84.0,0
2014-10-30,BKDP,84.0,84.0,84.0,84.0,0
2014-10-31,BKDP,84.0,84.0,84.0,84.0,0
2014-11-03,BKDP,84.0,89.0,84.0,84.0,4000
2014-11-04,BKDP,90.0,90.0,89.0,90.0,500000
2014-11-05,BKDP,90.0,90.0,90.0,90.0,0
2014-11-06,BKDP,88.0,88.0,88.0,88.0,55200
2014-11-07,BKDP,84.0,84.0,84.0,84.0,25000
2014-11-10,BKDP,89.0,89.0,89.0,89.0,500000
2014-11-11,BKDP,84.0,89.0,84.0,84.0,300
2014-11-12,BKDP,84.0,84.0,84.0,84.0,5000
2014-11-13,BKDP,86.0,86.0,86.0,86.0,1000
2014-11-14,BKDP,85.0,85.0,85.0,85.0,3200
2014-11-17,BKDP,85.0,90.0,84.0,90.0,218100
2014-11-18,BKDP,90.0,90.0,90.0,90.0,0
2014-11-19,BKDP,88.0,88.0,88.0,88.0,2000
2014-11-20,BKDP,86.0,94.0,85.0,86.0,4192300
2014-11-21,BKDP,85.0,90.0,85.0,85.0,13600
2014-11-24,BKDP,85.0,85.0,85.0,85.0,73500
2014-11-25,BKDP,85.0,85.0,85.0,85.0,130000
2014-11-26,BKDP,84.0,85.0,84.0,84.0,300000
2014-11-27,BKDP,84.0,84.0,84.0,84.0,0
2014-11-28,BKDP,85.0,93.0,85.0,85.0,152200
2014-12-01,BKDP,85.0,85.0,85.0,85.0,1000
2014-12-02,BKDP,90.0,114.0,86.0,114.0,22595300
2014-12-03,BKDP,115.0,128.0,97.0,98.0,114750500
2014-12-04,BKDP,102.0,102.0,92.0,92.0,14686000
2014-12-05,BKDP,92.0,94.0,87.0,90.0,4513600
2014-12-08,BKDP,91.0,92.0,80.0,85.0,8518300
2014-12-09,BKDP,85.0,109.0,84.0,97.0,40113400
2014-12-10,BKDP,98.0,99.0,92.0,92.0,4169400
2014-12-11,BKDP,92.0,92.0,89.0,89.0,3251600
2014-12-12,BKDP,92.0,97.0,89.0,95.0,6506700
2014-12-15,BKDP,95.0,96.0,90.0,94.0,1608600
2014-12-16,BKDP,95.0,95.0,88.0,89.0,7199700
2014-12-17,BKDP,88.0,91.0,88.0,90.0,1407700
2014-12-18,BKDP,90.0,91.0,89.0,91.0,1298300
2014-12-19,BKDP,91.0,91.0,90.0,90.0,570900
2014-12-22,BKDP,90.0,108.0,90.0,101.0,25473600
2014-12-23,BKDP,100.0,100.0,99.0,100.0,3373100
2014-12-24,BKDP,99.0,100.0,98.0,99.0,1263800
2014-12-29,BKDP,99.0,102.0,98.0,98.0,4961100
2014-12-30,BKDP,98.0,99.0,97.0,98.0,750600
2015-01-02,BKDP,96.0,97.0,96.0,97.0,416600
2015-01-05,BKDP,95.0,97.0,95.0,97.0,379600
2015-01-06,BKDP,95.0,96.0,93.0,96.0,6842300
2015-01-07,BKDP,95.0,101.0,95.0,99.0,7955100
2015-01-08,BKDP,99.0,99.0,97.0,97.0,146000
2015-01-09,BKDP,97.0,101.0,96.0,98.0,8883900
2015-01-12,BKDP,98.0,110.0,98.0,102.0,40456800
2015-01-13,BKDP,103.0,103.0,99.0,99.0,1001300
2015-01-14,BKDP,99.0,100.0,94.0,99.0,9712700
2015-01-15,BKDP,96.0,98.0,96.0,96.0,250400
2015-01-16,BKDP,97.0,97.0,95.0,95.0,60300
2015-01-19,BKDP,95.0,98.0,95.0,95.0,307700
2015-01-20,BKDP,95.0,95.0,95.0,95.0,600
2015-01-21,BKDP,96.0,98.0,95.0,95.0,238700
2015-01-22,BKDP,95.0,103.0,95.0,99.0,16594700
2015-01-23,BKDP,101.0,101.0,98.0,98.0,92900
2015-01-26,BKDP,98.0,98.0,97.0,97.0,613000
2015-01-27,BKDP,97.0,98.0,97.0,97.0,29800
2015-01-28,BKDP,98.0,100.0,98.0,99.0,10900
2015-01-29,BKDP,100.0,107.0,99.0,105.0,23853600
2015-01-30,BKDP,106.0,116.0,105.0,116.0,29491300
2015-02-02,BKDP,117.0,123.0,117.0,118.0,23816600
2015-02-03,BKDP,118.0,120.0,112.0,115.0,34964700
2015-02-04,BKDP,115.0,115.0,108.0,113.0,24671200
2015-02-05,BKDP,111.0,112.0,105.0,108.0,24732800
2015-02-06,BKDP,108.0,109.0,106.0,107.0,8207700
2015-02-09,BKDP,107.0,108.0,103.0,103.0,9667100
2015-02-10,BKDP,103.0,103.0,100.0,103.0,3662600
2015-02-11,BKDP,102.0,103.0,102.0,102.0,754400
2015-02-12,BKDP,102.0,103.0,102.0,103.0,128700
2015-02-13,BKDP,103.0,103.0,100.0,102.0,2798200
2015-02-16,BKDP,101.0,101.0,100.0,100.0,436200
2015-02-17,BKDP,101.0,101.0,99.0,100.0,147100
2015-02-18,BKDP,100.0,104.0,100.0,102.0,8526000
2015-02-20,BKDP,101.0,102.0,100.0,101.0,1498200
2015-02-23,BKDP,100.0,100.0,99.0,99.0,322200
2015-02-24,BKDP,101.0,102.0,100.0,100.0,1387100
2015-02-25,BKDP,101.0,102.0,100.0,100.0,1308300
2015-02-26,BKDP,100.0,101.0,100.0,101.0,454100
2015-02-27,BKDP,100.0,101.0,100.0,100.0,205800
2015-03-02,BKDP,100.0,101.0,100.0,100.0,217300
2015-03-03,BKDP,101.0,101.0,100.0,100.0,20600
2015-03-04,BKDP,100.0,101.0,100.0,101.0,575100
2015-03-05,BKDP,101.0,101.0,100.0,101.0,65000
2015-03-06,BKDP,100.0,100.0,100.0,100.0,25100
2015-03-09,BKDP,100.0,100.0,100.0,100.0,134100
2015-03-10,BKDP,100.0,102.0,100.0,102.0,1310700
2015-03-11,BKDP,100.0,100.0,100.0,100.0,106500
2015-03-12,BKDP,100.0,101.0,100.0,100.0,296200
2015-03-13,BKDP,100.0,101.0,100.0,100.0,123100
2015-03-16,BKDP,100.0,101.0,100.0,101.0,173700
2015-03-17,BKDP,101.0,101.0,100.0,100.0,361700
2015-03-18,BKDP,100.0,101.0,100.0,100.0,1033600
2015-03-19,BKDP,100.0,102.0,100.0,102.0,798400
2015-03-20,BKDP,100.0,101.0,100.0,100.0,190800
2015-03-23,BKDP,101.0,101.0,100.0,100.0,267000
2015-03-24,BKDP,100.0,101.0,100.0,100.0,557400
2015-03-25,BKDP,101.0,101.0,100.0,100.0,56000
2015-03-26,BKDP,101.0,101.0,100.0,100.0,385100
2015-03-27,BKDP,100.0,101.0,100.0,100.0,95900
2015-03-30,BKDP,100.0,109.0,100.0,109.0,18976700
2015-03-31,BKDP,110.0,115.0,108.0,108.0,20188500
2015-04-01,BKDP,106.0,107.0,105.0,106.0,2618700
2015-04-02,BKDP,101.0,108.0,101.0,105.0,4813700
2015-04-06,BKDP,106.0,106.0,106.0,106.0,270500
2015-04-07,BKDP,106.0,106.0,105.0,105.0,729100
2015-04-08,BKDP,105.0,105.0,105.0,105.0,0
2015-04-09,BKDP,105.0,105.0,104.0,104.0,103300
2015-04-10,BKDP,104.0,104.0,104.0,104.0,175200
2015-04-13,BKDP,103.0,104.0,103.0,103.0,1602200
2015-04-14,BKDP,102.0,102.0,102.0,102.0,141400
2015-04-15,BKDP,102.0,102.0,101.0,101.0,180000
2015-04-16,BKDP,101.0,101.0,100.0,100.0,20400
2015-04-17,BKDP,100.0,100.0,100.0,100.0,100000
2015-04-20,BKDP,100.0,100.0,100.0,100.0,0
2015-04-21,BKDP,100.0,100.0,100.0,100.0,90000
