Date,Ticker,Open,High,Low,Close,Volume
2018-02-15,BOSS,600.0,600.0,600.0,600.0,37300
2018-02-16,BOSS,600.0,600.0,600.0,600.0,0
2018-02-19,BOSS,750.0,750.0,750.0,750.0,3500
2018-02-20,BOSS,935.0,935.0,935.0,935.0,25200
2018-02-21,BOSS,1150.0,1165.0,975.0,1120.0,36097600
2018-02-22,BOSS,1115.0,1400.0,1115.0,1400.0,23087100
2018-02-23,BOSS,1450.0,1750.0,1440.0,1750.0,35975500
2018-02-26,BOSS,1800.0,2020.0,1510.0,1660.0,38607000
2018-02-27,BOSS,1670.0,1760.0,1470.0,1575.0,13364400
2018-02-28,BOSS,1575.0,1730.0,1500.0,1715.0,15932200
2018-03-01,BOSS,1720.0,1820.0,1690.0,1820.0,15887000
2018-03-02,BOSS,1825.0,1950.0,1800.0,1945.0,16717300
2018-03-05,BOSS,1950.0,2020.0,1930.0,2000.0,12777100
2018-03-06,BOSS,2000.0,2350.0,2000.0,2310.0,16544300
2018-03-07,BOSS,2320.0,2380.0,2140.0,2170.0,11160300
2018-03-08,BOSS,2150.0,2260.0,2110.0,2130.0,6306500
2018-03-09,BOSS,2130.0,2230.0,2110.0,2120.0,6201700
2018-03-12,BOSS,2130.0,2250.0,2120.0,2250.0,10685100
2018-03-13,BOSS,2260.0,2280.0,2210.0,2230.0,5449900
2018-03-14,BOSS,2230.0,2230.0,2140.0,2200.0,5076600
2018-03-15,BOSS,2200.0,2230.0,2110.0,2170.0,5859300
2018-03-16,BOSS,2180.0,2180.0,2120.0,2160.0,5710900
2018-03-19,BOSS,2170.0,2170.0,2120.0,2120.0,7427300
2018-03-20,BOSS,2120.0,2120.0,2030.0,2100.0,7859800
2018-03-21,BOSS,2100.0,2150.0,2100.0,2110.0,7329400
2018-03-22,BOSS,2120.0,2130.0,2070.0,2080.0,7055600
2018-03-23,BOSS,2060.0,2070.0,2020.0,2040.0,7618600
2018-03-26,BOSS,2020.0,2060.0,2020.0,2050.0,7495800
2018-03-27,BOSS,2050.0,2100.0,2050.0,2100.0,7295500
2018-03-28,BOSS,2090.0,2090.0,2070.0,2080.0,7342500
2018-03-29,BOSS,2090.0,2100.0,2080.0,2090.0,7190700
2018-03-30,BOSS,2090.0,2090.0,2090.0,2090.0,0
2018-04-02,BOSS,2100.0,2120.0,2080.0,2090.0,7241000
2018-04-03,BOSS,2090.0,2090.0,2050.0,2050.0,7375600
2018-04-04,BOSS,2050.0,2050.0,2030.0,2030.0,7429700
2018-04-05,BOSS,2030.0,2060.0,2030.0,2060.0,7320100
2018-04-06,BOSS,2050.0,2060.0,2030.0,2040.0,7334400
2018-04-09,BOSS,2020.0,2040.0,1985.0,1985.0,2710400
2018-04-10,BOSS,1985.0,2000.0,1970.0,1975.0,1561700
2018-04-11,BOSS,1980.0,1990.0,1975.0,1985.0,2312300
2018-04-12,BOSS,1980.0,1985.0,1975.0,1975.0,2555700
2018-04-13,BOSS,1975.0,1980.0,1970.0,1975.0,2652100
2018-04-16,BOSS,1975.0,1975.0,1975.0,1975.0,0
2018-04-17,BOSS,1975.0,1975.0,1975.0,1975.0,0
