Date,Ticker,Open,High,Low,Close,Volume
2017-04-11,CARS,174.0,174.0,166.0,170.0,17184000
2017-04-12,CARS,170.0,170.0,161.0,161.0,5805000
2017-04-13,CARS,161.0,161.0,146.0,149.5,13356000
2017-04-17,CARS,149.5,152.0,147.5,147.5,13352000
2017-04-18,CARS,147.5,148.0,146.0,147.0,8062000
2017-04-19,CARS,147.0,147.0,147.0,147.0,0
2017-04-20,CARS,147.0,152.0,146.0,148.5,1998000
2017-04-21,CARS,153.0,157.5,148.5,150.0,4770000
2017-04-25,CARS,150.0,161.0,150.0,160.0,8229000
2017-04-26,CARS,160.0,166.0,161.0,166.0,4613000
2017-04-27,CARS,167.5,170.5,166.0,170.5,7171000
2017-04-28,CARS,170.5,176.0,170.5,174.5,28614000
2017-05-02,CARS,174.5,174.5,162.5,162.5,3334000
2017-05-03,CARS,162.5,170.0,160.0,170.0,11320000
2017-05-04,CARS,170.0,171.0,163.0,171.0,6606000
2017-05-05,CARS,170.0,171.0,165.5,171.0,2595000
2017-05-08,CARS,171.5,172.0,167.0,171.0,1886000
2017-05-09,CARS,174.5,174.5,168.0,171.0,5245000
2017-05-10,CARS,171.0,172.5,166.0,171.0,4697000
2017-05-12,CARS,171.0,171.0,166.0,171.0,3014000
2017-05-15,CARS,171.0,173.0,167.0,167.0,3220000
2017-05-16,CARS,167.0,171.0,167.0,171.0,3511000
2017-05-17,CARS,171.0,171.5,167.0,171.0,1581000
2017-05-18,CARS,171.0,171.0,167.5,171.0,1335000
2017-05-19,CARS,171.0,171.0,167.5,171.0,1943000
2017-05-22,CARS,172.5,174.5,167.5,172.0,2066000
2017-05-23,CARS,171.0,171.0,169.0,171.0,1136000
2017-05-24,CARS,171.0,173.5,167.5,171.0,1466000
2017-05-26,CARS,171.5,171.5,167.5,171.0,9934000
2017-05-29,CARS,171.0,171.0,168.0,168.5,1492000
2017-05-30,CARS,170.5,170.5,167.5,167.5,3018000
2017-05-31,CARS,167.5,168.0,165.0,167.0,2082000
2017-06-01,CARS,167.0,167.0,167.0,167.0,0
2017-06-02,CARS,167.5,170.0,167.0,167.0,1251000
2017-06-05,CARS,167.0,167.5,152.0,167.5,1545000
2017-06-06,CARS,162.5,162.5,162.5,162.5,1414000
