Date,Ticker,Open,High,Low,Close,Volume
2019-06-11,FITT,173.0,173.0,173.0,173.0,29200
2019-06-12,FITT,232.0,232.0,190.0,232.0,75160500
2019-06-13,FITT,240.0,290.0,238.0,290.0,85709800
2019-06-14,FITT,310.0,344.0,218.0,230.0,101456400
2019-06-17,FITT,230.0,238.0,173.0,173.0,49107900
2019-06-18,FITT,164.0,175.0,140.0,143.0,43857000
2019-06-20,FITT,134.0,137.0,126.0,129.0,5614400
2019-06-21,FITT,129.0,134.0,124.0,127.0,5476600
2019-06-24,FITT,127.0,143.0,118.0,134.0,26070000
2019-06-25,FITT,134.0,145.0,130.0,132.0,23057800
2019-06-26,FITT,122.0,134.0,122.0,128.0,3202000
2019-06-27,FITT,128.0,130.0,122.0,126.0,3373100
2019-06-28,FITT,127.0,127.0,121.0,121.0,2367600
2019-07-01,FITT,121.0,140.0,115.0,129.0,15816700
2019-07-02,FITT,129.0,130.0,118.0,120.0,5206600
2019-07-03,FITT,110.0,130.0,110.0,119.0,5410000
2019-07-04,FITT,119.0,124.0,115.0,117.0,2657300
2019-07-05,FITT,115.0,118.0,115.0,115.0,1441200
2019-07-08,FITT,113.0,115.0,111.0,111.0,2639600
2019-07-09,FITT,101.0,113.0,101.0,105.0,2313900
2019-07-10,FITT,102.0,111.0,98.0,98.0,4217200
2019-07-11,FITT,88.0,130.0,88.0,110.0,30419100
2019-07-12,FITT,112.0,118.0,107.0,108.0,7034100
2019-07-15,FITT,108.0,110.0,103.0,108.0,2451400
2019-07-16,FITT,108.0,108.0,103.0,103.0,1484100
2019-07-17,FITT,103.0,105.0,99.0,102.0,2544000
2019-07-18,FITT,101.0,103.0,98.0,99.0,2029300
2019-07-19,FITT,89.0,108.0,89.0,102.0,4027000
2019-07-22,FITT,100.0,103.0,99.0,100.0,2396400
2019-07-23,FITT,100.0,100.0,97.0,98.0,1493300
2019-07-24,FITT,99.0,101.0,98.0,100.0,1634000
2019-07-25,FITT,100.0,104.0,100.0,100.0,2735700
2019-07-26,FITT,100.0,135.0,99.0,129.0,49211900
2019-07-29,FITT,128.0,131.0,110.0,118.0,27929400
2019-07-30,FITT,120.0,122.0,112.0,114.0,5955200
2019-07-31,FITT,119.0,124.0,108.0,111.0,5858900
2019-08-01,FITT,113.0,115.0,108.0,108.0,1474700
2019-08-02,FITT,118.0,118.0,104.0,105.0,5980200
2019-08-05,FITT,105.0,108.0,99.0,100.0,2630700
2019-08-06,FITT,110.0,110.0,95.0,98.0,12145200
2019-08-07,FITT,99.0,102.0,98.0,98.0,3289900
2019-08-08,FITT,99.0,108.0,98.0,100.0,8482900
2019-08-09,FITT,102.0,103.0,99.0,100.0,2970700
2019-08-12,FITT,104.0,104.0,99.0,100.0,1079800
2019-08-13,FITT,100.0,104.0,99.0,100.0,2733100
2019-08-14,FITT,100.0,106.0,100.0,101.0,2837000
2019-08-15,FITT,99.0,110.0,98.0,102.0,24080500
2019-08-16,FITT,102.0,103.0,100.0,100.0,1439600
2019-08-19,FITT,100.0,100.0,98.0,100.0,1524100
2019-08-20,FITT,99.0,101.0,98.0,99.0,1349300
2019-08-21,FITT,98.0,100.0,98.0,98.0,1223300
2019-08-22,FITT,98.0,101.0,97.0,98.0,1495700
2019-08-23,FITT,98.0,104.0,97.0,98.0,12931300
2019-08-26,FITT,98.0,100.0,97.0,98.0,1238400
2019-08-27,FITT,98.0,100.0,97.0,100.0,2109300
2019-08-28,FITT,101.0,106.0,99.0,100.0,4987700
2019-08-29,FITT,100.0,101.0,98.0,98.0,1012300
2019-08-30,FITT,98.0,100.0,96.0,97.0,1186000
2019-09-02,FITT,95.0,98.0,91.0,92.0,2684400
2019-09-03,FITT,92.0,93.0,90.0,91.0,1036100
2019-09-04,FITT,89.0,94.0,89.0,94.0,1659100
2019-09-05,FITT,93.0,94.0,90.0,91.0,641400
2019-09-06,FITT,91.0,93.0,90.0,91.0,179800
2019-09-09,FITT,91.0,93.0,90.0,90.0,633200
2019-09-10,FITT,80.0,97.0,80.0,91.0,3187500
2019-09-11,FITT,91.0,96.0,91.0,93.0,1618100
2019-09-12,FITT,93.0,96.0,93.0,95.0,786800
2019-09-13,FITT,96.0,96.0,93.0,93.0,951900
2019-09-16,FITT,93.0,93.0,90.0,91.0,774100
2019-09-17,FITT,91.0,92.0,90.0,92.0,403300
2019-09-18,FITT,91.0,93.0,89.0,90.0,764300
2019-09-19,FITT,90.0,91.0,89.0,91.0,305600
2019-09-20,FITT,89.0,92.0,89.0,90.0,258300
2019-09-23,FITT,90.0,91.0,81.0,86.0,1625300
2019-09-24,FITT,86.0,87.0,73.0,84.0,13173700
2019-09-25,FITT,84.0,94.0,82.0,84.0,23076300
2019-09-26,FITT,82.0,109.0,82.0,95.0,96863200
2019-09-27,FITT,95.0,96.0,86.0,87.0,24797300
2019-09-30,FITT,88.0,88.0,80.0,84.0,24477300
2019-10-01,FITT,81.0,86.0,81.0,83.0,13234800
2019-10-02,FITT,83.0,86.0,82.0,82.0,14061100
2019-10-03,FITT,80.0,83.0,80.0,81.0,6265000
2019-10-04,FITT,81.0,85.0,81.0,83.0,4277300
2019-10-07,FITT,83.0,84.0,83.0,83.0,998800
2019-10-08,FITT,83.0,84.0,83.0,84.0,1195800
2019-10-09,FITT,84.0,84.0,82.0,83.0,5843700
2019-10-10,FITT,83.0,84.0,81.0,81.0,4385600
2019-10-11,FITT,81.0,82.0,81.0,81.0,1227300
2019-10-14,FITT,81.0,93.0,81.0,89.0,32273100
2019-10-15,FITT,90.0,90.0,85.0,85.0,7536500
2019-10-16,FITT,85.0,86.0,85.0,85.0,3821200
2019-10-17,FITT,85.0,86.0,85.0,85.0,1376600
2019-10-18,FITT,85.0,87.0,85.0,87.0,4086300
2019-10-21,FITT,87.0,88.0,86.0,86.0,1348900
2019-10-22,FITT,86.0,89.0,86.0,86.0,6035100
2019-10-23,FITT,86.0,95.0,86.0,95.0,17946300
2019-10-24,FITT,96.0,96.0,92.0,92.0,3195500
2019-10-25,FITT,92.0,99.0,92.0,99.0,19300900
2019-10-28,FITT,99.0,103.0,99.0,99.0,6850700
2019-10-29,FITT,99.0,100.0,95.0,95.0,3443600
2019-10-30,FITT,95.0,100.0,95.0,95.0,11942400
2019-10-31,FITT,95.0,96.0,94.0,94.0,1521500
2019-11-01,FITT,94.0,95.0,94.0,94.0,1046100
2019-11-04,FITT,94.0,107.0,94.0,107.0,44147500
2019-11-05,FITT,107.0,109.0,105.0,106.0,6117500
2019-11-06,FITT,106.0,106.0,104.0,104.0,2768300
2019-11-07,FITT,104.0,104.0,100.0,100.0,4214300
2019-11-08,FITT,100.0,101.0,98.0,98.0,6152500
2019-11-11,FITT,98.0,99.0,97.0,99.0,2363200
2019-11-12,FITT,99.0,100.0,98.0,100.0,2247000
2019-11-13,FITT,100.0,100.0,98.0,98.0,3317200
2019-11-14,FITT,98.0,98.0,95.0,95.0,3149200
2019-11-15,FITT,95.0,96.0,84.0,84.0,8312700
2019-11-18,FITT,75.0,80.0,55.0,55.0,23383500
2019-11-19,FITT,50.0,65.0,50.0,50.0,36890700
2019-11-20,FITT,50.0,51.0,50.0,51.0,2766900
2019-11-21,FITT,51.0,51.0,50.0,50.0,822500
2019-11-22,FITT,50.0,50.0,50.0,50.0,157800
2019-11-25,FITT,50.0,50.0,50.0,50.0,320600
2019-11-26,FITT,50.0,50.0,50.0,50.0,302000
2019-11-27,FITT,50.0,50.0,50.0,50.0,2400
2019-11-28,FITT,50.0,50.0,50.0,50.0,101500
2019-11-29,FITT,50.0,50.0,50.0,50.0,4100
2019-12-02,FITT,50.0,50.0,50.0,50.0,5400
2019-12-03,FITT,50.0,50.0,50.0,50.0,116100
2019-12-04,FITT,50.0,50.0,50.0,50.0,211300
2019-12-05,FITT,50.0,50.0,50.0,50.0,7000
2019-12-06,FITT,50.0,50.0,50.0,50.0,253600
2019-12-09,FITT,50.0,50.0,50.0,50.0,35800
2019-12-10,FITT,50.0,51.0,50.0,50.0,1860900
2019-12-11,FITT,50.0,50.0,50.0,50.0,422300
2019-12-12,FITT,50.0,50.0,50.0,50.0,102000
2019-12-13,FITT,50.0,50.0,50.0,50.0,107000
2019-12-16,FITT,50.0,50.0,50.0,50.0,1555600
2019-12-17,FITT,50.0,54.0,50.0,51.0,3189200
2019-12-18,FITT,52.0,65.0,51.0,55.0,21508800
2019-12-19,FITT,50.0,73.0,50.0,64.0,24008600
2019-12-20,FITT,66.0,69.0,61.0,61.0,6089500
2019-12-23,FITT,55.0,82.0,55.0,79.0,18444400
2019-12-26,FITT,69.0,81.0,69.0,73.0,7219300
2019-12-27,FITT,63.0,77.0,63.0,70.0,4221400
2019-12-30,FITT,70.0,75.0,67.0,75.0,2259100
2020-01-02,FITT,74.0,75.0,70.0,73.0,247700
2020-01-03,FITT,73.0,79.0,71.0,72.0,1888500
2020-01-06,FITT,72.0,74.0,67.0,69.0,632500
2020-01-07,FITT,65.0,72.0,65.0,71.0,472100
2020-01-08,FITT,70.0,73.0,67.0,72.0,608900
2020-01-09,FITT,71.0,73.0,70.0,72.0,178300
2020-01-10,FITT,71.0,73.0,70.0,70.0,395600
2020-01-13,FITT,70.0,70.0,69.0,70.0,182200
2020-01-14,FITT,75.0,75.0,70.0,70.0,63300
2020-01-15,FITT,70.0,90.0,70.0,79.0,9957000
2020-01-16,FITT,79.0,79.0,74.0,74.0,441700
2020-01-17,FITT,70.0,95.0,70.0,85.0,4839200
2020-01-20,FITT,85.0,99.0,85.0,95.0,4521000
2020-01-21,FITT,85.0,96.0,83.0,87.0,514200
2020-01-22,FITT,83.0,87.0,82.0,85.0,342800
2020-01-23,FITT,85.0,85.0,81.0,84.0,38300
2020-01-24,FITT,87.0,90.0,81.0,86.0,600200
2020-01-27,FITT,86.0,86.0,81.0,81.0,149700
2020-01-28,FITT,91.0,91.0,80.0,82.0,41400
2020-01-29,FITT,92.0,92.0,75.0,80.0,219800
2020-01-30,FITT,90.0,90.0,75.0,79.0,35100
2020-01-31,FITT,89.0,89.0,75.0,80.0,83400
2020-02-03,FITT,80.0,80.0,75.0,77.0,74300
2020-02-04,FITT,87.0,87.0,67.0,76.0,113200
2020-02-05,FITT,85.0,85.0,67.0,74.0,116100
2020-02-06,FITT,74.0,74.0,70.0,73.0,47800
2020-02-07,FITT,73.0,75.0,71.0,71.0,32400
2020-02-10,FITT,71.0,77.0,69.0,74.0,44800
2020-02-11,FITT,73.0,73.0,69.0,73.0,139700
2020-02-12,FITT,72.0,73.0,56.0,64.0,96500
2020-02-13,FITT,62.0,74.0,62.0,68.0,241900
2020-02-14,FITT,68.0,86.0,68.0,79.0,893400
2020-02-17,FITT,75.0,80.0,74.0,74.0,12000
2020-02-18,FITT,72.0,72.0,67.0,70.0,14200
2020-02-19,FITT,70.0,74.0,70.0,72.0,8000
2020-02-20,FITT,74.0,74.0,67.0,67.0,1400
2020-02-21,FITT,68.0,72.0,67.0,70.0,54300
2020-02-24,FITT,67.0,70.0,56.0,68.0,12800
2020-02-25,FITT,63.0,72.0,54.0,56.0,2029000
2020-02-26,FITT,59.0,61.0,56.0,56.0,53100
2020-02-27,FITT,60.0,60.0,50.0,52.0,1519200
2020-02-28,FITT,52.0,60.0,52.0,58.0,607600
2020-03-02,FITT,58.0,66.0,52.0,62.0,725300
2020-03-03,FITT,62.0,64.0,58.0,59.0,41600
2020-03-04,FITT,60.0,62.0,59.0,62.0,20600
2020-03-05,FITT,62.0,63.0,57.0,60.0,15100
2020-03-06,FITT,60.0,61.0,60.0,61.0,6100
2020-03-09,FITT,60.0,61.0,58.0,61.0,42300
2020-03-10,FITT,55.0,70.0,55.0,64.0,208400
2020-03-11,FITT,64.0,66.0,60.0,63.0,153600
2020-03-12,FITT,59.0,59.0,57.0,57.0,3200
2020-03-13,FITT,57.0,57.0,56.0,56.0,1400
2020-03-16,FITT,56.0,56.0,53.0,53.0,71100
2020-03-17,FITT,60.0,60.0,50.0,52.0,26000
2020-03-18,FITT,62.0,62.0,50.0,50.0,20500
2020-03-19,FITT,50.0,53.0,50.0,50.0,39100
2020-03-20,FITT,50.0,67.0,50.0,54.0,704700
2020-03-23,FITT,52.0,55.0,52.0,55.0,35600
2020-03-24,FITT,52.0,58.0,52.0,56.0,95100
2020-03-26,FITT,59.0,59.0,55.0,55.0,900
2020-03-27,FITT,52.0,60.0,52.0,56.0,6600
2020-03-30,FITT,53.0,58.0,53.0,58.0,3400
2020-03-31,FITT,54.0,58.0,54.0,55.0,2200
2020-04-01,FITT,59.0,59.0,53.0,54.0,11800
2020-04-02,FITT,51.0,58.0,51.0,57.0,2900
2020-04-03,FITT,54.0,59.0,54.0,55.0,5400
2020-04-06,FITT,53.0,59.0,53.0,59.0,3500
2020-04-07,FITT,60.0,60.0,55.0,58.0,16500
2020-04-08,FITT,54.0,55.0,54.0,55.0,1400
2020-04-09,FITT,52.0,58.0,52.0,58.0,11800
2020-04-13,FITT,54.0,58.0,54.0,55.0,4600
2020-04-14,FITT,54.0,56.0,54.0,54.0,19400
2020-04-15,FITT,52.0,58.0,52.0,57.0,1100
