Date,Ticker,Open,High,Low,Close,Volume
2018-10-10,GOOD,385.0,385.0,385.0,385.0,1121000
2018-10-11,GOOD,478.0,480.0,478.0,480.0,10820000
2018-10-12,GOOD,594.0,600.0,520.0,546.0,52747500
2018-10-15,GOOD,558.0,590.0,500.0,502.0,22896500
2018-10-16,GOOD,500.0,520.0,420.0,442.0,13111000
2018-10-17,GOOD,442.0,496.0,442.0,470.0,6308500
2018-10-18,GOOD,474.0,524.0,474.0,510.0,14437000
2018-10-19,GOOD,510.0,536.0,504.0,508.0,7688000
2018-10-22,GOOD,506.0,526.0,486.0,486.0,4764500
2018-10-23,GOOD,486.0,498.0,458.0,460.0,3984500
2018-10-24,GOOD,460.0,474.0,452.0,454.0,1986500
2018-10-25,GOOD,456.0,480.0,426.0,464.0,4020500
2018-10-26,GOOD,468.0,474.0,444.0,444.0,1487500
2018-10-29,GOOD,448.0,452.0,430.0,444.0,2216000
2018-10-30,GOOD,444.0,444.0,422.0,424.0,1836500
2018-10-31,GOOD,426.0,434.0,400.0,404.0,3218500
2018-11-01,GOOD,404.0,408.0,396.0,400.0,1507000
2018-11-02,GOOD,400.0,400.0,381.0,382.0,2093000
2018-11-05,GOOD,382.0,450.0,382.0,398.0,6701000
2018-11-06,GOOD,404.0,418.0,390.0,390.0,4385000
2018-11-07,GOOD,396.0,416.0,390.0,408.0,2812500
2018-11-08,GOOD,410.0,452.0,408.0,444.0,9241000
2018-11-09,GOOD,446.0,458.0,430.0,436.0,4363000
2018-11-12,GOOD,444.0,454.0,430.0,432.0,2142000
2018-11-13,GOOD,428.0,436.0,410.0,424.0,2021000
2018-11-14,GOOD,424.0,424.0,410.0,414.0,1609000
2018-11-15,GOOD,414.0,414.0,400.0,404.0,1078500
2018-11-16,GOOD,406.0,416.0,404.0,408.0,721500
2018-11-19,GOOD,408.0,414.0,400.0,404.0,899500
2018-11-20,GOOD,404.0,404.0,404.0,404.0,0
2018-11-21,GOOD,400.0,404.0,398.0,398.0,1628000
2018-11-22,GOOD,399.0,442.0,398.0,416.0,6615000
2018-11-23,GOOD,418.0,426.0,400.0,400.0,1914500
2018-11-26,GOOD,402.0,408.0,395.0,399.0,1614000
2018-11-27,GOOD,399.0,406.0,397.0,400.0,850000
2018-11-28,GOOD,400.0,408.0,397.0,399.0,994500
2018-11-29,GOOD,399.0,406.0,396.0,397.0,1018000
2018-11-30,GOOD,400.0,400.0,397.0,398.0,718000
2018-12-03,GOOD,399.0,399.0,396.0,397.0,753500
2018-12-04,GOOD,397.0,399.0,395.0,396.0,782500
2018-12-05,GOOD,396.0,396.0,392.0,393.0,623000
2018-12-06,GOOD,393.0,398.0,385.0,393.0,486500
2018-12-07,GOOD,390.0,395.0,386.0,391.0,1487500
2018-12-10,GOOD,391.0,391.0,385.0,386.0,435000
2018-12-11,GOOD,390.0,390.0,378.0,379.0,610000
2018-12-12,GOOD,379.0,380.0,370.0,372.0,1122500
2018-12-13,GOOD,380.0,386.0,379.0,382.0,646500
2018-12-14,GOOD,384.0,384.0,373.0,376.0,629000
2018-12-17,GOOD,378.0,380.0,376.0,376.0,260500
2018-12-18,GOOD,376.0,376.0,350.0,372.0,612500
2018-12-19,GOOD,373.0,382.0,373.0,380.0,493000
2018-12-20,GOOD,380.0,382.0,380.0,380.0,553000
2018-12-21,GOOD,380.0,382.0,378.0,378.0,249000
2018-12-24,GOOD,378.0,378.0,378.0,378.0,0
2018-12-25,GOOD,378.0,378.0,378.0,378.0,0
2018-12-26,GOOD,378.0,378.0,370.0,370.0,212500
2018-12-27,GOOD,370.0,376.0,370.0,373.0,113000
2018-12-28,GOOD,373.0,378.0,373.0,375.0,528000
2018-12-31,GOOD,375.0,375.0,375.0,375.0,0
2019-01-01,GOOD,375.0,375.0,375.0,375.0,0
2019-01-02,GOOD,373.0,375.0,373.0,375.0,319000
2019-01-03,GOOD,374.0,376.0,373.0,373.0,536000
2019-01-04,GOOD,374.0,374.0,370.0,371.0,332500
2019-01-07,GOOD,371.0,378.0,371.0,375.0,414500
2019-01-08,GOOD,376.0,376.0,371.0,371.0,551000
2019-01-09,GOOD,371.0,375.0,370.0,375.0,768500
2019-01-10,GOOD,375.0,379.0,371.0,375.0,551000
2019-01-11,GOOD,378.0,378.0,375.0,375.0,146500
2019-01-14,GOOD,375.0,375.0,371.0,374.0,272500
2019-01-15,GOOD,374.0,374.0,371.0,372.0,641000
2019-01-16,GOOD,372.0,378.0,372.0,375.0,259500
2019-01-17,GOOD,375.0,375.0,360.0,360.0,2045500
2019-01-18,GOOD,362.0,369.0,362.0,364.0,297500
2019-01-21,GOOD,364.0,370.0,364.0,365.0,239000
2019-01-22,GOOD,364.0,368.0,360.0,363.0,234000
2019-01-23,GOOD,366.0,366.0,362.0,365.0,144000
2019-01-24,GOOD,364.0,366.0,363.0,365.0,236500
2019-01-25,GOOD,364.0,365.0,360.0,360.0,479500
2019-01-28,GOOD,361.0,364.0,359.0,362.0,506500
2019-01-29,GOOD,362.0,364.0,359.0,362.0,366500
2019-01-30,GOOD,362.0,365.0,360.0,363.0,291500
2019-01-31,GOOD,361.0,363.0,354.0,360.0,1489000
2019-02-01,GOOD,360.0,364.0,359.0,362.0,251500
2019-02-04,GOOD,363.0,364.0,361.0,363.0,315000
2019-02-05,GOOD,363.0,363.0,363.0,363.0,0
2019-02-06,GOOD,363.0,365.0,361.0,362.0,196000
2019-02-07,GOOD,362.0,364.0,361.0,363.0,199000
2019-02-08,GOOD,363.0,363.0,360.0,363.0,74000
2019-02-11,GOOD,363.0,364.0,360.0,361.0,493000
2019-02-12,GOOD,362.0,364.0,358.0,361.0,153500
2019-02-13,GOOD,361.0,363.0,357.0,358.0,396000
2019-02-14,GOOD,360.0,361.0,358.0,361.0,328500
2019-02-15,GOOD,360.0,378.0,359.0,364.0,783500
2019-02-18,GOOD,364.0,370.0,358.0,365.0,881500
2019-02-19,GOOD,365.0,365.0,360.0,363.0,263500
2019-02-20,GOOD,363.0,366.0,360.0,364.0,171000
2019-02-21,GOOD,364.0,364.0,360.0,364.0,205500
2019-02-22,GOOD,364.0,365.0,360.0,362.0,445000
2019-02-25,GOOD,364.0,365.0,362.0,362.0,309500
2019-02-26,GOOD,363.0,363.0,360.0,362.0,219500
2019-02-27,GOOD,362.0,362.0,360.0,362.0,286500
2019-02-28,GOOD,362.0,362.0,360.0,362.0,123500
2019-03-01,GOOD,360.0,362.0,360.0,361.0,138500
2019-03-04,GOOD,361.0,362.0,359.0,359.0,320000
2019-03-05,GOOD,360.0,363.0,359.0,360.0,252000
2019-03-06,GOOD,360.0,361.0,359.0,361.0,97500
2019-03-07,GOOD,361.0,361.0,361.0,361.0,0
2019-03-08,GOOD,361.0,361.0,358.0,359.0,218500
2019-03-11,GOOD,359.0,361.0,359.0,359.0,77000
2019-03-12,GOOD,360.0,361.0,358.0,358.0,67500
2019-03-13,GOOD,360.0,360.0,355.0,357.0,271000
2019-03-14,GOOD,356.0,360.0,355.0,357.0,184000
2019-03-15,GOOD,357.0,360.0,355.0,358.0,426000
2019-03-18,GOOD,371.0,371.0,360.0,361.0,110500
2019-03-19,GOOD,365.0,365.0,360.0,362.0,59500
2019-03-20,GOOD,360.0,365.0,360.0,363.0,459500
2019-03-21,GOOD,364.0,364.0,358.0,360.0,266000
2019-03-22,GOOD,362.0,362.0,358.0,358.0,115500
2019-03-25,GOOD,361.0,361.0,352.0,358.0,501500
2019-03-26,GOOD,359.0,361.0,359.0,359.0,63500
2019-03-27,GOOD,360.0,360.0,355.0,360.0,132500
2019-03-28,GOOD,359.0,361.0,358.0,360.0,158500
2019-03-29,GOOD,357.0,359.0,350.0,359.0,613500
2019-04-01,GOOD,358.0,358.0,354.0,356.0,113000
2019-04-02,GOOD,357.0,357.0,354.0,354.0,109500
2019-04-03,GOOD,354.0,354.0,354.0,354.0,0
2019-04-04,GOOD,353.0,356.0,353.0,355.0,67000
2019-04-05,GOOD,354.0,356.0,352.0,356.0,361500
2019-04-08,GOOD,357.0,357.0,350.0,351.0,48000
2019-04-09,GOOD,355.0,355.0,350.0,351.0,347500
2019-04-10,GOOD,353.0,354.0,349.0,350.0,168000
2019-04-11,GOOD,351.0,353.0,350.0,352.0,125000
2019-04-12,GOOD,352.0,352.0,350.0,352.0,78000
2019-04-15,GOOD,350.0,352.0,349.0,350.0,176000
