Date,Ticker,Open,High,Low,Close,Volume
2018-05-17,HEAL,634.0,668.0,622.0,650.0,37063500
2018-05-18,HEAL,650.0,660.0,636.0,640.0,16095500
2018-05-21,HEAL,640.0,640.0,610.0,610.0,26039500
2018-05-22,HEAL,610.0,628.0,610.0,620.0,7144500
2018-05-23,HEAL,610.0,626.0,610.0,620.0,6496000
2018-05-24,HEAL,618.0,666.0,616.0,650.0,12619000
2018-05-25,HEAL,664.0,664.0,650.0,656.0,5231000
2018-05-28,HEAL,660.0,666.0,648.0,660.0,7014500
2018-05-29,HEAL,660.0,660.0,660.0,660.0,0
2018-05-30,HEAL,654.0,672.0,654.0,670.0,5073000
2018-05-31,HEAL,670.0,680.0,670.0,676.0,1580000
2018-06-01,HEAL,676.0,676.0,676.0,676.0,0
2018-06-04,HEAL,680.0,680.0,658.0,672.0,7628500
2018-06-05,HEAL,676.0,696.0,674.0,684.0,2611500
2018-06-06,HEAL,690.0,716.0,686.0,714.0,2911500
2018-06-07,HEAL,714.0,740.0,690.0,712.0,5586000
2018-06-08,HEAL,728.0,730.0,716.0,724.0,2107000
2018-06-11,HEAL,724.0,724.0,724.0,724.0,0
2018-06-12,HEAL,724.0,724.0,724.0,724.0,0
2018-06-13,HEAL,724.0,724.0,724.0,724.0,0
2018-06-14,HEAL,724.0,724.0,724.0,724.0,0
2018-06-15,HEAL,724.0,724.0,724.0,724.0,0
2018-06-18,HEAL,724.0,724.0,724.0,724.0,0
2018-06-19,HEAL,724.0,724.0,724.0,724.0,0
2018-06-20,HEAL,724.0,740.0,712.0,712.0,5135500
2018-06-21,HEAL,710.0,734.0,708.0,710.0,6667500
2018-06-22,HEAL,710.0,724.0,710.0,724.0,2179500
2018-06-25,HEAL,736.0,736.0,710.0,720.0,1890000
2018-06-26,HEAL,720.0,732.0,708.0,708.0,935000
2018-06-27,HEAL,720.0,726.0,714.0,726.0,2128500
2018-06-28,HEAL,726.0,732.0,704.0,704.0,1721500
2018-06-29,HEAL,704.0,720.0,704.0,706.0,823000
2018-07-02,HEAL,706.0,718.0,702.0,702.0,685500
2018-07-03,HEAL,720.0,720.0,686.0,714.0,7289500
2018-07-04,HEAL,714.0,716.0,690.0,714.0,2487500
2018-07-05,HEAL,700.0,718.0,698.0,706.0,5553000
2018-07-06,HEAL,710.0,710.0,698.0,700.0,3753000
2018-07-09,HEAL,700.0,702.0,696.0,700.0,6329500
2018-07-10,HEAL,702.0,704.0,690.0,690.0,1625500
2018-07-11,HEAL,700.0,702.0,684.0,684.0,5879500
2018-07-12,HEAL,690.0,692.0,682.0,686.0,2123000
2018-07-13,HEAL,690.0,690.0,672.0,676.0,2001500
2018-07-16,HEAL,668.0,680.0,668.0,680.0,2289000
2018-07-17,HEAL,680.0,680.0,672.0,676.0,815500
2018-07-18,HEAL,676.0,680.0,668.0,672.0,1018500
2018-07-19,HEAL,672.0,680.0,672.0,674.0,785500
