Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,ICON,475.0,475.0,475.0,475.0,4000
2014-10-21,ICON,475.0,475.0,475.0,475.0,0
2014-10-22,ICON,500.0,500.0,500.0,500.0,100
2014-10-23,ICON,500.0,500.0,500.0,500.0,0
2014-10-24,ICON,500.0,500.0,500.0,500.0,1000
2014-10-27,ICON,500.0,500.0,500.0,500.0,0
2014-10-28,ICON,500.0,500.0,500.0,500.0,0
2014-10-29,ICON,500.0,500.0,500.0,500.0,1000
2014-10-30,ICON,500.0,500.0,500.0,500.0,0
2014-10-31,ICON,500.0,500.0,500.0,500.0,0
2014-11-03,ICON,500.0,500.0,500.0,500.0,0
2014-11-04,ICON,500.0,500.0,500.0,500.0,0
2014-11-05,ICON,500.0,500.0,500.0,500.0,0
2014-11-06,ICON,500.0,500.0,500.0,500.0,0
2014-11-07,ICON,500.0,500.0,500.0,500.0,0
2014-11-10,ICON,500.0,500.0,500.0,500.0,0
2014-11-11,ICON,500.0,500.0,500.0,500.0,0
2014-11-12,ICON,500.0,500.0,500.0,500.0,0
2014-11-13,ICON,500.0,500.0,500.0,500.0,0
2014-11-14,ICON,500.0,500.0,500.0,500.0,0
2014-11-17,ICON,500.0,500.0,500.0,500.0,0
2014-11-18,ICON,500.0,500.0,500.0,500.0,0
2014-11-19,ICON,500.0,500.0,500.0,500.0,0
2014-11-20,ICON,500.0,500.0,500.0,500.0,0
2014-11-21,ICON,500.0,500.0,500.0,500.0,0
2014-11-24,ICON,500.0,500.0,500.0,500.0,100
2014-11-25,ICON,450.0,450.0,450.0,450.0,30500
2014-11-26,ICON,450.0,450.0,450.0,450.0,0
2014-11-27,ICON,450.0,450.0,450.0,450.0,0
2014-11-28,ICON,450.0,450.0,450.0,450.0,0
2014-12-01,ICON,450.0,450.0,450.0,450.0,0
2014-12-02,ICON,450.0,450.0,450.0,450.0,10000
2014-12-03,ICON,450.0,450.0,450.0,450.0,0
2014-12-04,ICON,450.0,450.0,450.0,450.0,0
2014-12-05,ICON,450.0,450.0,450.0,450.0,0
2014-12-08,ICON,450.0,450.0,450.0,450.0,0
2014-12-09,ICON,450.0,450.0,450.0,450.0,0
2014-12-10,ICON,450.0,450.0,450.0,450.0,0
2014-12-11,ICON,450.0,450.0,450.0,450.0,100
2014-12-12,ICON,450.0,450.0,450.0,450.0,0
2014-12-15,ICON,450.0,450.0,450.0,450.0,0
2014-12-16,ICON,450.0,450.0,450.0,450.0,0
2014-12-17,ICON,450.0,450.0,450.0,450.0,0
2014-12-18,ICON,450.0,450.0,450.0,450.0,0
2014-12-19,ICON,450.0,450.0,450.0,450.0,0
2014-12-22,ICON,450.0,450.0,448.0,448.0,321300
2014-12-23,ICON,448.0,448.0,448.0,448.0,0
2014-12-24,ICON,448.0,448.0,448.0,448.0,0
2014-12-29,ICON,448.0,448.0,448.0,448.0,0
2014-12-30,ICON,448.0,448.0,448.0,448.0,0
2015-01-02,ICON,448.0,448.0,448.0,448.0,0
2015-01-05,ICON,448.0,448.0,448.0,448.0,0
2015-01-06,ICON,448.0,448.0,448.0,448.0,0
