Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,INAF,163.0,166.0,163.0,163.0,276000
2014-10-21,INAF,166.0,167.0,163.0,166.0,813100
2014-10-22,INAF,165.0,167.0,165.0,165.0,213600
2014-10-23,INAF,164.0,169.0,163.0,164.0,510400
2014-10-24,INAF,167.0,169.0,164.0,167.0,297300
2014-10-27,INAF,167.0,172.0,163.0,167.0,91500
2014-10-28,INAF,167.0,168.0,165.0,167.0,38200
2014-10-29,INAF,167.0,169.0,167.0,167.0,278400
2014-10-30,INAF,166.0,168.0,165.0,166.0,1361500
2014-10-31,INAF,167.0,169.0,166.0,167.0,548500
2014-11-03,INAF,172.0,176.0,168.0,172.0,4719400
2014-11-04,INAF,181.0,190.0,172.0,181.0,8684300
2014-11-05,INAF,201.0,209.0,181.0,201.0,25641500
2014-11-06,INAF,205.0,207.0,200.0,205.0,8869900
2014-11-07,INAF,196.0,205.0,195.0,196.0,4333500
2014-11-10,INAF,204.0,205.0,196.0,204.0,4990300
2014-11-11,INAF,224.0,224.0,204.0,224.0,18860600
2014-11-12,INAF,230.0,249.0,225.0,230.0,25947700
2014-11-13,INAF,235.0,239.0,230.0,235.0,4663800
2014-11-14,INAF,234.0,240.0,232.0,234.0,4558000
2014-11-17,INAF,234.0,263.0,234.0,259.0,22437000
2014-11-18,INAF,266.0,286.0,261.0,266.0,38951000
2014-11-19,INAF,270.0,282.0,266.0,270.0,14717000
2014-11-20,INAF,269.0,274.0,263.0,269.0,7314100
2014-11-21,INAF,277.0,282.0,264.0,277.0,7689900
2014-11-24,INAF,277.0,284.0,277.0,277.0,5046700
2014-11-25,INAF,280.0,281.0,275.0,280.0,4212000
2014-11-26,INAF,280.0,282.0,277.0,280.0,2934200
2014-11-27,INAF,291.0,300.0,276.0,291.0,13168300
2014-11-28,INAF,285.0,297.0,284.0,285.0,5589000
2014-12-01,INAF,290.0,295.0,285.0,287.0,3201100
2014-12-02,INAF,288.0,292.0,287.0,290.0,7259800
2014-12-03,INAF,291.0,299.0,288.0,295.0,11589100
2014-12-04,INAF,296.0,314.0,296.0,309.0,19791900
2014-12-05,INAF,310.0,317.0,307.0,309.0,6659300
2014-12-08,INAF,309.0,313.0,285.0,292.0,12708200
2014-12-09,INAF,292.0,365.0,292.0,365.0,66421600
2014-12-10,INAF,380.0,410.0,365.0,370.0,98923200
2014-12-11,INAF,371.0,378.0,356.0,367.0,14863700
2014-12-12,INAF,367.0,387.0,360.0,372.0,19218200
2014-12-15,INAF,372.0,372.0,356.0,359.0,8284600
2014-12-16,INAF,360.0,360.0,307.0,330.0,21304400
2014-12-17,INAF,326.0,337.0,322.0,324.0,4552000
2014-12-18,INAF,340.0,340.0,327.0,329.0,5592700
2014-12-19,INAF,340.0,375.0,335.0,352.0,16149100
2014-12-22,INAF,356.0,370.0,354.0,357.0,4226200
2014-12-23,INAF,359.0,363.0,350.0,356.0,2199800
2014-12-24,INAF,357.0,374.0,355.0,359.0,8835000
2014-12-29,INAF,363.0,364.0,358.0,359.0,2144100
2014-12-30,INAF,359.0,362.0,349.0,355.0,3347300
2015-01-02,INAF,354.0,356.0,349.0,350.0,1282700
2015-01-05,INAF,350.0,355.0,340.0,346.0,1236500
2015-01-06,INAF,345.0,352.0,335.0,345.0,3160100
2015-01-07,INAF,349.0,374.0,341.0,357.0,4853200
2015-01-08,INAF,360.0,366.0,349.0,350.0,3822800
2015-01-09,INAF,351.0,357.0,343.0,343.0,2202100
2015-01-12,INAF,343.0,350.0,339.0,340.0,1259800
2015-01-13,INAF,340.0,347.0,339.0,340.0,1484700
2015-01-14,INAF,345.0,355.0,335.0,336.0,2597000
