Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,INCO,3680.0,3740.0,3650.0,3680.0,6997500
2014-10-21,INCO,3680.0,3680.0,3610.0,3680.0,4937400
2014-10-22,INCO,3700.0,3715.0,3675.0,3700.0,7060000
2014-10-23,INCO,3695.0,3730.0,3670.0,3695.0,3676500
2014-10-24,INCO,3700.0,3725.0,3690.0,3700.0,1575300
2014-10-27,INCO,3635.0,3715.0,3635.0,3635.0,3047300
2014-10-28,INCO,3550.0,3655.0,3515.0,3550.0,6380200
2014-10-29,INCO,3610.0,3670.0,3610.0,3610.0,8778100
2014-10-30,INCO,3675.0,3685.0,3590.0,3675.0,17109700
2014-10-31,INCO,3790.0,3825.0,3685.0,3790.0,21168900
2014-11-03,INCO,3675.0,3845.0,3670.0,3675.0,18695900
2014-11-04,INCO,3690.0,3705.0,3625.0,3690.0,7886600
2014-11-05,INCO,3700.0,3730.0,3645.0,3700.0,11635200
2014-11-06,INCO,3835.0,3840.0,3680.0,3835.0,19827200
2014-11-07,INCO,3810.0,3860.0,3785.0,3810.0,15231800
2014-11-10,INCO,3730.0,3800.0,3705.0,3730.0,5059800
2014-11-11,INCO,3750.0,3785.0,3700.0,3750.0,6823200
2014-11-12,INCO,3780.0,3815.0,3765.0,3780.0,9703800
2014-11-13,INCO,3860.0,3875.0,3780.0,3860.0,15016800
2014-11-14,INCO,3850.0,3865.0,3820.0,3850.0,6255600
2014-11-17,INCO,3850.0,3910.0,3855.0,3885.0,8387700
2014-11-18,INCO,3915.0,3920.0,3875.0,3915.0,7589300
2014-11-19,INCO,3930.0,3945.0,3890.0,3930.0,5670800
2014-11-20,INCO,4010.0,4040.0,3970.0,4010.0,12638700
2014-11-21,INCO,4080.0,4100.0,4030.0,4080.0,12677900
2014-11-24,INCO,4150.0,4175.0,4110.0,4150.0,8264900
2014-11-25,INCO,4075.0,4170.0,4030.0,4075.0,7362200
2014-11-26,INCO,3995.0,4050.0,3980.0,3995.0,5322500
2014-11-27,INCO,4045.0,4055.0,3995.0,4045.0,5146800
2014-11-28,INCO,3985.0,4040.0,3965.0,3985.0,6639900
2014-12-01,INCO,3925.0,3945.0,3810.0,3815.0,7670900
2014-12-02,INCO,3825.0,3920.0,3825.0,3900.0,11109300
2014-12-03,INCO,3905.0,3940.0,3880.0,3925.0,6757700
2014-12-04,INCO,3955.0,4060.0,3955.0,4060.0,13286500
2014-12-05,INCO,4100.0,4145.0,4100.0,4135.0,10520600
2014-12-08,INCO,4125.0,4125.0,3970.0,3980.0,7812800
2014-12-09,INCO,3980.0,4015.0,3955.0,3995.0,9374300
2014-12-10,INCO,3985.0,3985.0,3855.0,3880.0,12522700
2014-12-11,INCO,3850.0,3900.0,3835.0,3880.0,5132300
2014-12-12,INCO,3880.0,3910.0,3820.0,3855.0,5979400
2014-12-15,INCO,3900.0,3940.0,3895.0,3940.0,5211800
2014-12-16,INCO,3900.0,3900.0,3825.0,3830.0,8185600
2014-12-17,INCO,3820.0,3885.0,3795.0,3860.0,5709100
2014-12-18,INCO,3870.0,3900.0,3765.0,3770.0,10876400
2014-12-19,INCO,3800.0,3815.0,3690.0,3690.0,10372200
2014-12-22,INCO,3690.0,3715.0,3650.0,3660.0,10849400
2014-12-23,INCO,3690.0,3710.0,3665.0,3675.0,2990500
2014-12-24,INCO,3695.0,3695.0,3590.0,3595.0,10053500
2014-12-29,INCO,3610.0,3610.0,3550.0,3555.0,3747600
2014-12-30,INCO,3530.0,3635.0,3525.0,3625.0,6064900
2015-01-02,INCO,3695.0,3695.0,3590.0,3590.0,4437900
2015-01-05,INCO,3590.0,3590.0,3535.0,3540.0,5381900
2015-01-06,INCO,3500.0,3585.0,3500.0,3520.0,4670200
2015-01-07,INCO,3580.0,3590.0,3515.0,3540.0,5667500
2015-01-08,INCO,3580.0,3580.0,3500.0,3535.0,10796600
2015-01-09,INCO,3550.0,3625.0,3530.0,3600.0,10528600
2015-01-12,INCO,3600.0,3635.0,3570.0,3585.0,4815200
2015-01-13,INCO,3560.0,3560.0,3500.0,3530.0,7400100
2015-01-14,INCO,3505.0,3525.0,3375.0,3375.0,10310000
2015-01-15,INCO,3325.0,3415.0,3295.0,3325.0,12807700
2015-01-16,INCO,3310.0,3340.0,3285.0,3305.0,4121600
2015-01-19,INCO,3350.0,3395.0,3340.0,3385.0,5972600
2015-01-20,INCO,3400.0,3500.0,3400.0,3490.0,7369600
2015-01-21,INCO,3500.0,3520.0,3405.0,3425.0,6916000
2015-01-22,INCO,3490.0,3520.0,3465.0,3505.0,7988900
2015-01-23,INCO,3500.0,3560.0,3490.0,3555.0,8112800
2015-01-26,INCO,3525.0,3550.0,3490.0,3520.0,8390600
2015-01-27,INCO,3530.0,3605.0,3470.0,3590.0,11636800
2015-01-28,INCO,3590.0,3605.0,3555.0,3560.0,3316000
2015-01-29,INCO,3570.0,3570.0,3490.0,3495.0,3837400
2015-01-30,INCO,3500.0,3515.0,3450.0,3450.0,4690300
2015-02-02,INCO,3475.0,3510.0,3400.0,3400.0,4757200
2015-02-03,INCO,3435.0,3455.0,3355.0,3365.0,8198900
2015-02-04,INCO,3400.0,3440.0,3380.0,3385.0,7773300
2015-02-05,INCO,3405.0,3410.0,3365.0,3400.0,3669100
2015-02-06,INCO,3440.0,3560.0,3425.0,3540.0,13004600
2015-02-09,INCO,3560.0,3675.0,3540.0,3580.0,15389000
2015-02-10,INCO,3580.0,3620.0,3525.0,3550.0,6932700
2015-02-11,INCO,3565.0,3595.0,3510.0,3595.0,2541400
2015-02-12,INCO,3580.0,3620.0,3540.0,3610.0,7792500
2015-02-13,INCO,3645.0,3650.0,3610.0,3620.0,7549200
2015-02-16,INCO,3625.0,3645.0,3500.0,3515.0,3576800
2015-02-17,INCO,3530.0,3530.0,3440.0,3475.0,5604300
2015-02-18,INCO,3485.0,3525.0,3460.0,3480.0,2439400
2015-02-20,INCO,3480.0,3480.0,3425.0,3435.0,3144500
2015-02-23,INCO,3440.0,3450.0,3380.0,3385.0,6791300
2015-02-24,INCO,3385.0,3430.0,3350.0,3350.0,7577300
2015-02-25,INCO,3400.0,3410.0,3350.0,3360.0,4901500
2015-02-26,INCO,3365.0,3400.0,3360.0,3385.0,5006900
2015-02-27,INCO,3450.0,3545.0,3450.0,3525.0,17582800
2015-03-02,INCO,3545.0,3565.0,3535.0,3535.0,8545900
2015-03-03,INCO,3540.0,3540.0,3415.0,3425.0,9569200
2015-03-04,INCO,3410.0,3445.0,3390.0,3390.0,6881900
2015-03-05,INCO,3415.0,3455.0,3410.0,3415.0,6285400
2015-03-06,INCO,3440.0,3455.0,3425.0,3450.0,5639100
2015-03-09,INCO,3445.0,3445.0,3400.0,3425.0,2850100
2015-03-10,INCO,3435.0,3445.0,3375.0,3380.0,6224300
2015-03-11,INCO,3350.0,3355.0,3325.0,3335.0,8517500
2015-03-12,INCO,3370.0,3370.0,3285.0,3290.0,8025700
2015-03-13,INCO,3290.0,3320.0,3290.0,3295.0,4645000
2015-03-16,INCO,3295.0,3365.0,3295.0,3365.0,8146800
2015-03-17,INCO,3365.0,3365.0,3335.0,3345.0,2782600
2015-03-18,INCO,3340.0,3350.0,3300.0,3315.0,3122700
2015-03-19,INCO,3340.0,3370.0,3325.0,3365.0,4969000
2015-03-20,INCO,3350.0,3395.0,3350.0,3395.0,5581500
2015-03-23,INCO,3430.0,3450.0,3375.0,3390.0,6632900
2015-03-24,INCO,3410.0,3420.0,3335.0,3340.0,6644700
2015-03-25,INCO,3335.0,3335.0,3250.0,3275.0,8119800
2015-03-26,INCO,3250.0,3285.0,3230.0,3265.0,3406200
2015-03-27,INCO,3250.0,3290.0,3250.0,3290.0,3768100
2015-03-30,INCO,3295.0,3305.0,3275.0,3290.0,3086300
2015-03-31,INCO,3290.0,3300.0,3235.0,3235.0,5371700
2015-04-01,INCO,3235.0,3270.0,3205.0,3260.0,2237700
2015-04-02,INCO,3260.0,3275.0,3165.0,3165.0,5970800
2015-04-06,INCO,3195.0,3225.0,3180.0,3210.0,2651000
2015-04-07,INCO,3250.0,3250.0,3215.0,3235.0,4889600
2015-04-08,INCO,3235.0,3245.0,3205.0,3225.0,3645000
2015-04-09,INCO,3225.0,3225.0,3170.0,3180.0,4993900
2015-04-10,INCO,3220.0,3220.0,3175.0,3175.0,5415700
2015-04-13,INCO,3175.0,3190.0,3165.0,3175.0,3353500
2015-04-14,INCO,3150.0,3150.0,3070.0,3075.0,5513300
2015-04-15,INCO,3090.0,3110.0,2955.0,2960.0,6121500
2015-04-16,INCO,2980.0,3035.0,2980.0,2990.0,6231200
2015-04-17,INCO,2990.0,3015.0,2980.0,2990.0,1886000
2015-04-20,INCO,2980.0,2995.0,2860.0,2875.0,6069400
2015-04-21,INCO,2905.0,2910.0,2850.0,2875.0,11852400
2015-04-22,INCO,2875.0,2905.0,2745.0,2760.0,13484800
2015-04-23,INCO,2765.0,2780.0,2680.0,2685.0,9890800
2015-04-24,INCO,2685.0,2730.0,2680.0,2725.0,5781100
2015-04-27,INCO,2755.0,2775.0,2605.0,2630.0,10046200
2015-04-28,INCO,2630.0,2835.0,2610.0,2825.0,15742200
2015-04-29,INCO,2825.0,2825.0,2650.0,2800.0,13042500
2015-04-30,INCO,2800.0,2805.0,2725.0,2795.0,5753000
2015-05-04,INCO,2825.0,2850.0,2740.0,2760.0,4660200
2015-05-05,INCO,2800.0,2815.0,2740.0,2760.0,4129600
2015-05-06,INCO,2800.0,3160.0,2800.0,3100.0,37798600
