Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,INDY,615.0,635.0,615.0,615.0,4986700
2014-10-21,INDY,625.0,625.0,600.0,625.0,3204100
2014-10-22,INDY,635.0,640.0,620.0,635.0,10287500
2014-10-23,INDY,635.0,645.0,630.0,635.0,9613100
2014-10-24,INDY,630.0,645.0,620.0,630.0,2283700
2014-10-27,INDY,610.0,640.0,610.0,610.0,3776100
2014-10-28,INDY,615.0,620.0,605.0,615.0,1396200
2014-10-29,INDY,630.0,640.0,610.0,630.0,6131000
2014-10-30,INDY,635.0,640.0,625.0,635.0,4097000
2014-10-31,INDY,635.0,640.0,625.0,635.0,3188800
2014-11-03,INDY,610.0,635.0,610.0,610.0,3374200
2014-11-04,INDY,610.0,615.0,600.0,610.0,1666300
2014-11-05,INDY,605.0,610.0,600.0,605.0,2135100
2014-11-06,INDY,600.0,610.0,600.0,600.0,1333200
2014-11-07,INDY,585.0,605.0,580.0,585.0,2911700
2014-11-10,INDY,585.0,595.0,585.0,585.0,1032100
2014-11-11,INDY,585.0,595.0,580.0,585.0,725500
2014-11-12,INDY,570.0,585.0,565.0,570.0,2147100
2014-11-13,INDY,550.0,575.0,540.0,550.0,3636000
2014-11-14,INDY,550.0,555.0,545.0,550.0,432900
2014-11-17,INDY,550.0,565.0,535.0,555.0,2128100
2014-11-18,INDY,565.0,570.0,555.0,565.0,1046800
2014-11-19,INDY,595.0,595.0,560.0,595.0,5195500
2014-11-20,INDY,585.0,600.0,580.0,585.0,2783500
2014-11-21,INDY,595.0,605.0,585.0,595.0,4978900
2014-11-24,INDY,595.0,605.0,590.0,595.0,4113500
2014-11-25,INDY,585.0,600.0,585.0,585.0,1824800
2014-11-26,INDY,580.0,590.0,565.0,580.0,2919700
2014-11-27,INDY,575.0,580.0,570.0,575.0,2207900
2014-11-28,INDY,560.0,575.0,560.0,560.0,3102500
2014-12-01,INDY,570.0,570.0,545.0,550.0,2066200
2014-12-02,INDY,555.0,560.0,545.0,550.0,3181400
2014-12-03,INDY,555.0,555.0,530.0,535.0,4279000
2014-12-04,INDY,540.0,565.0,525.0,565.0,14497000
2014-12-05,INDY,570.0,575.0,555.0,560.0,3973800
2014-12-08,INDY,555.0,555.0,545.0,545.0,3258900
2014-12-09,INDY,545.0,555.0,545.0,550.0,1051800
2014-12-10,INDY,550.0,555.0,535.0,545.0,1080400
2014-12-11,INDY,540.0,545.0,530.0,535.0,1719500
2014-12-12,INDY,540.0,540.0,530.0,535.0,1089500
2014-12-15,INDY,535.0,540.0,510.0,515.0,3676800
2014-12-16,INDY,510.0,520.0,500.0,510.0,1731200
2014-12-17,INDY,510.0,535.0,505.0,515.0,2616200
2014-12-18,INDY,515.0,530.0,510.0,520.0,3265400
2014-12-19,INDY,515.0,525.0,515.0,520.0,1767600
2014-12-22,INDY,520.0,525.0,515.0,515.0,718000
2014-12-23,INDY,515.0,520.0,510.0,510.0,1114200
2014-12-24,INDY,515.0,515.0,510.0,510.0,981100
2014-12-29,INDY,520.0,520.0,510.0,515.0,1123500
2014-12-30,INDY,520.0,530.0,510.0,510.0,2452200
2015-01-02,INDY,515.0,515.0,510.0,515.0,266000
2015-01-05,INDY,520.0,520.0,510.0,510.0,710800
2015-01-06,INDY,510.0,510.0,500.0,500.0,2241600
2015-01-07,INDY,505.0,510.0,497.0,498.0,987300
