Date,Ticker,Open,High,Low,Close,Volume
2019-10-15,IRRA,560.0,560.0,560.0,560.0,12325600
2019-10-16,IRRA,585.0,590.0,496.0,510.0,25705100
2019-10-17,IRRA,515.0,540.0,510.0,510.0,11038000
2019-10-18,IRRA,520.0,525.0,490.0,500.0,12003100
2019-10-21,IRRA,500.0,510.0,494.0,496.0,10187800
2019-10-22,IRRA,496.0,498.0,492.0,494.0,10438900
2019-10-23,IRRA,492.0,500.0,490.0,500.0,12822100
2019-10-24,IRRA,505.0,565.0,500.0,550.0,14891600
2019-10-25,IRRA,555.0,620.0,550.0,620.0,27771400
2019-10-28,IRRA,630.0,655.0,620.0,625.0,25368900
2019-10-29,IRRA,625.0,650.0,625.0,645.0,18500500
2019-10-30,IRRA,650.0,665.0,645.0,665.0,17380300
2019-10-31,IRRA,665.0,690.0,665.0,685.0,17927500
2019-11-01,IRRA,690.0,715.0,685.0,710.0,27068000
2019-11-04,IRRA,715.0,730.0,710.0,725.0,24485400
2019-11-05,IRRA,730.0,745.0,730.0,740.0,23202300
2019-11-06,IRRA,745.0,765.0,740.0,760.0,23867100
2019-11-07,IRRA,765.0,790.0,765.0,785.0,32026900
2019-11-08,IRRA,790.0,820.0,785.0,810.0,29480500
2019-11-11,IRRA,810.0,835.0,810.0,830.0,27117600
2019-11-12,IRRA,835.0,855.0,625.0,800.0,176937000
2019-11-13,IRRA,805.0,820.0,670.0,705.0,65933500
2019-11-14,IRRA,695.0,710.0,565.0,590.0,33765000
2019-11-15,IRRA,585.0,590.0,444.0,450.0,28897100
2019-11-18,IRRA,446.0,550.0,350.0,498.0,51187700
2019-11-19,IRRA,505.0,505.0,452.0,500.0,17289700
2019-11-20,IRRA,505.0,510.0,480.0,500.0,9501100
2019-11-21,IRRA,500.0,570.0,500.0,550.0,13516200
2019-11-22,IRRA,560.0,665.0,555.0,630.0,26886900
2019-11-25,IRRA,645.0,715.0,530.0,640.0,39519800
2019-11-26,IRRA,640.0,680.0,600.0,605.0,13425100
2019-11-27,IRRA,610.0,615.0,468.0,540.0,12678700
2019-11-28,IRRA,540.0,555.0,480.0,550.0,4299300
2019-11-29,IRRA,555.0,570.0,525.0,555.0,3193500
2019-12-02,IRRA,565.0,570.0,550.0,560.0,1605400
2019-12-03,IRRA,560.0,575.0,555.0,570.0,3919000
2019-12-04,IRRA,575.0,575.0,570.0,570.0,1439200
2019-12-05,IRRA,570.0,575.0,480.0,575.0,3425400
2019-12-06,IRRA,575.0,600.0,570.0,580.0,13318500
2019-12-09,IRRA,585.0,600.0,580.0,590.0,14835300
2019-12-10,IRRA,595.0,600.0,590.0,595.0,10332700
2019-12-11,IRRA,595.0,645.0,580.0,625.0,16794500
2019-12-12,IRRA,630.0,645.0,610.0,615.0,15078000
2019-12-13,IRRA,615.0,665.0,615.0,660.0,27522300
2019-12-16,IRRA,665.0,690.0,650.0,665.0,17601900
2019-12-17,IRRA,665.0,665.0,610.0,640.0,10586500
2019-12-18,IRRA,640.0,650.0,615.0,630.0,10082200
2019-12-19,IRRA,635.0,635.0,610.0,630.0,10159200
2019-12-20,IRRA,630.0,650.0,615.0,640.0,10312100
2019-12-23,IRRA,645.0,660.0,630.0,645.0,11014100
2019-12-26,IRRA,645.0,655.0,635.0,645.0,10595700
2019-12-27,IRRA,640.0,655.0,640.0,645.0,10318000
2019-12-30,IRRA,645.0,655.0,640.0,650.0,15715700
2020-01-02,IRRA,650.0,650.0,640.0,645.0,11512400
2020-01-03,IRRA,645.0,655.0,645.0,645.0,11760600
2020-01-06,IRRA,650.0,675.0,640.0,670.0,14710100
2020-01-07,IRRA,670.0,695.0,665.0,685.0,13719300
2020-01-08,IRRA,685.0,700.0,655.0,665.0,16493600
2020-01-09,IRRA,665.0,730.0,650.0,715.0,22814100
2020-01-10,IRRA,720.0,725.0,700.0,710.0,10158100
2020-01-13,IRRA,710.0,730.0,700.0,710.0,12312300
2020-01-14,IRRA,710.0,725.0,695.0,710.0,10866200
2020-01-15,IRRA,710.0,715.0,675.0,690.0,12199900
2020-01-16,IRRA,695.0,715.0,675.0,705.0,13617200
2020-01-17,IRRA,705.0,705.0,690.0,700.0,8939000
2020-01-20,IRRA,700.0,705.0,690.0,695.0,9571300
2020-01-21,IRRA,695.0,695.0,680.0,695.0,10020300
2020-01-22,IRRA,690.0,695.0,680.0,690.0,10549600
2020-01-23,IRRA,690.0,690.0,675.0,685.0,7198100
2020-01-24,IRRA,685.0,690.0,685.0,685.0,4820600
2020-01-27,IRRA,685.0,690.0,675.0,680.0,4591700
2020-01-28,IRRA,680.0,680.0,660.0,665.0,4299800
2020-01-29,IRRA,665.0,675.0,665.0,670.0,4454100
2020-01-30,IRRA,675.0,680.0,670.0,675.0,5247600
2020-01-31,IRRA,670.0,690.0,670.0,685.0,5558800
2020-02-03,IRRA,685.0,685.0,675.0,680.0,5499200
2020-02-04,IRRA,680.0,690.0,680.0,685.0,6301300
2020-02-05,IRRA,680.0,700.0,680.0,700.0,6814600
2020-02-06,IRRA,700.0,705.0,695.0,700.0,11439500
2020-02-07,IRRA,700.0,715.0,700.0,715.0,12034000
2020-02-10,IRRA,715.0,730.0,710.0,730.0,11480000
2020-02-11,IRRA,725.0,730.0,725.0,725.0,6868600
2020-02-12,IRRA,720.0,730.0,720.0,725.0,6353000
2020-02-13,IRRA,725.0,740.0,725.0,740.0,8024900
2020-02-14,IRRA,735.0,740.0,735.0,740.0,5508400
2020-02-17,IRRA,735.0,745.0,735.0,745.0,5781800
2020-02-18,IRRA,740.0,750.0,740.0,745.0,5429200
2020-02-19,IRRA,740.0,750.0,740.0,750.0,4690300
2020-02-20,IRRA,745.0,755.0,740.0,750.0,5297500
2020-02-21,IRRA,745.0,750.0,730.0,730.0,5471400
2020-02-24,IRRA,730.0,730.0,700.0,705.0,7336700
