Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,ISAT,942.5,955.0,932.5,942.5,2591200
2014-10-21,ISAT,933.75,946.25,932.5,933.75,4369600
2014-10-22,ISAT,933.75,938.75,931.25,933.75,1678800
2014-10-23,ISAT,932.5,937.5,932.5,932.5,306800
2014-10-24,ISAT,931.25,935.0,931.25,931.25,1241600
2014-10-27,ISAT,931.25,933.75,930.0,931.25,218000
2014-10-28,ISAT,923.75,945.0,915.0,923.75,1879200
2014-10-29,ISAT,922.5,925.0,922.5,922.5,4835600
2014-10-30,ISAT,916.25,925.0,911.25,916.25,182800
2014-10-31,ISAT,916.25,925.0,913.75,916.25,717200
2014-11-03,ISAT,910.0,923.75,910.0,910.0,1962800
2014-11-04,ISAT,900.0,908.75,900.0,900.0,825200
2014-11-05,ISAT,883.75,903.75,877.5,883.75,1172400
2014-11-06,ISAT,882.5,893.75,881.25,882.5,893200
2014-11-07,ISAT,881.25,905.0,880.0,881.25,681600
2014-11-10,ISAT,870.0,875.0,870.0,870.0,3964000
2014-11-11,ISAT,875.0,877.5,871.25,875.0,13954400
2014-11-12,ISAT,831.25,877.5,821.25,831.25,16033200
2014-11-13,ISAT,800.0,837.5,796.25,800.0,39258000
2014-11-14,ISAT,802.5,816.25,797.5,802.5,12251200
2014-11-17,ISAT,802.5,808.75,800.0,800.0,6548800
2014-11-18,ISAT,775.0,795.0,762.5,775.0,11985600
2014-11-19,ISAT,788.75,791.25,775.0,788.75,8743600
2014-11-20,ISAT,788.75,796.25,788.75,788.75,7590800
2014-11-21,ISAT,805.0,816.25,788.75,805.0,9563200
2014-11-24,ISAT,828.75,843.75,808.75,828.75,22894000
2014-11-25,ISAT,900.0,900.0,830.0,900.0,46746000
2014-11-26,ISAT,865.0,906.25,851.25,865.0,47574000
2014-11-27,ISAT,877.5,892.5,856.25,877.5,24523600
2014-11-28,ISAT,872.5,887.5,853.75,872.5,18911600
2014-12-01,ISAT,872.5,1000.0,866.25,975.0,51309200
2014-12-02,ISAT,975.0,987.5,952.5,976.25,16652000
2014-12-03,ISAT,975.0,1000.0,975.0,985.0,10146800
2014-12-04,ISAT,986.25,1002.5,986.25,1000.0,10665600
2014-12-05,ISAT,1000.0,1013.75,1000.0,1005.0,9066000
2014-12-08,ISAT,1006.25,1038.75,1005.0,1030.0,14291200
2014-12-09,ISAT,1030.0,1035.0,998.75,1030.0,11012400
2014-12-10,ISAT,1005.0,1030.0,998.75,1020.0,4798400
2014-12-11,ISAT,1020.0,1087.5,1020.0,1046.25,15442000
2014-12-12,ISAT,1050.0,1081.25,1046.25,1046.25,1341200
2014-12-15,ISAT,1046.25,1050.0,1046.25,1047.5,818000
2014-12-16,ISAT,1046.25,1047.5,1003.75,1047.5,1362800
2014-12-17,ISAT,1030.0,1030.0,1001.25,1020.0,3007600
2014-12-18,ISAT,1022.5,1046.25,1022.5,1041.25,1331200
2014-12-19,ISAT,1041.25,1042.5,1006.25,1006.25,5104400
2014-12-22,ISAT,1006.25,1030.0,1006.25,1025.0,3804000
2014-12-23,ISAT,1025.0,1026.25,1007.5,1007.5,819200
2014-12-24,ISAT,1006.25,1013.75,1006.25,1007.5,154000
2014-12-29,ISAT,1007.5,1020.0,983.75,983.75,286000
2014-12-30,ISAT,990.0,1012.5,987.5,1012.5,19517200
2015-01-02,ISAT,1012.5,1037.5,1012.5,1030.0,966800
2015-01-05,ISAT,1030.0,1062.5,1015.0,1050.0,1555200
2015-01-06,ISAT,1062.5,1062.5,1050.0,1056.25,772000
2015-01-07,ISAT,1060.0,1060.0,1027.5,1050.0,3833600
2015-01-08,ISAT,1051.25,1063.75,1037.5,1062.5,1433200
2015-01-09,ISAT,1063.75,1075.0,1050.0,1075.0,1079200
2015-01-12,ISAT,1062.5,1125.0,1061.25,1121.25,5050800
2015-01-13,ISAT,1121.25,1125.0,1112.5,1117.5,2567600
2015-01-14,ISAT,1100.0,1105.0,1076.25,1085.0,731200
2015-01-15,ISAT,1087.5,1100.0,1085.0,1087.5,1112800
2015-01-16,ISAT,1082.5,1122.5,1078.75,1100.0,1158800
2015-01-19,ISAT,1100.0,1112.5,1093.75,1100.0,476800
2015-01-20,ISAT,1097.5,1097.5,1085.0,1088.75,337600
2015-01-21,ISAT,1087.5,1087.5,1050.0,1066.25,5110400
2015-01-22,ISAT,1065.0,1065.0,1041.25,1065.0,1343600
2015-01-23,ISAT,1057.5,1075.0,1050.0,1052.5,947600
2015-01-26,ISAT,1052.5,1087.5,1016.25,1025.0,922800
2015-01-27,ISAT,1037.5,1043.75,1010.0,1018.75,910400
2015-01-28,ISAT,1018.75,1037.5,1018.75,1025.0,812400
2015-01-29,ISAT,1031.25,1043.75,1001.25,1023.75,742000
2015-01-30,ISAT,1025.0,1025.0,980.0,1023.75,8150400
2015-02-02,ISAT,1023.75,1023.75,982.5,996.25,643200
2015-02-03,ISAT,998.75,1002.5,975.0,975.0,668400
