Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,JAWA,367.0,367.0,361.0,367.0,239800
2014-10-21,JAWA,366.0,366.0,366.0,366.0,10000
2014-10-22,JAWA,365.0,367.0,360.0,365.0,270000
2014-10-23,JAWA,364.0,365.0,360.0,364.0,85900
2014-10-24,JAWA,365.0,365.0,364.0,365.0,100200
2014-10-27,JAWA,365.0,365.0,365.0,365.0,28700
2014-10-28,JAWA,365.0,365.0,363.0,365.0,85200
2014-10-29,JAWA,367.0,367.0,360.0,367.0,430500
2014-10-30,JAWA,367.0,367.0,355.0,367.0,80100
2014-10-31,JAWA,367.0,367.0,358.0,367.0,627900
2014-11-03,JAWA,366.0,367.0,360.0,366.0,250000
2014-11-04,JAWA,363.0,366.0,360.0,363.0,321600
2014-11-05,JAWA,363.0,363.0,361.0,363.0,354200
2014-11-06,JAWA,363.0,363.0,360.0,363.0,214100
2014-11-07,JAWA,362.0,363.0,351.0,362.0,825200
2014-11-10,JAWA,363.0,363.0,358.0,363.0,695000
2014-11-11,JAWA,363.0,363.0,363.0,363.0,0
2014-11-12,JAWA,362.0,362.0,361.0,362.0,455200
2014-11-13,JAWA,362.0,362.0,361.0,362.0,32000
2014-11-14,JAWA,368.0,368.0,361.0,368.0,3820000
2014-11-17,JAWA,368.0,370.0,360.0,370.0,7168000
2014-11-18,JAWA,368.0,368.0,360.0,368.0,3504500
2014-11-19,JAWA,366.0,366.0,362.0,366.0,3001700
2014-11-20,JAWA,367.0,367.0,360.0,367.0,7588400
2014-11-21,JAWA,367.0,367.0,365.0,367.0,498800
2014-11-24,JAWA,366.0,367.0,366.0,366.0,193300
2014-11-25,JAWA,366.0,366.0,360.0,366.0,673900
2014-11-26,JAWA,367.0,367.0,365.0,367.0,671500
2014-11-27,JAWA,367.0,367.0,365.0,367.0,109300
2014-11-28,JAWA,367.0,367.0,367.0,367.0,19200
2014-12-01,JAWA,367.0,376.0,367.0,376.0,1315800
2014-12-02,JAWA,362.0,367.0,360.0,365.0,206800
2014-12-03,JAWA,365.0,366.0,365.0,366.0,686000
2014-12-04,JAWA,366.0,384.0,360.0,384.0,12858600
2014-12-05,JAWA,365.0,384.0,365.0,380.0,620600
2014-12-08,JAWA,379.0,379.0,375.0,378.0,403000
2014-12-09,JAWA,378.0,378.0,370.0,377.0,546500
2014-12-10,JAWA,377.0,378.0,375.0,378.0,568400
2014-12-11,JAWA,378.0,378.0,370.0,375.0,253600
2014-12-12,JAWA,375.0,377.0,375.0,377.0,1013500
2014-12-15,JAWA,377.0,377.0,374.0,377.0,894000
2014-12-16,JAWA,377.0,377.0,370.0,377.0,1410000
2014-12-17,JAWA,377.0,377.0,373.0,377.0,74100
2014-12-18,JAWA,377.0,377.0,377.0,377.0,50300
2014-12-19,JAWA,377.0,377.0,377.0,377.0,51200
2014-12-22,JAWA,377.0,377.0,371.0,377.0,118700
2014-12-23,JAWA,375.0,377.0,375.0,377.0,212600
2014-12-24,JAWA,377.0,377.0,370.0,377.0,665200
2014-12-29,JAWA,377.0,377.0,377.0,377.0,34200
2014-12-30,JAWA,377.0,378.0,377.0,378.0,872700
2015-01-02,JAWA,378.0,378.0,377.0,378.0,347000
2015-01-05,JAWA,378.0,378.0,378.0,378.0,5100
2015-01-06,JAWA,378.0,378.0,370.0,377.0,1017600
2015-01-07,JAWA,370.0,376.0,369.0,376.0,106500
2015-01-08,JAWA,376.0,376.0,369.0,376.0,308200
2015-01-09,JAWA,376.0,376.0,370.0,376.0,404500
2015-01-12,JAWA,376.0,376.0,375.0,376.0,532500
2015-01-13,JAWA,370.0,374.0,369.0,374.0,321800
2015-01-14,JAWA,374.0,374.0,373.0,374.0,229800
2015-01-15,JAWA,374.0,374.0,370.0,374.0,1020000
2015-01-16,JAWA,374.0,374.0,369.0,373.0,104100
2015-01-19,JAWA,373.0,374.0,365.0,374.0,1605300
2015-01-20,JAWA,374.0,374.0,374.0,374.0,0
2015-01-21,JAWA,368.0,368.0,367.0,368.0,245600
2015-01-22,JAWA,368.0,370.0,368.0,370.0,682900
2015-01-23,JAWA,370.0,370.0,370.0,370.0,59100
2015-01-26,JAWA,370.0,370.0,368.0,370.0,488600
2015-01-27,JAWA,370.0,370.0,360.0,370.0,400000
2015-01-28,JAWA,370.0,370.0,370.0,370.0,43300
