Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,MLPL,895.0,940.0,880.0,895.0,110769400
2014-10-21,MLPL,940.0,945.0,895.0,940.0,82351800
2014-10-22,MLPL,950.0,965.0,940.0,950.0,42617700
2014-10-23,MLPL,940.0,955.0,930.0,940.0,25582000
2014-10-24,MLPL,940.0,950.0,920.0,940.0,11913100
2014-10-27,MLPL,960.0,965.0,915.0,960.0,43256100
2014-10-28,MLPL,940.0,985.0,940.0,940.0,28609700
2014-10-29,MLPL,945.0,955.0,925.0,945.0,26168700
2014-10-30,MLPL,945.0,945.0,920.0,945.0,18491900
2014-10-31,MLPL,940.0,945.0,925.0,940.0,24776500
2014-11-03,MLPL,920.0,940.0,920.0,920.0,4077500
2014-11-04,MLPL,890.0,925.0,875.0,890.0,23289800
2014-11-05,MLPL,905.0,910.0,880.0,905.0,14316100
2014-11-06,MLPL,895.0,915.0,895.0,895.0,7942000
2014-11-07,MLPL,885.0,895.0,865.0,885.0,8777900
2014-11-10,MLPL,895.0,910.0,880.0,895.0,6188100
2014-11-11,MLPL,905.0,915.0,895.0,905.0,12837400
2014-11-12,MLPL,900.0,910.0,890.0,900.0,6522600
2014-11-13,MLPL,935.0,940.0,900.0,935.0,21637200
2014-11-14,MLPL,915.0,950.0,910.0,915.0,22566500
2014-11-17,MLPL,915.0,925.0,910.0,925.0,9946500
2014-11-18,MLPL,935.0,950.0,920.0,935.0,18866400
2014-11-19,MLPL,950.0,965.0,940.0,950.0,16829300
2014-11-20,MLPL,925.0,955.0,925.0,925.0,8779600
2014-11-21,MLPL,925.0,935.0,920.0,925.0,10581700
2014-11-24,MLPL,925.0,950.0,925.0,925.0,7423500
2014-11-25,MLPL,930.0,945.0,925.0,930.0,7863700
2014-11-26,MLPL,910.0,940.0,895.0,910.0,14603000
2014-11-27,MLPL,915.0,920.0,905.0,915.0,4564700
2014-11-28,MLPL,920.0,925.0,910.0,920.0,6064500
2014-12-01,MLPL,920.0,925.0,900.0,900.0,19008300
2014-12-02,MLPL,900.0,930.0,895.0,920.0,34020300
2014-12-03,MLPL,930.0,930.0,900.0,905.0,17724000
2014-12-04,MLPL,905.0,910.0,895.0,900.0,14490800
2014-12-05,MLPL,905.0,910.0,890.0,895.0,7733400
2014-12-08,MLPL,895.0,895.0,860.0,865.0,16944700
2014-12-09,MLPL,870.0,875.0,850.0,870.0,8991300
2014-12-10,MLPL,875.0,900.0,865.0,900.0,12421200
2014-12-11,MLPL,895.0,900.0,875.0,885.0,5177900
2014-12-12,MLPL,885.0,900.0,875.0,895.0,12831700
2014-12-15,MLPL,895.0,895.0,860.0,865.0,8042700
2014-12-16,MLPL,850.0,860.0,815.0,825.0,27047400
2014-12-17,MLPL,825.0,845.0,800.0,845.0,13293400
2014-12-18,MLPL,850.0,860.0,830.0,830.0,5460700
2014-12-19,MLPL,845.0,845.0,815.0,820.0,6650100
