Date,Ticker,Open,High,Low,Close,Volume
2017-07-06,MPOW,424.0,424.0,424.0,424.0,191900
2017-07-07,MPOW,530.0,530.0,510.0,530.0,6325600
2017-07-10,MPOW,550.0,650.0,505.0,525.0,5907900
2017-07-11,MPOW,530.0,550.0,492.0,550.0,3778000
2017-07-12,MPOW,550.0,630.0,550.0,565.0,2359600
2017-07-13,MPOW,570.0,575.0,520.0,525.0,1293400
2017-07-14,MPOW,530.0,530.0,486.0,494.0,1337400
2017-07-17,MPOW,494.0,560.0,482.0,510.0,833500
2017-07-18,MPOW,510.0,515.0,488.0,492.0,313200
2017-07-19,MPOW,498.0,510.0,492.0,510.0,301900
2017-07-20,MPOW,500.0,515.0,496.0,498.0,452000
2017-07-21,MPOW,498.0,505.0,482.0,498.0,708100
2017-07-24,MPOW,498.0,500.0,490.0,490.0,221000
2017-07-25,MPOW,490.0,492.0,474.0,474.0,172100
2017-07-26,MPOW,478.0,484.0,466.0,468.0,172500
2017-07-27,MPOW,468.0,505.0,448.0,500.0,397400
2017-07-28,MPOW,500.0,500.0,452.0,470.0,82600
2017-07-31,MPOW,470.0,472.0,464.0,464.0,39300
2017-08-01,MPOW,464.0,505.0,464.0,488.0,799700
2017-08-02,MPOW,488.0,500.0,486.0,488.0,63000
2017-08-03,MPOW,488.0,496.0,480.0,480.0,100300
2017-08-04,MPOW,480.0,484.0,460.0,476.0,173900
2017-08-07,MPOW,480.0,480.0,454.0,454.0,82900
2017-08-08,MPOW,454.0,478.0,428.0,458.0,696200
2017-08-09,MPOW,458.0,466.0,436.0,436.0,62200
2017-08-10,MPOW,436.0,436.0,428.0,430.0,168100
2017-08-11,MPOW,430.0,430.0,414.0,414.0,51400
2017-08-14,MPOW,414.0,414.0,388.0,398.0,104900
2017-08-15,MPOW,398.0,398.0,390.0,390.0,44400
2017-08-16,MPOW,380.0,436.0,380.0,402.0,142500
2017-08-17,MPOW,402.0,402.0,402.0,402.0,0
2017-08-18,MPOW,412.0,412.0,388.0,388.0,38600
2017-08-21,MPOW,388.0,394.0,388.0,388.0,133300
2017-08-22,MPOW,388.0,388.0,342.0,350.0,97900
2017-08-23,MPOW,354.0,354.0,346.0,350.0,95400
2017-08-24,MPOW,352.0,354.0,340.0,354.0,6700
2017-08-25,MPOW,350.0,350.0,344.0,348.0,20900
2017-08-28,MPOW,342.0,342.0,292.0,300.0,589400
2017-08-29,MPOW,300.0,374.0,300.0,374.0,692400
2017-08-30,MPOW,390.0,464.0,380.0,392.0,6431400
2017-08-31,MPOW,394.0,414.0,360.0,388.0,1826700
2017-09-01,MPOW,388.0,388.0,388.0,388.0,0
2017-09-04,MPOW,386.0,386.0,360.0,372.0,209200
2017-09-05,MPOW,374.0,386.0,320.0,330.0,359800
2017-09-06,MPOW,330.0,350.0,312.0,316.0,157400
2017-09-07,MPOW,316.0,346.0,316.0,326.0,173500
2017-09-08,MPOW,326.0,332.0,318.0,328.0,63400
2017-09-11,MPOW,328.0,342.0,320.0,328.0,106600
2017-09-12,MPOW,328.0,332.0,316.0,328.0,247800
2017-09-13,MPOW,330.0,330.0,324.0,324.0,46400
2017-09-14,MPOW,318.0,330.0,316.0,318.0,184500
2017-09-15,MPOW,326.0,326.0,316.0,324.0,63100
2017-09-18,MPOW,332.0,360.0,332.0,342.0,8600
2017-09-19,MPOW,320.0,380.0,316.0,326.0,402300
2017-09-20,MPOW,330.0,338.0,320.0,320.0,113300
2017-09-21,MPOW,320.0,320.0,320.0,320.0,0
2017-09-22,MPOW,328.0,332.0,318.0,326.0,6300
2017-09-25,MPOW,332.0,332.0,306.0,308.0,55000
2017-09-26,MPOW,308.0,310.0,300.0,300.0,79400
2017-09-27,MPOW,310.0,314.0,304.0,308.0,32300
2017-09-28,MPOW,308.0,308.0,308.0,308.0,2900
2017-09-29,MPOW,308.0,312.0,302.0,302.0,4300
2017-10-02,MPOW,308.0,308.0,302.0,302.0,25500
2017-10-03,MPOW,308.0,316.0,308.0,310.0,4300
