Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,MYOR,1240.0,1240.0,1220.0,1240.0,642500
2014-10-21,MYOR,1220.0,1240.0,1220.0,1220.0,155000
2014-10-22,MYOR,1220.0,1220.0,1220.0,1220.0,0
2014-10-23,MYOR,1200.0,1212.0,1200.0,1200.0,7500
2014-10-24,MYOR,1200.0,1200.0,1200.0,1200.0,0
2014-10-27,MYOR,1200.0,1200.0,1200.0,1200.0,0
2014-10-28,MYOR,1184.0,1200.0,1184.0,1184.0,37500
2014-10-29,MYOR,1200.0,1200.0,1172.0,1200.0,42500
2014-10-30,MYOR,1180.0,1199.0,1180.0,1180.0,15000
2014-10-31,MYOR,1131.0,1178.0,1121.0,1131.0,990000
2014-11-03,MYOR,1084.0,1131.0,1076.0,1084.0,915000
2014-11-04,MYOR,1060.0,1092.0,1052.0,1060.0,1000000
2014-11-05,MYOR,1037.0,1060.0,1028.0,1037.0,422500
2014-11-06,MYOR,1040.0,1040.0,1032.0,1040.0,202500
2014-11-07,MYOR,1036.0,1040.0,1036.0,1036.0,72500
2014-11-10,MYOR,1048.0,1059.0,1036.0,1048.0,485000
2014-11-11,MYOR,1029.0,1049.0,1027.0,1029.0,467500
2014-11-12,MYOR,1030.0,1040.0,1027.0,1030.0,207500
2014-11-13,MYOR,1032.0,1040.0,1028.0,1032.0,42500
2014-11-14,MYOR,1030.0,1032.0,1030.0,1030.0,247500
2014-11-17,MYOR,1030.0,1032.0,1026.0,1028.0,227500
2014-11-18,MYOR,1023.0,1038.0,1020.0,1023.0,172500
2014-11-19,MYOR,996.0,1036.0,995.0,996.0,940000
2014-11-20,MYOR,988.0,1006.0,988.0,988.0,257500
2014-11-21,MYOR,970.0,996.0,970.0,970.0,417500
2014-11-24,MYOR,1008.0,1008.0,974.0,1008.0,3267500
2014-11-25,MYOR,1023.0,1038.0,1023.0,1023.0,957500
2014-11-26,MYOR,1020.0,1043.0,1020.0,1020.0,1415000
2014-11-27,MYOR,1014.0,1020.0,1011.0,1014.0,205000
2014-11-28,MYOR,1008.0,1012.0,1008.0,1008.0,317500
2014-12-01,MYOR,1011.0,1012.0,998.0,1000.0,395000
2014-12-02,MYOR,1002.0,1004.0,970.0,972.0,872500
2014-12-03,MYOR,974.0,974.0,943.0,948.0,1005000
2014-12-04,MYOR,948.0,948.0,918.0,936.0,2477500
2014-12-05,MYOR,937.0,937.0,907.0,907.0,1100000
2014-12-08,MYOR,940.0,940.0,924.0,936.0,932500
2014-12-09,MYOR,934.0,934.0,925.0,925.0,267500
2014-12-10,MYOR,925.0,925.0,921.0,925.0,237500
2014-12-11,MYOR,924.0,925.0,923.0,925.0,305000
2014-12-12,MYOR,924.0,925.0,917.0,925.0,200000
2014-12-15,MYOR,924.0,924.0,906.0,910.0,337500
2014-12-16,MYOR,911.0,911.0,876.0,880.0,5612500
2014-12-17,MYOR,880.0,884.0,876.0,877.0,14665000
2014-12-18,MYOR,890.0,900.0,876.0,876.0,477500
2014-12-19,MYOR,880.0,880.0,852.0,858.0,1930000
2014-12-22,MYOR,859.0,860.0,826.0,836.0,8167500
2014-12-23,MYOR,836.0,836.0,823.0,823.0,1270000
2014-12-24,MYOR,823.0,827.0,818.0,822.0,577500
2014-12-29,MYOR,824.0,840.0,824.0,839.0,1535000
2014-12-30,MYOR,840.0,840.0,824.0,836.0,3687500
2015-01-02,MYOR,826.0,852.0,826.0,852.0,1100000
2015-01-05,MYOR,852.0,924.0,852.0,924.0,1837500
2015-01-06,MYOR,924.0,966.0,923.0,952.0,3222500
2015-01-07,MYOR,953.0,966.0,928.0,938.0,880000
2015-01-08,MYOR,932.0,932.0,901.0,904.0,1075000
2015-01-09,MYOR,904.0,904.0,869.0,879.0,4167500
2015-01-12,MYOR,879.0,880.0,866.0,866.0,617500
2015-01-13,MYOR,866.0,873.0,844.0,856.0,3230000
2015-01-14,MYOR,858.0,858.0,838.0,840.0,1490000
2015-01-15,MYOR,840.0,858.0,836.0,840.0,1347500
2015-01-16,MYOR,840.0,840.0,828.0,840.0,890000
2015-01-19,MYOR,840.0,847.0,830.0,842.0,2197500
2015-01-20,MYOR,844.0,886.0,843.0,880.0,917500
2015-01-21,MYOR,880.0,953.0,880.0,952.0,8937500
2015-01-22,MYOR,953.0,1020.0,953.0,1000.0,4342500
2015-01-23,MYOR,1000.0,1002.0,983.0,991.0,4067500
2015-01-26,MYOR,990.0,990.0,940.0,961.0,3905000
2015-01-27,MYOR,961.0,961.0,916.0,941.0,5507500
2015-01-28,MYOR,922.0,967.0,922.0,964.0,1677500
2015-01-29,MYOR,964.0,968.0,960.0,968.0,335000
2015-01-30,MYOR,968.0,974.0,964.0,970.0,425000
2015-02-02,MYOR,970.0,980.0,970.0,976.0,845000
2015-02-03,MYOR,996.0,1020.0,996.0,1015.0,3992500
2015-02-04,MYOR,1014.0,1014.0,1000.0,1000.0,2385000
2015-02-05,MYOR,1000.0,1006.0,1000.0,1000.0,3770000
2015-02-06,MYOR,1000.0,1000.0,996.0,996.0,3620000
2015-02-09,MYOR,992.0,994.0,983.0,984.0,2172500
2015-02-10,MYOR,977.0,978.0,976.0,977.0,1480000
2015-02-11,MYOR,1012.0,1012.0,985.0,985.0,452500
2015-02-12,MYOR,985.0,985.0,970.0,972.0,2797500
2015-02-13,MYOR,972.0,999.0,970.0,972.0,6027500
2015-02-16,MYOR,976.0,984.0,974.0,976.0,1380000
2015-02-17,MYOR,960.0,978.0,960.0,976.0,2085000
2015-02-18,MYOR,976.0,980.0,976.0,980.0,3420000
2015-02-20,MYOR,980.0,980.0,962.0,980.0,3172500
2015-02-23,MYOR,966.0,982.0,964.0,982.0,42500
2015-02-24,MYOR,982.0,982.0,969.0,980.0,687500
2015-02-25,MYOR,972.0,980.0,972.0,980.0,140000
2015-02-26,MYOR,979.0,980.0,965.0,980.0,417500
2015-02-27,MYOR,973.0,980.0,972.0,980.0,245000
2015-03-02,MYOR,979.0,986.0,979.0,980.0,3970000
2015-03-03,MYOR,982.0,982.0,979.0,980.0,1027500
2015-03-04,MYOR,978.0,982.0,978.0,980.0,872500
2015-03-05,MYOR,981.0,991.0,980.0,981.0,42500
2015-03-06,MYOR,974.0,994.0,974.0,994.0,187500
2015-03-09,MYOR,975.0,994.0,974.0,994.0,1327500
2015-03-10,MYOR,996.0,1012.0,996.0,1012.0,562500
2015-03-11,MYOR,1012.0,1048.0,1012.0,1040.0,4880000
2015-03-12,MYOR,1040.0,1094.0,1040.0,1086.0,4297500
2015-03-13,MYOR,1089.0,1102.0,1076.0,1088.0,3070000
2015-03-16,MYOR,1068.0,1124.0,1064.0,1108.0,2062500
2015-03-17,MYOR,1104.0,1115.0,1104.0,1110.0,480000
2015-03-18,MYOR,1110.0,1131.0,1110.0,1124.0,590000
2015-03-19,MYOR,1125.0,1130.0,1122.0,1130.0,1475000
2015-03-20,MYOR,1130.0,1140.0,1128.0,1136.0,1727500
2015-03-23,MYOR,1136.0,1166.0,1136.0,1160.0,1045000
