Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,PTRO,1070.0,1070.0,1050.0,1070.0,97700
2014-10-21,PTRO,1080.0,1080.0,1005.0,1080.0,85500
2014-10-22,PTRO,1070.0,1075.0,1055.0,1070.0,105700
2014-10-23,PTRO,1070.0,1090.0,1065.0,1070.0,49400
2014-10-24,PTRO,1065.0,1075.0,1055.0,1065.0,23200
2014-10-27,PTRO,1035.0,1080.0,1035.0,1035.0,145200
2014-10-28,PTRO,1030.0,1050.0,1020.0,1030.0,107500
2014-10-29,PTRO,1040.0,1050.0,1035.0,1040.0,44000
2014-10-30,PTRO,1055.0,1055.0,1040.0,1055.0,85300
2014-10-31,PTRO,1060.0,1070.0,1050.0,1060.0,56900
2014-11-03,PTRO,1050.0,1065.0,1045.0,1050.0,61300
2014-11-04,PTRO,1050.0,1070.0,1040.0,1050.0,119400
2014-11-05,PTRO,1030.0,1050.0,1030.0,1030.0,103200
2014-11-06,PTRO,1030.0,1045.0,1030.0,1030.0,151500
2014-11-07,PTRO,1020.0,1050.0,1020.0,1020.0,53600
2014-11-10,PTRO,1025.0,1085.0,1015.0,1025.0,108200
2014-11-11,PTRO,1020.0,1050.0,1015.0,1020.0,203100
2014-11-12,PTRO,1025.0,1035.0,1020.0,1025.0,268900
2014-11-13,PTRO,1020.0,1030.0,1010.0,1020.0,138300
2014-11-14,PTRO,1025.0,1045.0,1015.0,1025.0,245000
2014-11-17,PTRO,1025.0,1040.0,1015.0,1020.0,118000
2014-11-18,PTRO,1015.0,1030.0,1010.0,1015.0,181300
2014-11-19,PTRO,1020.0,1030.0,1015.0,1020.0,73400
2014-11-20,PTRO,1000.0,1030.0,1000.0,1000.0,2390900
2014-11-21,PTRO,1000.0,1015.0,995.0,1000.0,157200
2014-11-24,PTRO,990.0,1010.0,980.0,990.0,970800
2014-11-25,PTRO,1005.0,1030.0,995.0,1005.0,357500
2014-11-26,PTRO,1010.0,1025.0,995.0,1010.0,146900
2014-11-27,PTRO,1045.0,1070.0,1005.0,1045.0,447600
2014-11-28,PTRO,1035.0,1040.0,1015.0,1035.0,242000
2014-12-01,PTRO,1025.0,1025.0,1000.0,1015.0,176300
2014-12-02,PTRO,1020.0,1055.0,1015.0,1025.0,551400
2014-12-03,PTRO,1025.0,1030.0,1010.0,1020.0,106600
2014-12-04,PTRO,1030.0,1060.0,1010.0,1055.0,1586500
2014-12-05,PTRO,1055.0,1080.0,1025.0,1025.0,2524700
2014-12-08,PTRO,1025.0,1030.0,1015.0,1025.0,123200
2014-12-09,PTRO,1015.0,1025.0,1005.0,1010.0,243900
2014-12-10,PTRO,1010.0,1020.0,1005.0,1005.0,129500
2014-12-11,PTRO,1000.0,1020.0,1000.0,1015.0,357500
2014-12-12,PTRO,1015.0,1015.0,995.0,1000.0,345700
2014-12-15,PTRO,1000.0,1010.0,995.0,995.0,88800
2014-12-16,PTRO,995.0,995.0,950.0,955.0,884100
2014-12-17,PTRO,955.0,970.0,950.0,955.0,105300
2014-12-18,PTRO,960.0,975.0,920.0,920.0,776600
2014-12-19,PTRO,940.0,940.0,925.0,925.0,508400
2014-12-22,PTRO,950.0,950.0,920.0,925.0,73300
2014-12-23,PTRO,925.0,930.0,905.0,920.0,121000
2014-12-24,PTRO,925.0,950.0,920.0,920.0,387100
2014-12-29,PTRO,920.0,930.0,920.0,920.0,287400
2014-12-30,PTRO,925.0,935.0,925.0,925.0,161600
2015-01-02,PTRO,925.0,935.0,925.0,930.0,37600
2015-01-05,PTRO,930.0,945.0,920.0,940.0,53500
2015-01-06,PTRO,930.0,935.0,920.0,930.0,57400
2015-01-07,PTRO,930.0,940.0,925.0,940.0,98700
2015-01-08,PTRO,940.0,945.0,925.0,935.0,132200
2015-01-09,PTRO,940.0,940.0,910.0,930.0,435800
2015-01-12,PTRO,935.0,935.0,915.0,920.0,77300
2015-01-13,PTRO,920.0,925.0,915.0,920.0,30900
2015-01-14,PTRO,915.0,930.0,915.0,920.0,41300
2015-01-15,PTRO,920.0,925.0,915.0,920.0,156300
2015-01-16,PTRO,920.0,920.0,915.0,915.0,50000
2015-01-19,PTRO,920.0,925.0,915.0,920.0,109300
2015-01-20,PTRO,920.0,920.0,905.0,915.0,93200
2015-01-21,PTRO,915.0,920.0,910.0,920.0,114400
2015-01-22,PTRO,910.0,920.0,910.0,920.0,38200
2015-01-23,PTRO,915.0,925.0,910.0,915.0,92400
2015-01-26,PTRO,915.0,920.0,910.0,915.0,147900
2015-01-27,PTRO,910.0,915.0,910.0,910.0,49400
2015-01-28,PTRO,915.0,935.0,910.0,920.0,1470400
2015-01-29,PTRO,920.0,925.0,910.0,920.0,28200
2015-01-30,PTRO,915.0,920.0,910.0,920.0,72600
2015-02-02,PTRO,910.0,915.0,900.0,905.0,886200
2015-02-03,PTRO,900.0,910.0,885.0,885.0,944500
2015-02-04,PTRO,890.0,905.0,885.0,885.0,162400
2015-02-05,PTRO,885.0,900.0,875.0,880.0,423600
2015-02-06,PTRO,875.0,880.0,865.0,870.0,554600
2015-02-09,PTRO,880.0,880.0,870.0,875.0,231800
2015-02-10,PTRO,875.0,875.0,870.0,870.0,121900
2015-02-11,PTRO,870.0,875.0,855.0,860.0,666600
2015-02-12,PTRO,860.0,875.0,855.0,860.0,149100
2015-02-13,PTRO,865.0,880.0,860.0,865.0,2145900
2015-02-16,PTRO,865.0,870.0,850.0,850.0,414400
2015-02-17,PTRO,850.0,850.0,825.0,835.0,1422600
2015-02-18,PTRO,835.0,860.0,835.0,835.0,774100
2015-02-20,PTRO,840.0,845.0,835.0,840.0,105000
2015-02-23,PTRO,830.0,845.0,825.0,830.0,140700
2015-02-24,PTRO,830.0,835.0,825.0,825.0,300600
2015-02-25,PTRO,830.0,835.0,820.0,825.0,448000
2015-02-26,PTRO,825.0,835.0,825.0,830.0,636300
2015-02-27,PTRO,830.0,850.0,830.0,840.0,1560600
2015-03-02,PTRO,840.0,840.0,830.0,830.0,538700
2015-03-03,PTRO,835.0,840.0,820.0,825.0,416300
2015-03-04,PTRO,825.0,825.0,815.0,820.0,101900
2015-03-05,PTRO,810.0,820.0,800.0,810.0,4192200
2015-03-06,PTRO,815.0,820.0,805.0,805.0,149800
2015-03-09,PTRO,805.0,845.0,805.0,840.0,1150400
2015-03-10,PTRO,870.0,870.0,835.0,835.0,1847700
2015-03-11,PTRO,845.0,845.0,820.0,830.0,307400
2015-03-12,PTRO,830.0,830.0,820.0,820.0,100600
2015-03-13,PTRO,820.0,820.0,815.0,820.0,69500
2015-03-16,PTRO,820.0,820.0,810.0,815.0,164900
2015-03-17,PTRO,820.0,850.0,810.0,830.0,651800
2015-03-18,PTRO,830.0,830.0,800.0,805.0,1095100
2015-03-19,PTRO,805.0,810.0,795.0,800.0,345900
2015-03-20,PTRO,805.0,810.0,800.0,800.0,34500
2015-03-23,PTRO,800.0,810.0,800.0,805.0,274300
2015-03-24,PTRO,805.0,805.0,795.0,800.0,121200
2015-03-25,PTRO,795.0,800.0,785.0,795.0,262300
2015-03-26,PTRO,780.0,790.0,770.0,770.0,143400
2015-03-27,PTRO,770.0,810.0,760.0,785.0,603400
2015-03-30,PTRO,785.0,800.0,785.0,785.0,97400
