Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,SIMP,745.0,760.0,735.0,745.0,3993300
2014-10-21,SIMP,735.0,745.0,735.0,735.0,5887800
2014-10-22,SIMP,725.0,745.0,720.0,725.0,10320400
2014-10-23,SIMP,735.0,735.0,720.0,735.0,16276500
2014-10-24,SIMP,745.0,760.0,730.0,745.0,29336400
2014-10-27,SIMP,735.0,755.0,725.0,735.0,9838400
2014-10-28,SIMP,730.0,735.0,720.0,730.0,8604600
2014-10-29,SIMP,750.0,755.0,730.0,750.0,13717300
2014-10-30,SIMP,775.0,785.0,755.0,775.0,30065200
2014-10-31,SIMP,775.0,795.0,770.0,775.0,23240900
2014-11-03,SIMP,775.0,785.0,775.0,775.0,6590000
2014-11-04,SIMP,755.0,780.0,755.0,755.0,11229900
2014-11-05,SIMP,745.0,765.0,745.0,745.0,8873700
2014-11-06,SIMP,745.0,765.0,740.0,745.0,7579200
2014-11-07,SIMP,735.0,745.0,730.0,735.0,9469800
2014-11-10,SIMP,745.0,750.0,735.0,745.0,3404400
2014-11-11,SIMP,745.0,760.0,740.0,745.0,9381200
2014-11-12,SIMP,745.0,755.0,745.0,745.0,6314700
2014-11-13,SIMP,740.0,750.0,735.0,740.0,3961500
2014-11-14,SIMP,725.0,745.0,725.0,725.0,9908600
2014-11-17,SIMP,725.0,745.0,725.0,730.0,11727400
2014-11-18,SIMP,725.0,735.0,720.0,725.0,9654300
2014-11-19,SIMP,730.0,740.0,725.0,730.0,11614700
2014-11-20,SIMP,750.0,755.0,730.0,750.0,31530300
2014-11-21,SIMP,765.0,775.0,750.0,765.0,25457900
2014-11-24,SIMP,765.0,780.0,765.0,765.0,11559000
2014-11-25,SIMP,755.0,770.0,755.0,755.0,6641700
2014-11-26,SIMP,755.0,760.0,745.0,755.0,7092800
2014-11-27,SIMP,760.0,770.0,755.0,760.0,7280500
2014-11-28,SIMP,750.0,760.0,750.0,750.0,6434700
2014-12-01,SIMP,755.0,755.0,735.0,735.0,6273000
2014-12-02,SIMP,740.0,750.0,740.0,750.0,4967400
2014-12-03,SIMP,750.0,750.0,740.0,745.0,2464000
2014-12-04,SIMP,745.0,770.0,745.0,760.0,11165800
2014-12-05,SIMP,765.0,775.0,760.0,760.0,11270300
2014-12-08,SIMP,770.0,770.0,740.0,745.0,6900700
2014-12-09,SIMP,745.0,750.0,740.0,745.0,3722000
2014-12-10,SIMP,750.0,750.0,735.0,740.0,4198400
2014-12-11,SIMP,735.0,745.0,730.0,740.0,2551300
2014-12-12,SIMP,740.0,745.0,730.0,735.0,2215600
2014-12-15,SIMP,730.0,735.0,720.0,730.0,5367800
2014-12-16,SIMP,725.0,730.0,690.0,695.0,17627200
2014-12-17,SIMP,695.0,705.0,690.0,695.0,5268000
2014-12-18,SIMP,710.0,710.0,695.0,700.0,9297000
2014-12-19,SIMP,705.0,715.0,695.0,715.0,6148100
2014-12-22,SIMP,715.0,715.0,695.0,695.0,4339800
2014-12-23,SIMP,700.0,710.0,695.0,700.0,3568700
2014-12-24,SIMP,705.0,710.0,700.0,705.0,5644100
2014-12-29,SIMP,710.0,715.0,700.0,710.0,2586500
2014-12-30,SIMP,710.0,715.0,705.0,705.0,5869400
2015-01-02,SIMP,710.0,720.0,705.0,715.0,6742100
2015-01-05,SIMP,715.0,720.0,705.0,710.0,8555600
2015-01-06,SIMP,705.0,705.0,695.0,700.0,6871900
2015-01-07,SIMP,700.0,705.0,695.0,695.0,10651200
2015-01-08,SIMP,705.0,730.0,700.0,725.0,19870300
2015-01-09,SIMP,740.0,750.0,725.0,730.0,20555600
2015-01-12,SIMP,725.0,730.0,710.0,715.0,7193800
2015-01-13,SIMP,715.0,725.0,710.0,720.0,2782100
2015-01-14,SIMP,720.0,725.0,700.0,710.0,5916100
2015-01-15,SIMP,715.0,720.0,705.0,715.0,4295000
2015-01-16,SIMP,705.0,715.0,705.0,710.0,2943700
2015-01-19,SIMP,710.0,715.0,700.0,705.0,1463600
2015-01-20,SIMP,705.0,710.0,695.0,700.0,4395500
2015-01-21,SIMP,700.0,710.0,700.0,700.0,1241000
2015-01-22,SIMP,700.0,715.0,700.0,705.0,2798500
2015-01-23,SIMP,705.0,720.0,705.0,710.0,4370200
2015-01-26,SIMP,720.0,720.0,690.0,695.0,10490100
2015-01-27,SIMP,695.0,700.0,690.0,695.0,9813900
2015-01-28,SIMP,700.0,705.0,695.0,700.0,1351100
2015-01-29,SIMP,700.0,700.0,695.0,695.0,958600
2015-01-30,SIMP,700.0,700.0,680.0,690.0,4339100
2015-02-02,SIMP,685.0,690.0,680.0,685.0,6148200
2015-02-03,SIMP,690.0,690.0,680.0,690.0,6910300
2015-02-04,SIMP,690.0,695.0,685.0,685.0,4539900
2015-02-05,SIMP,690.0,730.0,685.0,725.0,17272800
2015-02-06,SIMP,730.0,740.0,720.0,725.0,16880100
2015-02-09,SIMP,730.0,735.0,710.0,710.0,3071300
2015-02-10,SIMP,715.0,715.0,700.0,700.0,4594900
2015-02-11,SIMP,705.0,710.0,695.0,700.0,5733000
2015-02-12,SIMP,700.0,715.0,695.0,700.0,4716000
2015-02-13,SIMP,705.0,710.0,700.0,705.0,4241600
2015-02-16,SIMP,705.0,710.0,700.0,700.0,2906700
2015-02-17,SIMP,705.0,710.0,700.0,705.0,2679900
2015-02-18,SIMP,705.0,710.0,700.0,705.0,2149400
2015-02-20,SIMP,715.0,715.0,700.0,700.0,792900
2015-02-23,SIMP,700.0,710.0,690.0,690.0,4219600
2015-02-24,SIMP,700.0,700.0,690.0,690.0,2109200
2015-02-25,SIMP,695.0,700.0,690.0,700.0,3319400
2015-02-26,SIMP,700.0,710.0,700.0,700.0,6815200
2015-02-27,SIMP,710.0,760.0,705.0,745.0,37563300
2015-03-02,SIMP,760.0,770.0,750.0,755.0,17772600
2015-03-03,SIMP,770.0,770.0,735.0,740.0,19601800
2015-03-04,SIMP,750.0,750.0,735.0,740.0,18049900
2015-03-05,SIMP,735.0,750.0,735.0,735.0,9669400
2015-03-06,SIMP,735.0,740.0,720.0,725.0,8059000
2015-03-09,SIMP,725.0,730.0,710.0,720.0,6185100
2015-03-10,SIMP,720.0,730.0,715.0,720.0,5292000
2015-03-11,SIMP,715.0,720.0,705.0,715.0,9117500
2015-03-12,SIMP,735.0,735.0,710.0,715.0,3560500
2015-03-13,SIMP,715.0,720.0,705.0,705.0,4273200
2015-03-16,SIMP,710.0,730.0,705.0,725.0,12334000
2015-03-17,SIMP,730.0,730.0,710.0,715.0,5205400
2015-03-18,SIMP,715.0,715.0,705.0,710.0,5561400
2015-03-19,SIMP,715.0,720.0,705.0,705.0,6983700
2015-03-20,SIMP,710.0,710.0,700.0,705.0,4337500
2015-03-23,SIMP,705.0,705.0,690.0,695.0,7292400
2015-03-24,SIMP,700.0,705.0,695.0,695.0,2728800
2015-03-25,SIMP,700.0,705.0,675.0,680.0,12658600
2015-03-26,SIMP,685.0,690.0,670.0,675.0,6619100
2015-03-27,SIMP,680.0,685.0,670.0,675.0,7553800
2015-03-30,SIMP,680.0,695.0,680.0,690.0,5745900
2015-03-31,SIMP,690.0,700.0,690.0,700.0,6596000
2015-04-01,SIMP,695.0,700.0,685.0,690.0,3644000
2015-04-02,SIMP,690.0,690.0,680.0,680.0,2764000
2015-04-06,SIMP,690.0,690.0,680.0,685.0,4869200
2015-04-07,SIMP,690.0,700.0,685.0,690.0,5506600
2015-04-08,SIMP,695.0,695.0,680.0,685.0,3736500
2015-04-09,SIMP,690.0,690.0,685.0,690.0,3937200
2015-04-10,SIMP,685.0,690.0,685.0,685.0,2953600
2015-04-13,SIMP,680.0,690.0,680.0,680.0,2237700
2015-04-14,SIMP,685.0,685.0,670.0,675.0,6602100
2015-04-15,SIMP,670.0,680.0,670.0,675.0,2159300
2015-04-16,SIMP,680.0,690.0,670.0,675.0,4819600
2015-04-17,SIMP,675.0,685.0,670.0,670.0,5341100
2015-04-20,SIMP,670.0,680.0,670.0,680.0,1409500
2015-04-21,SIMP,680.0,710.0,675.0,700.0,15059500
2015-04-22,SIMP,705.0,705.0,680.0,680.0,3170900
2015-04-23,SIMP,680.0,685.0,675.0,680.0,4267900
2015-04-24,SIMP,680.0,695.0,675.0,675.0,4840200
2015-04-27,SIMP,675.0,675.0,640.0,645.0,8661100
2015-04-28,SIMP,645.0,645.0,620.0,645.0,6999500
2015-04-29,SIMP,655.0,655.0,625.0,645.0,4544700
2015-04-30,SIMP,635.0,650.0,630.0,640.0,3711800
2015-05-04,SIMP,640.0,650.0,635.0,640.0,3124200
2015-05-05,SIMP,635.0,645.0,630.0,630.0,3583800
2015-05-06,SIMP,630.0,655.0,630.0,645.0,7563100
2015-05-07,SIMP,640.0,645.0,635.0,645.0,3006300
2015-05-08,SIMP,635.0,650.0,635.0,640.0,3212100
2015-05-11,SIMP,645.0,665.0,645.0,660.0,4167500
2015-05-12,SIMP,660.0,700.0,655.0,695.0,16212400
2015-05-13,SIMP,690.0,725.0,685.0,710.0,24484000
2015-05-15,SIMP,710.0,710.0,690.0,695.0,7362800
2015-05-18,SIMP,690.0,700.0,665.0,680.0,4862300
2015-05-19,SIMP,680.0,705.0,670.0,685.0,10407800
2015-05-20,SIMP,695.0,695.0,670.0,670.0,7687800
2015-05-21,SIMP,660.0,680.0,660.0,665.0,4928200
2015-05-22,SIMP,680.0,680.0,665.0,675.0,8444500
2015-05-25,SIMP,675.0,690.0,665.0,675.0,10312500
2015-05-26,SIMP,680.0,700.0,680.0,685.0,13268100
2015-05-27,SIMP,685.0,685.0,665.0,675.0,6140400
2015-05-28,SIMP,675.0,685.0,665.0,665.0,4378200
2015-05-29,SIMP,670.0,675.0,625.0,625.0,15353000
2015-06-01,SIMP,630.0,645.0,630.0,640.0,3691200
2015-06-03,SIMP,645.0,670.0,635.0,655.0,6904100
2015-06-04,SIMP,660.0,665.0,650.0,660.0,5033200
2015-06-05,SIMP,665.0,665.0,655.0,660.0,2324500
2015-06-08,SIMP,650.0,665.0,635.0,640.0,3226400
2015-06-09,SIMP,640.0,645.0,605.0,620.0,5678900
2015-06-10,SIMP,620.0,640.0,620.0,620.0,1930900
2015-06-11,SIMP,630.0,640.0,620.0,630.0,1162000
2015-06-12,SIMP,630.0,630.0,615.0,630.0,1586300
2015-06-15,SIMP,625.0,630.0,605.0,615.0,2610900
2015-06-16,SIMP,605.0,620.0,600.0,615.0,1879200
2015-06-17,SIMP,605.0,625.0,605.0,615.0,2239000
2015-06-18,SIMP,605.0,615.0,600.0,610.0,6360900
2015-06-19,SIMP,605.0,620.0,605.0,610.0,2485800
2015-06-22,SIMP,610.0,620.0,610.0,615.0,806200
2015-06-23,SIMP,615.0,620.0,605.0,620.0,1236900
2015-06-24,SIMP,620.0,630.0,610.0,620.0,4524300
2015-06-25,SIMP,630.0,630.0,615.0,615.0,2113500
2015-06-26,SIMP,620.0,625.0,610.0,610.0,1401000
2015-06-29,SIMP,610.0,610.0,590.0,595.0,3657000
2015-06-30,SIMP,600.0,610.0,590.0,600.0,2002500
2015-07-01,SIMP,605.0,610.0,600.0,605.0,3846000
2015-07-02,SIMP,610.0,615.0,605.0,615.0,3517800
2015-07-03,SIMP,615.0,630.0,610.0,620.0,3517000
2015-07-06,SIMP,625.0,625.0,605.0,610.0,2400500
2015-07-07,SIMP,615.0,620.0,600.0,605.0,3598700
2015-07-08,SIMP,605.0,610.0,595.0,605.0,1150700
2015-07-09,SIMP,595.0,605.0,590.0,600.0,2275200
2015-07-10,SIMP,600.0,605.0,600.0,600.0,336400
2015-07-13,SIMP,600.0,615.0,595.0,610.0,2225900
2015-07-14,SIMP,610.0,615.0,600.0,605.0,494500
2015-07-15,SIMP,605.0,615.0,595.0,600.0,1960600
2015-07-22,SIMP,600.0,605.0,595.0,595.0,1836600
2015-07-23,SIMP,600.0,600.0,590.0,595.0,929100
2015-07-24,SIMP,600.0,600.0,575.0,580.0,3400500
2015-07-27,SIMP,580.0,585.0,570.0,570.0,3196000
2015-07-28,SIMP,575.0,575.0,550.0,550.0,7756900
2015-07-29,SIMP,555.0,560.0,550.0,550.0,2737000
2015-07-30,SIMP,560.0,560.0,550.0,550.0,1751500
2015-07-31,SIMP,550.0,555.0,530.0,535.0,2061600
2015-08-03,SIMP,540.0,540.0,515.0,515.0,3290300
2015-08-04,SIMP,510.0,515.0,499.0,500.0,5557400
2015-08-05,SIMP,510.0,510.0,497.0,505.0,5160700
2015-08-06,SIMP,510.0,510.0,499.0,499.0,1817900
2015-08-07,SIMP,500.0,505.0,495.0,500.0,1196600
2015-08-10,SIMP,500.0,500.0,492.0,492.0,875100
2015-08-11,SIMP,492.0,497.0,485.0,488.0,978800
2015-08-12,SIMP,480.0,487.0,469.0,470.0,2753600
2015-08-13,SIMP,471.0,480.0,469.0,471.0,2525200
2015-08-14,SIMP,476.0,476.0,468.0,470.0,450400
2015-08-18,SIMP,470.0,470.0,460.0,469.0,2127600
2015-08-19,SIMP,469.0,471.0,465.0,467.0,1621900
2015-08-20,SIMP,475.0,475.0,463.0,464.0,373800
2015-08-21,SIMP,464.0,465.0,452.0,455.0,536600
2015-08-24,SIMP,445.0,450.0,406.0,409.0,6158000
2015-08-25,SIMP,410.0,410.0,400.0,402.0,1858100
2015-08-26,SIMP,407.0,416.0,400.0,407.0,5883700
2015-08-27,SIMP,407.0,455.0,407.0,442.0,2217700
2015-08-28,SIMP,451.0,465.0,451.0,461.0,1861000
2015-08-31,SIMP,467.0,475.0,461.0,470.0,1432500
2015-09-01,SIMP,469.0,474.0,456.0,461.0,2384500
2015-09-02,SIMP,457.0,464.0,450.0,464.0,2164000
2015-09-03,SIMP,464.0,475.0,458.0,465.0,418000
2015-09-04,SIMP,465.0,470.0,460.0,463.0,460400
2015-09-07,SIMP,461.0,461.0,450.0,451.0,1274400
2015-09-08,SIMP,450.0,464.0,433.0,453.0,324300
2015-09-09,SIMP,463.0,490.0,450.0,474.0,2872800
2015-09-10,SIMP,470.0,470.0,457.0,457.0,1268600
2015-09-11,SIMP,465.0,485.0,460.0,469.0,1894500
2015-09-14,SIMP,469.0,475.0,461.0,463.0,3024600
2015-09-15,SIMP,463.0,470.0,455.0,457.0,1308800
2015-09-16,SIMP,459.0,460.0,457.0,459.0,219800
2015-09-17,SIMP,461.0,465.0,458.0,459.0,2193600
2015-09-18,SIMP,458.0,462.0,418.0,418.0,6051800
2015-09-21,SIMP,425.0,432.0,420.0,430.0,3161200
2015-09-22,SIMP,435.0,443.0,429.0,434.0,3220900
2015-09-23,SIMP,435.0,436.0,427.0,432.0,720700
2015-09-25,SIMP,435.0,443.0,430.0,441.0,3225200
2015-09-28,SIMP,444.0,447.0,433.0,438.0,3166600
2015-09-29,SIMP,434.0,439.0,425.0,437.0,3060800
2015-09-30,SIMP,435.0,445.0,435.0,445.0,877800
2015-10-01,SIMP,440.0,450.0,440.0,447.0,1060400
2015-10-02,SIMP,447.0,448.0,442.0,442.0,362800
2015-10-05,SIMP,442.0,467.0,442.0,451.0,1716500
2015-10-06,SIMP,461.0,467.0,447.0,450.0,4190200
2015-10-07,SIMP,450.0,461.0,450.0,458.0,1318300
2015-10-08,SIMP,459.0,465.0,455.0,465.0,2012000
2015-10-09,SIMP,465.0,474.0,465.0,471.0,2540000
2015-10-12,SIMP,472.0,489.0,472.0,483.0,4530800
2015-10-13,SIMP,494.0,494.0,472.0,473.0,3111800
2015-10-15,SIMP,471.0,481.0,470.0,475.0,944100
2015-10-16,SIMP,475.0,480.0,454.0,454.0,3732600
2015-10-19,SIMP,465.0,468.0,454.0,454.0,1152300
2015-10-20,SIMP,460.0,470.0,454.0,464.0,2475600
2015-10-21,SIMP,467.0,485.0,464.0,470.0,8350300
2015-10-22,SIMP,470.0,483.0,468.0,469.0,4525100
2015-10-23,SIMP,472.0,475.0,468.0,468.0,3632000
