Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,SMSM,1175.0,1176.25,1131.25,1175.0,51600
2014-10-21,SMSM,1175.0,1175.0,1172.5,1175.0,46400
2014-10-22,SMSM,1193.75,1195.0,1173.75,1193.75,2270000
2014-10-23,SMSM,1193.75,1193.75,1193.75,1193.75,400
2014-10-24,SMSM,1193.75,1193.75,1193.75,1193.75,0
2014-10-27,SMSM,1175.0,1192.5,1168.75,1175.0,129600
2014-10-28,SMSM,1175.0,1175.0,1175.0,1175.0,0
2014-10-29,SMSM,1141.25,1148.75,1125.0,1141.25,181600
2014-10-30,SMSM,1125.0,1150.0,1116.25,1125.0,1532000
2014-10-31,SMSM,1123.75,1131.25,1118.75,1123.75,1013600
2014-11-03,SMSM,1117.5,1123.75,1103.75,1117.5,682000
2014-11-04,SMSM,1120.0,1125.0,1117.5,1120.0,365200
2014-11-05,SMSM,1130.0,1150.0,1120.0,1130.0,2026000
2014-11-06,SMSM,1150.0,1150.0,1118.75,1150.0,1426800
2014-11-07,SMSM,1150.0,1150.0,1121.25,1150.0,125200
2014-11-10,SMSM,1175.0,1175.0,1130.0,1175.0,507600
2014-11-11,SMSM,1187.5,1187.5,1162.5,1187.5,109600
2014-11-12,SMSM,1172.5,1175.0,1148.75,1172.5,232400
2014-11-13,SMSM,1152.5,1175.0,1152.5,1152.5,9600
2014-11-14,SMSM,1120.0,1153.75,1081.25,1120.0,335600
2014-11-17,SMSM,1120.0,1125.0,1075.0,1125.0,26400
2014-11-18,SMSM,1125.0,1150.0,1113.75,1125.0,437600
2014-11-19,SMSM,1115.0,1126.25,1102.5,1115.0,114000
2014-11-20,SMSM,1113.75,1162.5,1113.75,1113.75,2073600
2014-11-21,SMSM,1137.5,1160.0,1113.75,1137.5,1541200
2014-11-24,SMSM,1148.75,1148.75,1123.75,1148.75,305200
2014-11-25,SMSM,1130.0,1162.5,1111.25,1130.0,2834800
2014-11-26,SMSM,1140.0,1140.0,1112.5,1140.0,1016000
2014-11-27,SMSM,1141.25,1146.25,1115.0,1141.25,274800
2014-11-28,SMSM,1156.25,1156.25,1115.0,1156.25,516000
2014-12-01,SMSM,1158.75,1175.0,1157.5,1163.75,327600
2014-12-02,SMSM,1175.0,1175.0,1165.0,1167.5,642800
2014-12-03,SMSM,1170.0,1175.0,1163.75,1168.75,517600
2014-12-04,SMSM,1172.5,1176.25,1168.75,1176.25,702000
2014-12-05,SMSM,1176.25,1187.5,1176.25,1187.5,234000
2014-12-08,SMSM,1187.5,1188.75,1176.25,1187.5,535600
2014-12-09,SMSM,1190.0,1192.5,1187.5,1192.5,415200
2014-12-10,SMSM,1188.75,1192.5,1188.75,1191.25,701200
2014-12-11,SMSM,1191.25,1205.0,1177.5,1200.0,230400
2014-12-12,SMSM,1197.5,1207.5,1187.5,1207.5,958000
2014-12-15,SMSM,1207.5,1210.0,1195.0,1200.0,385600
2014-12-16,SMSM,1200.0,1212.5,1150.0,1210.0,419600
2014-12-17,SMSM,1210.0,1217.5,1175.0,1210.0,1036000
2014-12-18,SMSM,1225.0,1262.5,1162.5,1186.25,1794800
2014-12-19,SMSM,1188.75,1193.75,1187.5,1188.75,346000
2014-12-22,SMSM,1188.75,1190.0,1165.0,1168.75,295200
2014-12-23,SMSM,1162.5,1165.0,1131.25,1151.25,278800
2014-12-24,SMSM,1155.0,1158.75,1152.5,1156.25,468800
2014-12-29,SMSM,1150.0,1256.25,1140.0,1256.25,451600
2014-12-30,SMSM,1200.0,1212.5,1187.5,1187.5,12400
2015-01-02,SMSM,1165.0,1181.25,1163.75,1181.25,37200
2015-01-05,SMSM,1187.5,1225.0,1175.0,1220.0,357200
2015-01-06,SMSM,1200.0,1262.5,1200.0,1220.0,481600
2015-01-07,SMSM,1227.5,1230.0,1225.0,1227.5,1501200
2015-01-08,SMSM,1227.5,1227.5,1200.0,1223.75,274800
2015-01-09,SMSM,1227.5,1232.5,1205.0,1223.75,2369600
2015-01-12,SMSM,1227.5,1231.25,1188.75,1188.75,1726400
2015-01-13,SMSM,1222.5,1227.5,1208.75,1215.0,3740400
2015-01-14,SMSM,1225.0,1232.5,1215.0,1225.0,571200
2015-01-15,SMSM,1223.75,1230.0,1191.25,1223.75,201600
