Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,SRTG,1040.0,1040.0,1020.0,1040.0,80000
2014-10-21,SRTG,1040.0,1040.0,1000.0,1040.0,25000
2014-10-22,SRTG,1040.0,1040.0,1030.0,1040.0,78500
2014-10-23,SRTG,1050.0,1050.0,1000.0,1050.0,87000
2014-10-24,SRTG,1050.0,1050.0,1050.0,1050.0,0
2014-10-27,SRTG,1050.0,1050.0,1050.0,1050.0,0
2014-10-28,SRTG,985.0,1000.0,985.0,985.0,6000
2014-10-29,SRTG,1050.0,1050.0,1050.0,1050.0,10000
2014-10-30,SRTG,1050.0,1060.0,1045.0,1050.0,110500
2014-10-31,SRTG,1070.0,1070.0,1050.0,1070.0,150500
2014-11-03,SRTG,1070.0,1070.0,1060.0,1070.0,25000
2014-11-04,SRTG,1070.0,1070.0,1070.0,1070.0,0
2014-11-05,SRTG,1070.0,1070.0,1070.0,1070.0,0
2014-11-06,SRTG,1070.0,1070.0,1070.0,1070.0,0
2014-11-07,SRTG,1100.0,1100.0,1040.0,1100.0,178000
2014-11-10,SRTG,1080.0,1080.0,1080.0,1080.0,500
2014-11-11,SRTG,1080.0,1080.0,1080.0,1080.0,0
2014-11-12,SRTG,1080.0,1080.0,1080.0,1080.0,0
2014-11-13,SRTG,1000.0,1020.0,1000.0,1000.0,64000
2014-11-14,SRTG,996.0,1055.0,996.0,996.0,9000
2014-11-17,SRTG,996.0,1000.0,1000.0,1000.0,19000
2014-11-18,SRTG,965.0,965.0,965.0,965.0,1000
2014-11-19,SRTG,965.0,965.0,965.0,965.0,0
2014-11-20,SRTG,971.0,971.0,971.0,971.0,500
2014-11-21,SRTG,1020.0,1040.0,970.0,1020.0,61500
2014-11-24,SRTG,980.0,1040.0,980.0,980.0,187000
2014-11-25,SRTG,1080.0,1100.0,985.0,1080.0,249000
2014-11-26,SRTG,1040.0,1040.0,1040.0,1040.0,11500
2014-11-27,SRTG,1040.0,1040.0,1040.0,1040.0,12500
2014-11-28,SRTG,999.0,1000.0,982.0,999.0,93500
2014-12-01,SRTG,1010.0,1015.0,1000.0,1000.0,15000
2014-12-02,SRTG,1000.0,1000.0,982.0,983.0,6500
2014-12-03,SRTG,1000.0,1005.0,1000.0,1005.0,16000
2014-12-04,SRTG,1000.0,1000.0,1000.0,1000.0,25000
2014-12-05,SRTG,1020.0,1020.0,1000.0,1000.0,11500
2014-12-08,SRTG,1020.0,1020.0,1020.0,1020.0,1000
2014-12-09,SRTG,1040.0,1040.0,1030.0,1040.0,35500
2014-12-10,SRTG,1000.0,1000.0,980.0,980.0,18500
2014-12-11,SRTG,983.0,1045.0,982.0,1045.0,18500
2014-12-12,SRTG,1000.0,1000.0,987.0,987.0,43500
2014-12-15,SRTG,987.0,987.0,987.0,987.0,0
2014-12-16,SRTG,987.0,987.0,987.0,987.0,2500
2014-12-17,SRTG,990.0,990.0,987.0,987.0,8000
2014-12-18,SRTG,983.0,990.0,980.0,990.0,22500
2014-12-19,SRTG,980.0,980.0,980.0,980.0,20000
2014-12-22,SRTG,980.0,980.0,980.0,980.0,1000
2014-12-23,SRTG,980.0,980.0,980.0,980.0,500
2014-12-24,SRTG,980.0,980.0,980.0,980.0,500
2014-12-29,SRTG,980.0,980.0,980.0,980.0,0
2014-12-30,SRTG,982.0,1030.0,980.0,1030.0,41000
2015-01-02,SRTG,1030.0,1030.0,1030.0,1030.0,0
2015-01-05,SRTG,1000.0,1000.0,1000.0,1000.0,50000
2015-01-06,SRTG,1000.0,1000.0,1000.0,1000.0,0
2015-01-07,SRTG,990.0,995.0,990.0,995.0,50000
2015-01-08,SRTG,995.0,995.0,995.0,995.0,0
2015-01-09,SRTG,990.0,1000.0,990.0,1000.0,25000
2015-01-12,SRTG,1000.0,1000.0,960.0,960.0,51000
2015-01-13,SRTG,970.0,970.0,960.0,960.0,72000
2015-01-14,SRTG,961.0,961.0,960.0,960.0,2500
2015-01-15,SRTG,970.0,1020.0,970.0,970.0,71000
2015-01-16,SRTG,970.0,970.0,970.0,970.0,0
2015-01-19,SRTG,970.0,970.0,970.0,970.0,0
2015-01-20,SRTG,970.0,970.0,970.0,970.0,500
2015-01-21,SRTG,960.0,960.0,960.0,960.0,25000
2015-01-22,SRTG,980.0,1000.0,980.0,990.0,112500
2015-01-23,SRTG,990.0,990.0,990.0,990.0,0
2015-01-26,SRTG,990.0,990.0,990.0,990.0,0
2015-01-27,SRTG,990.0,990.0,990.0,990.0,0
2015-01-28,SRTG,990.0,990.0,990.0,990.0,0
2015-01-29,SRTG,1000.0,1010.0,1000.0,1000.0,55500
2015-01-30,SRTG,970.0,970.0,970.0,970.0,500
2015-02-02,SRTG,970.0,970.0,970.0,970.0,0
2015-02-03,SRTG,960.0,960.0,960.0,960.0,7500
2015-02-04,SRTG,960.0,980.0,950.0,980.0,59000
2015-02-05,SRTG,980.0,980.0,980.0,980.0,0
2015-02-06,SRTG,980.0,980.0,980.0,980.0,0
2015-02-09,SRTG,980.0,980.0,980.0,980.0,0
2015-02-10,SRTG,980.0,980.0,980.0,980.0,0
2015-02-11,SRTG,980.0,980.0,980.0,980.0,0
2015-02-12,SRTG,960.0,1000.0,900.0,1000.0,323000
2015-02-13,SRTG,990.0,990.0,990.0,990.0,1000
2015-02-16,SRTG,960.0,960.0,960.0,960.0,1000
2015-02-17,SRTG,960.0,960.0,960.0,960.0,2000
2015-02-18,SRTG,960.0,960.0,960.0,960.0,0
2015-02-20,SRTG,960.0,960.0,960.0,960.0,0
2015-02-23,SRTG,960.0,960.0,960.0,960.0,0
2015-02-24,SRTG,927.0,943.0,927.0,943.0,16000
2015-02-25,SRTG,970.0,972.0,970.0,972.0,3000
2015-02-26,SRTG,974.0,980.0,974.0,979.0,21000
2015-02-27,SRTG,979.0,979.0,979.0,979.0,0
2015-03-02,SRTG,979.0,979.0,979.0,979.0,0
2015-03-03,SRTG,979.0,979.0,979.0,979.0,0
2015-03-04,SRTG,965.0,965.0,950.0,950.0,2500
2015-03-05,SRTG,953.0,953.0,952.0,953.0,12500
2015-03-06,SRTG,953.0,953.0,953.0,953.0,0
2015-03-09,SRTG,950.0,950.0,950.0,950.0,2000
2015-03-10,SRTG,950.0,950.0,950.0,950.0,0
2015-03-11,SRTG,950.0,950.0,950.0,950.0,0
2015-03-12,SRTG,970.0,1000.0,960.0,980.0,45500
2015-03-13,SRTG,980.0,984.0,970.0,970.0,60500
2015-03-16,SRTG,980.0,1000.0,962.0,980.0,80000
2015-03-17,SRTG,980.0,980.0,980.0,980.0,10000
2015-03-18,SRTG,970.0,970.0,970.0,970.0,1000
2015-03-19,SRTG,950.0,950.0,950.0,950.0,4000
2015-03-20,SRTG,940.0,940.0,900.0,940.0,125500
2015-03-23,SRTG,920.0,980.0,914.0,980.0,34500
2015-03-24,SRTG,970.0,970.0,970.0,970.0,500
2015-03-25,SRTG,940.0,940.0,930.0,930.0,5500
2015-03-26,SRTG,950.0,980.0,950.0,980.0,4000
2015-03-27,SRTG,980.0,980.0,980.0,980.0,0
2015-03-30,SRTG,980.0,980.0,980.0,980.0,0
2015-03-31,SRTG,981.0,981.0,961.0,961.0,16000
2015-04-01,SRTG,961.0,961.0,961.0,961.0,0
2015-04-02,SRTG,980.0,980.0,980.0,980.0,2500
2015-04-06,SRTG,940.0,960.0,940.0,960.0,3500
2015-04-07,SRTG,960.0,960.0,960.0,960.0,0
2015-04-08,SRTG,960.0,960.0,960.0,960.0,0
2015-04-09,SRTG,960.0,960.0,960.0,960.0,7500
2015-04-10,SRTG,960.0,960.0,960.0,960.0,0
2015-04-13,SRTG,960.0,960.0,960.0,960.0,0
2015-04-14,SRTG,960.0,960.0,960.0,960.0,0
2015-04-15,SRTG,960.0,960.0,960.0,960.0,0
2015-04-16,SRTG,960.0,960.0,960.0,960.0,0
2015-04-17,SRTG,960.0,960.0,960.0,960.0,0
2015-04-20,SRTG,960.0,960.0,960.0,960.0,0
2015-04-21,SRTG,960.0,960.0,960.0,960.0,1500
2015-04-22,SRTG,960.0,960.0,940.0,960.0,4000
2015-04-23,SRTG,960.0,983.0,960.0,962.0,53500
2015-04-24,SRTG,982.0,982.0,960.0,960.0,159500
2015-04-27,SRTG,979.0,979.0,940.0,960.0,21500
2015-04-28,SRTG,960.0,960.0,960.0,960.0,0
2015-04-29,SRTG,960.0,960.0,960.0,960.0,0
2015-04-30,SRTG,900.0,1000.0,900.0,1000.0,88000
2015-05-04,SRTG,1000.0,1000.0,1000.0,1000.0,0
2015-05-05,SRTG,975.0,975.0,975.0,975.0,100000
2015-05-06,SRTG,980.0,980.0,980.0,980.0,10000
2015-05-07,SRTG,980.0,980.0,980.0,980.0,0
2015-05-08,SRTG,980.0,980.0,980.0,980.0,0
2015-05-11,SRTG,980.0,980.0,980.0,980.0,10500
2015-05-12,SRTG,979.0,979.0,970.0,970.0,1500
2015-05-13,SRTG,964.0,964.0,964.0,964.0,500
2015-05-15,SRTG,970.0,998.0,940.0,984.0,119500
2015-05-18,SRTG,980.0,980.0,965.0,965.0,15000
2015-05-19,SRTG,980.0,1000.0,980.0,1000.0,41500
2015-05-20,SRTG,944.0,950.0,911.0,920.0,861000
2015-05-21,SRTG,930.0,930.0,852.0,852.0,119500
2015-05-22,SRTG,900.0,900.0,899.0,899.0,44500
2015-05-25,SRTG,940.0,940.0,940.0,940.0,30000
2015-05-26,SRTG,940.0,980.0,940.0,980.0,46500
2015-05-27,SRTG,980.0,980.0,980.0,980.0,0
2015-05-28,SRTG,960.0,980.0,960.0,980.0,7500
2015-05-29,SRTG,980.0,980.0,980.0,980.0,0
2015-06-01,SRTG,980.0,980.0,980.0,980.0,0
2015-06-03,SRTG,980.0,980.0,980.0,980.0,0
2015-06-04,SRTG,940.0,960.0,940.0,940.0,3500
2015-06-05,SRTG,940.0,976.0,940.0,976.0,8500
2015-06-08,SRTG,976.0,976.0,976.0,976.0,0
2015-06-09,SRTG,976.0,976.0,976.0,976.0,0
2015-06-10,SRTG,976.0,976.0,976.0,976.0,0
2015-06-11,SRTG,982.0,1000.0,861.0,861.0,94500
2015-06-12,SRTG,960.0,960.0,920.0,960.0,34500
2015-06-15,SRTG,960.0,960.0,960.0,960.0,0
2015-06-16,SRTG,960.0,960.0,960.0,960.0,0
2015-06-17,SRTG,960.0,960.0,960.0,960.0,0
2015-06-18,SRTG,960.0,960.0,960.0,960.0,0
2015-06-19,SRTG,984.0,1000.0,960.0,980.0,446000
2015-06-22,SRTG,960.0,980.0,960.0,980.0,14000
2015-06-23,SRTG,980.0,990.0,980.0,988.0,82500
2015-06-24,SRTG,988.0,988.0,988.0,988.0,500
2015-06-25,SRTG,990.0,995.0,990.0,995.0,53000
2015-06-26,SRTG,997.0,997.0,997.0,997.0,100000
2015-06-29,SRTG,997.0,997.0,997.0,997.0,100000
2015-06-30,SRTG,997.0,997.0,997.0,997.0,0
2015-07-01,SRTG,997.0,997.0,997.0,997.0,75000
2015-07-02,SRTG,997.0,997.0,997.0,997.0,0
2015-07-03,SRTG,998.0,998.0,998.0,998.0,2000
2015-07-06,SRTG,990.0,1020.0,990.0,1020.0,262500
2015-07-07,SRTG,990.0,990.0,990.0,990.0,500
2015-07-08,SRTG,978.0,978.0,978.0,978.0,500
2015-07-09,SRTG,978.0,978.0,978.0,978.0,150000
2015-07-10,SRTG,950.0,950.0,938.0,940.0,5000
2015-07-13,SRTG,940.0,940.0,940.0,940.0,0
2015-07-14,SRTG,980.0,994.0,900.0,994.0,114500
2015-07-15,SRTG,994.0,994.0,994.0,994.0,0
2015-07-22,SRTG,994.0,994.0,994.0,994.0,0
2015-07-23,SRTG,994.0,994.0,994.0,994.0,0
2015-07-24,SRTG,994.0,994.0,994.0,994.0,0
2015-07-27,SRTG,994.0,994.0,994.0,994.0,0
2015-07-28,SRTG,994.0,994.0,994.0,994.0,0
2015-07-29,SRTG,994.0,994.0,994.0,994.0,0
2015-07-30,SRTG,994.0,994.0,994.0,994.0,0
2015-07-31,SRTG,994.0,994.0,994.0,994.0,0
2015-08-03,SRTG,980.0,982.0,980.0,980.0,27000
2015-08-04,SRTG,980.0,980.0,980.0,980.0,1000
2015-08-05,SRTG,980.0,980.0,980.0,980.0,0
2015-08-06,SRTG,981.0,989.0,981.0,989.0,377000
2015-08-07,SRTG,989.0,989.0,989.0,989.0,0
2015-08-10,SRTG,989.0,989.0,989.0,989.0,0
2015-08-11,SRTG,950.0,989.0,950.0,989.0,3500
2015-08-12,SRTG,900.0,900.0,900.0,900.0,2000
2015-08-13,SRTG,980.0,982.0,980.0,982.0,167500
2015-08-14,SRTG,989.0,989.0,980.0,980.0,3500
2015-08-18,SRTG,980.0,980.0,980.0,980.0,0
2015-08-19,SRTG,980.0,980.0,980.0,980.0,0
2015-08-20,SRTG,980.0,980.0,980.0,980.0,0
2015-08-21,SRTG,980.0,980.0,980.0,980.0,0
2015-08-24,SRTG,980.0,980.0,980.0,980.0,0
2015-08-25,SRTG,980.0,980.0,980.0,980.0,0
2015-08-26,SRTG,980.0,980.0,980.0,980.0,0
2015-08-27,SRTG,980.0,980.0,980.0,980.0,0
2015-08-28,SRTG,986.0,988.0,900.0,900.0,127500
2015-08-31,SRTG,910.0,984.0,900.0,984.0,161000
2015-09-01,SRTG,975.0,984.0,944.0,944.0,12500
2015-09-02,SRTG,924.0,980.0,905.0,980.0,242500
2015-09-03,SRTG,980.0,980.0,980.0,980.0,500
2015-09-04,SRTG,921.0,980.0,903.0,980.0,261500
2015-09-07,SRTG,980.0,980.0,980.0,980.0,0
2015-09-08,SRTG,980.0,980.0,980.0,980.0,0
2015-09-09,SRTG,977.0,977.0,977.0,977.0,500
2015-09-10,SRTG,977.0,977.0,977.0,977.0,0
2015-09-11,SRTG,905.0,960.0,880.0,960.0,96000
2015-09-14,SRTG,959.0,960.0,959.0,960.0,1445500
2015-09-15,SRTG,960.0,960.0,960.0,960.0,0
2015-09-16,SRTG,940.0,940.0,880.0,880.0,11500
2015-09-17,SRTG,910.0,940.0,910.0,940.0,829000
2015-09-18,SRTG,940.0,940.0,940.0,940.0,0
2015-09-21,SRTG,940.0,940.0,940.0,940.0,0
2015-09-22,SRTG,938.0,939.0,938.0,939.0,50500
2015-09-23,SRTG,939.0,939.0,939.0,939.0,0
2015-09-25,SRTG,939.0,939.0,939.0,939.0,0
2015-09-28,SRTG,939.0,939.0,939.0,939.0,0
2015-09-29,SRTG,860.0,900.0,846.0,846.0,725000
2015-09-30,SRTG,842.0,900.0,762.0,900.0,487500
2015-10-01,SRTG,860.0,860.0,817.0,820.0,563500
2015-10-02,SRTG,780.0,819.0,780.0,819.0,64500
2015-10-05,SRTG,800.0,800.0,800.0,800.0,2000
2015-10-06,SRTG,820.0,820.0,820.0,820.0,6000
2015-10-07,SRTG,820.0,820.0,820.0,820.0,2500
2015-10-08,SRTG,800.0,820.0,780.0,820.0,66000
2015-10-09,SRTG,820.0,820.0,820.0,820.0,0
2015-10-12,SRTG,800.0,820.0,800.0,820.0,63500
2015-10-13,SRTG,820.0,820.0,800.0,820.0,31500
2015-10-15,SRTG,820.0,820.0,820.0,820.0,5500
2015-10-16,SRTG,820.0,820.0,820.0,820.0,5500
2015-10-19,SRTG,820.0,820.0,820.0,820.0,0
2015-10-20,SRTG,820.0,820.0,820.0,820.0,0
2015-10-21,SRTG,810.0,820.0,738.0,820.0,734500
2015-10-22,SRTG,800.0,800.0,800.0,800.0,500
2015-10-23,SRTG,800.0,800.0,800.0,800.0,50000
2015-10-26,SRTG,799.0,799.0,799.0,799.0,500
2015-10-27,SRTG,799.0,799.0,799.0,799.0,0
2015-10-28,SRTG,750.0,800.0,730.0,800.0,24500
2015-10-29,SRTG,800.0,800.0,800.0,800.0,0
2015-10-30,SRTG,800.0,800.0,800.0,800.0,0
2015-11-02,SRTG,800.0,800.0,800.0,800.0,0
2015-11-03,SRTG,795.0,795.0,795.0,795.0,1000
2015-11-04,SRTG,795.0,795.0,795.0,795.0,0
2015-11-05,SRTG,795.0,795.0,795.0,795.0,0
2015-11-06,SRTG,795.0,795.0,795.0,795.0,0
2015-11-09,SRTG,795.0,795.0,795.0,795.0,0
2015-11-10,SRTG,795.0,795.0,795.0,795.0,0
2015-11-11,SRTG,795.0,795.0,795.0,795.0,0
2015-11-12,SRTG,795.0,795.0,795.0,795.0,0
2015-11-13,SRTG,795.0,795.0,795.0,795.0,1000
2015-11-16,SRTG,795.0,795.0,795.0,795.0,500
2015-11-17,SRTG,795.0,795.0,795.0,795.0,0
2015-11-18,SRTG,795.0,795.0,795.0,795.0,0
2015-11-19,SRTG,795.0,795.0,795.0,795.0,0
2015-11-20,SRTG,795.0,795.0,795.0,795.0,0
2015-11-23,SRTG,780.0,795.0,780.0,795.0,9500
2015-11-24,SRTG,795.0,795.0,795.0,795.0,0
2015-11-25,SRTG,795.0,795.0,795.0,795.0,0
2015-11-26,SRTG,795.0,795.0,795.0,795.0,0
2015-11-27,SRTG,795.0,795.0,795.0,795.0,0
2015-11-30,SRTG,716.0,759.0,716.0,755.0,3907000
2015-12-01,SRTG,700.0,752.0,700.0,752.0,2500
2015-12-02,SRTG,750.0,758.0,750.0,758.0,6000
2015-12-03,SRTG,760.0,760.0,700.0,760.0,26000
2015-12-04,SRTG,700.0,760.0,700.0,760.0,3500
2015-12-07,SRTG,700.0,750.0,700.0,750.0,5500
2015-12-08,SRTG,756.0,780.0,756.0,780.0,1286500
2015-12-09,SRTG,780.0,780.0,780.0,780.0,0
2015-12-10,SRTG,750.0,940.0,750.0,940.0,50500
2015-12-11,SRTG,848.0,852.0,846.0,846.0,28500
2015-12-14,SRTG,800.0,800.0,762.0,762.0,4000
2015-12-15,SRTG,762.0,762.0,761.0,761.0,10000
