Date,Ticker,Open,High,Low,Close,Volume
2018-07-06,TCPI,234.0,234.0,234.0,234.0,19300
2018-07-09,TCPI,292.0,292.0,292.0,292.0,217600
2018-07-10,TCPI,364.0,364.0,364.0,364.0,8548900
2018-07-11,TCPI,454.0,454.0,404.0,454.0,21565300
2018-07-12,TCPI,468.0,565.0,440.0,560.0,14124700
2018-07-13,TCPI,580.0,700.0,550.0,700.0,16770800
2018-07-16,TCPI,700.0,875.0,690.0,875.0,10362000
2018-07-17,TCPI,875.0,1090.0,800.0,1090.0,19873800
2018-07-18,TCPI,1100.0,1355.0,1090.0,1290.0,9564800
2018-07-19,TCPI,1315.0,1500.0,1100.0,1270.0,16619600
2018-07-20,TCPI,1270.0,1400.0,1180.0,1380.0,9049500
2018-07-23,TCPI,1385.0,1670.0,1300.0,1650.0,12990700
2018-07-24,TCPI,1650.0,1650.0,1650.0,1650.0,0
2018-07-25,TCPI,1655.0,2000.0,1640.0,1795.0,10076100
2018-07-26,TCPI,1805.0,1980.0,1795.0,1910.0,3845300
2018-07-27,TCPI,1945.0,2280.0,1850.0,2210.0,11368100
2018-07-30,TCPI,2230.0,2700.0,2230.0,2500.0,12246900
2018-07-31,TCPI,2550.0,2730.0,2030.0,2570.0,9515700
2018-08-01,TCPI,2600.0,3210.0,2550.0,3210.0,27565800
2018-08-02,TCPI,3260.0,4010.0,3230.0,4010.0,12570100
2018-08-03,TCPI,4150.0,4780.0,3400.0,4010.0,15858700
2018-08-06,TCPI,4050.0,4400.0,3500.0,4330.0,20766000
2018-08-07,TCPI,4330.0,4330.0,4330.0,4330.0,0
2018-08-08,TCPI,4330.0,4330.0,4330.0,4330.0,0
2018-08-09,TCPI,4330.0,4330.0,4330.0,4330.0,0
2018-08-10,TCPI,4330.0,4330.0,4330.0,4330.0,0
2018-08-13,TCPI,4330.0,4330.0,4330.0,4330.0,0
2018-08-14,TCPI,4330.0,4330.0,4330.0,4330.0,0
2018-08-15,TCPI,4330.0,4330.0,4330.0,4330.0,0
2018-08-16,TCPI,4330.0,4330.0,4330.0,4330.0,0
2018-08-17,TCPI,4330.0,4330.0,4330.0,4330.0,0
