Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,TINS,1155.0,1190.0,1130.0,1155.0,27266100
2014-10-21,TINS,1145.0,1170.0,1130.0,1145.0,5853800
2014-10-22,TINS,1180.0,1185.0,1150.0,1180.0,14321400
2014-10-23,TINS,1165.0,1190.0,1165.0,1165.0,5870600
2014-10-24,TINS,1160.0,1180.0,1155.0,1160.0,4547600
2014-10-27,TINS,1125.0,1170.0,1125.0,1125.0,8245200
2014-10-28,TINS,1120.0,1145.0,1115.0,1120.0,3476800
2014-10-29,TINS,1165.0,1170.0,1110.0,1165.0,23803000
2014-10-30,TINS,1225.0,1240.0,1155.0,1225.0,52152200
2014-10-31,TINS,1235.0,1255.0,1220.0,1235.0,19982700
2014-11-03,TINS,1205.0,1235.0,1200.0,1205.0,7216600
2014-11-04,TINS,1210.0,1230.0,1200.0,1210.0,7120700
2014-11-05,TINS,1195.0,1220.0,1185.0,1195.0,5459000
2014-11-06,TINS,1240.0,1245.0,1195.0,1240.0,16294400
2014-11-07,TINS,1225.0,1270.0,1220.0,1225.0,17624600
2014-11-10,TINS,1215.0,1245.0,1210.0,1215.0,4062200
2014-11-11,TINS,1220.0,1230.0,1215.0,1220.0,6553400
2014-11-12,TINS,1215.0,1235.0,1215.0,1215.0,7091500
2014-11-13,TINS,1230.0,1250.0,1220.0,1230.0,8955300
2014-11-14,TINS,1215.0,1230.0,1205.0,1215.0,5454500
2014-11-17,TINS,1215.0,1220.0,1190.0,1190.0,7288400
2014-11-18,TINS,1195.0,1205.0,1175.0,1195.0,7483300
2014-11-19,TINS,1180.0,1220.0,1095.0,1180.0,11012300
2014-11-20,TINS,1195.0,1205.0,1185.0,1195.0,5157400
2014-11-21,TINS,1235.0,1245.0,1205.0,1235.0,27191000
2014-11-24,TINS,1270.0,1295.0,1250.0,1270.0,26956200
2014-11-25,TINS,1260.0,1280.0,1255.0,1260.0,11798900
2014-11-26,TINS,1250.0,1265.0,1240.0,1250.0,5827000
2014-11-27,TINS,1245.0,1265.0,1245.0,1245.0,5032500
2014-11-28,TINS,1225.0,1245.0,1225.0,1225.0,7045800
2014-12-01,TINS,1235.0,1235.0,1190.0,1200.0,18317700
2014-12-02,TINS,1210.0,1225.0,1205.0,1215.0,5139100
2014-12-03,TINS,1220.0,1230.0,1205.0,1210.0,5768600
2014-12-04,TINS,1210.0,1250.0,1210.0,1235.0,15103200
2014-12-05,TINS,1240.0,1250.0,1225.0,1230.0,7016300
2014-12-08,TINS,1225.0,1235.0,1190.0,1200.0,6821000
2014-12-09,TINS,1190.0,1210.0,1190.0,1200.0,2219000
2014-12-10,TINS,1205.0,1210.0,1195.0,1200.0,2128800
2014-12-11,TINS,1195.0,1210.0,1190.0,1200.0,3448400
2014-12-12,TINS,1200.0,1200.0,1170.0,1185.0,7353900
2014-12-15,TINS,1170.0,1205.0,1145.0,1195.0,12767600
2014-12-16,TINS,1180.0,1185.0,1155.0,1165.0,9333400
2014-12-17,TINS,1170.0,1200.0,1160.0,1190.0,7814100
2014-12-18,TINS,1200.0,1200.0,1175.0,1190.0,5356900
2014-12-19,TINS,1200.0,1200.0,1175.0,1175.0,3467500
2014-12-22,TINS,1185.0,1200.0,1165.0,1190.0,4990300
2014-12-23,TINS,1190.0,1210.0,1180.0,1190.0,6942700
2014-12-24,TINS,1185.0,1225.0,1170.0,1220.0,12431300
2014-12-29,TINS,1230.0,1240.0,1215.0,1230.0,11363700
2014-12-30,TINS,1230.0,1235.0,1215.0,1230.0,5312000
2015-01-02,TINS,1225.0,1225.0,1195.0,1200.0,2307500
2015-01-05,TINS,1160.0,1210.0,1145.0,1185.0,3526000
2015-01-06,TINS,1175.0,1190.0,1170.0,1170.0,4203000
2015-01-07,TINS,1180.0,1205.0,1175.0,1175.0,4833100
2015-01-08,TINS,1185.0,1205.0,1175.0,1200.0,10022700
2015-01-09,TINS,1200.0,1230.0,1190.0,1225.0,17567900
2015-01-12,TINS,1220.0,1220.0,1180.0,1190.0,5391500
