Date,Ticker,Open,High,Low,Close,Volume
2014-10-20,TOWR,820.0,840.0,820.0,820.0,11500
2014-10-21,TOWR,840.0,840.0,815.0,840.0,15000
2014-10-22,TOWR,840.0,840.0,840.0,840.0,110000
2014-10-23,TOWR,840.0,840.0,800.0,840.0,532000
2014-10-24,TOWR,840.0,840.0,840.0,840.0,0
2014-10-27,TOWR,830.0,830.0,800.0,830.0,32500
2014-10-28,TOWR,830.0,830.0,830.0,830.0,0
2014-10-29,TOWR,830.0,830.0,830.0,830.0,0
2014-10-30,TOWR,800.0,805.0,700.0,800.0,742000
2014-10-31,TOWR,820.0,820.0,800.0,820.0,61000
2014-11-03,TOWR,830.0,830.0,801.0,830.0,39000
2014-11-04,TOWR,830.0,830.0,830.0,830.0,158500
2014-11-05,TOWR,830.0,830.0,830.0,830.0,0
2014-11-06,TOWR,829.0,829.0,829.0,829.0,500
2014-11-07,TOWR,830.0,839.0,830.0,830.0,12500
2014-11-10,TOWR,830.0,830.0,830.0,830.0,0
2014-11-11,TOWR,820.0,820.0,820.0,820.0,14000
2014-11-12,TOWR,830.0,830.0,801.0,830.0,6254000
2014-11-13,TOWR,826.0,826.0,801.0,826.0,217500
2014-11-14,TOWR,828.0,828.0,809.0,828.0,652500
2014-11-17,TOWR,828.0,828.0,828.0,828.0,0
2014-11-18,TOWR,828.0,828.0,828.0,828.0,0
2014-11-19,TOWR,828.0,829.0,818.0,828.0,74000
2014-11-20,TOWR,828.0,828.0,821.0,828.0,257500
2014-11-21,TOWR,828.0,828.0,828.0,828.0,0
2014-11-24,TOWR,828.0,828.0,820.0,828.0,6500
2014-11-25,TOWR,828.0,828.0,828.0,828.0,0
2014-11-26,TOWR,828.0,828.0,828.0,828.0,0
2014-11-27,TOWR,828.0,828.0,828.0,828.0,0
2014-11-28,TOWR,828.0,840.0,820.0,828.0,8918000
2014-12-01,TOWR,827.0,827.0,820.0,820.0,65000
2014-12-02,TOWR,820.0,820.0,820.0,820.0,1500
2014-12-03,TOWR,820.0,820.0,820.0,820.0,25000
2014-12-04,TOWR,827.0,827.0,800.0,820.0,144500
2014-12-05,TOWR,820.0,820.0,820.0,820.0,25500
2014-12-08,TOWR,820.0,820.0,820.0,820.0,5000
2014-12-09,TOWR,820.0,820.0,820.0,820.0,0
2014-12-10,TOWR,820.0,820.0,820.0,820.0,0
2014-12-11,TOWR,801.0,801.0,801.0,801.0,2500
2014-12-12,TOWR,825.0,828.0,820.0,820.0,564000
2014-12-15,TOWR,820.0,828.0,801.0,828.0,329000
2014-12-16,TOWR,803.0,820.0,800.0,800.0,697500
2014-12-17,TOWR,782.0,819.0,782.0,819.0,105500
2014-12-18,TOWR,820.0,820.0,791.0,791.0,31000
2014-12-19,TOWR,820.0,820.0,819.0,820.0,56000
2014-12-22,TOWR,827.0,827.0,800.0,820.0,2375000
2014-12-23,TOWR,820.0,820.0,820.0,820.0,27500
2014-12-24,TOWR,827.0,830.0,800.0,819.0,520000
2014-12-29,TOWR,819.0,819.0,819.0,819.0,0
2014-12-30,TOWR,830.0,839.0,790.0,830.0,43785000
2015-01-02,TOWR,829.0,829.0,802.0,802.0,768500
2015-01-05,TOWR,809.0,809.0,802.0,802.0,508000
2015-01-06,TOWR,815.0,815.0,802.0,802.0,36500
2015-01-07,TOWR,802.0,802.0,802.0,802.0,0
2015-01-08,TOWR,802.0,802.0,802.0,802.0,0
2015-01-09,TOWR,782.0,802.0,782.0,802.0,5000
2015-01-12,TOWR,800.0,800.0,800.0,800.0,15500
2015-01-13,TOWR,824.0,824.0,814.0,814.0,9500
2015-01-14,TOWR,814.0,814.0,790.0,802.0,61000
2015-01-15,TOWR,802.0,802.0,802.0,802.0,0
2015-01-16,TOWR,806.0,806.0,806.0,806.0,12500
2015-01-19,TOWR,806.0,806.0,806.0,806.0,0
2015-01-20,TOWR,806.0,806.0,806.0,806.0,0
2015-01-21,TOWR,806.0,806.0,806.0,806.0,0
2015-01-22,TOWR,806.0,806.0,806.0,806.0,0
2015-01-23,TOWR,806.0,806.0,806.0,806.0,0
2015-01-26,TOWR,806.0,806.0,806.0,806.0,0
2015-01-27,TOWR,806.0,806.0,806.0,806.0,0
2015-01-28,TOWR,806.0,806.0,806.0,806.0,0
2015-01-29,TOWR,806.0,806.0,806.0,806.0,0
2015-01-30,TOWR,806.0,806.0,782.0,782.0,69000
2015-02-02,TOWR,800.0,800.0,800.0,800.0,500
2015-02-03,TOWR,775.0,819.0,775.0,819.0,115000
2015-02-04,TOWR,819.0,819.0,819.0,819.0,0
2015-02-05,TOWR,819.0,819.0,819.0,819.0,0
2015-02-06,TOWR,819.0,819.0,819.0,819.0,0
2015-02-09,TOWR,775.0,799.0,770.0,770.0,3608500
2015-02-10,TOWR,800.0,800.0,800.0,800.0,14000
2015-02-11,TOWR,800.0,800.0,770.0,770.0,547500
2015-02-12,TOWR,780.0,780.0,780.0,780.0,1000
2015-02-13,TOWR,780.0,780.0,780.0,780.0,500
2015-02-16,TOWR,760.0,760.0,760.0,760.0,5000
2015-02-17,TOWR,760.0,760.0,760.0,760.0,94000
2015-02-18,TOWR,759.0,780.0,759.0,759.0,1120000
2015-02-20,TOWR,759.0,759.0,759.0,759.0,50500
2015-02-23,TOWR,759.0,759.0,759.0,759.0,5000
2015-02-24,TOWR,750.0,750.0,750.0,750.0,9432000
2015-02-25,TOWR,750.0,750.0,744.0,744.0,200000
2015-02-26,TOWR,744.0,744.0,744.0,744.0,0
2015-02-27,TOWR,744.0,755.0,744.0,755.0,761000
2015-03-02,TOWR,760.0,760.0,760.0,760.0,50000
2015-03-03,TOWR,780.0,780.0,780.0,780.0,500
2015-03-04,TOWR,761.0,778.0,741.0,778.0,162500
2015-03-05,TOWR,796.0,796.0,760.0,796.0,61000
2015-03-06,TOWR,796.0,796.0,796.0,796.0,136000
2015-03-09,TOWR,796.0,796.0,796.0,796.0,27500
2015-03-10,TOWR,796.0,796.0,796.0,796.0,0
2015-03-11,TOWR,762.0,800.0,762.0,800.0,50500
2015-03-12,TOWR,796.0,796.0,796.0,796.0,5000
2015-03-13,TOWR,796.0,796.0,791.0,796.0,136000
2015-03-16,TOWR,796.0,796.0,796.0,796.0,1000
2015-03-17,TOWR,800.0,800.0,800.0,800.0,1000
2015-03-18,TOWR,790.0,798.0,776.0,790.0,262000
2015-03-19,TOWR,800.0,809.0,795.0,800.0,1216000
2015-03-20,TOWR,800.0,800.0,800.0,800.0,0
2015-03-23,TOWR,800.0,800.0,800.0,800.0,0
2015-03-24,TOWR,762.0,800.0,762.0,800.0,25500
2015-03-25,TOWR,800.0,800.0,800.0,800.0,0
2015-03-26,TOWR,762.0,800.0,762.0,800.0,75500
2015-03-27,TOWR,804.0,804.0,780.0,790.0,385500
2015-03-30,TOWR,770.0,804.0,770.0,804.0,63500
