Date,Ticker,Open,High,Low,Close,Volume
2017-06-22,WOOD,276.0,282.0,260.0,264.0,57519000
2017-06-23,WOOD,264.0,264.0,264.0,264.0,0
2017-06-26,WOOD,264.0,264.0,264.0,264.0,0
2017-06-27,WOOD,264.0,264.0,264.0,264.0,0
2017-06-28,WOOD,264.0,264.0,264.0,264.0,0
2017-06-29,WOOD,264.0,264.0,264.0,264.0,0
2017-06-30,WOOD,264.0,264.0,264.0,264.0,0
2017-07-03,WOOD,270.0,274.0,240.0,260.0,21551600
2017-07-04,WOOD,260.0,264.0,252.0,264.0,13452200
2017-07-05,WOOD,260.0,264.0,246.0,264.0,11462200
2017-07-06,WOOD,262.0,270.0,258.0,264.0,27620600
2017-07-07,WOOD,264.0,268.0,258.0,262.0,10999500
2017-07-10,WOOD,262.0,262.0,262.0,262.0,0
2017-07-11,WOOD,262.0,264.0,256.0,260.0,9271800
2017-07-12,WOOD,258.0,262.0,256.0,258.0,10583300
2017-07-13,WOOD,260.0,260.0,254.0,260.0,5728000
2017-07-14,WOOD,260.0,260.0,256.0,258.0,3268400
2017-07-17,WOOD,256.0,258.0,254.0,254.0,3696400
2017-07-18,WOOD,254.0,260.0,244.0,250.0,11108100
2017-07-19,WOOD,250.0,254.0,246.0,248.0,2410700
2017-07-20,WOOD,248.0,250.0,244.0,244.0,6336700
2017-07-21,WOOD,244.0,250.0,240.0,242.0,6130100
2017-07-24,WOOD,242.0,244.0,230.0,232.0,12127000
2017-07-25,WOOD,232.0,272.0,230.0,258.0,36501800
2017-07-26,WOOD,258.0,268.0,252.0,258.0,10263100
2017-07-27,WOOD,260.0,260.0,246.0,254.0,4491000
2017-07-28,WOOD,254.0,260.0,238.0,240.0,6102500
2017-07-31,WOOD,242.0,254.0,236.0,244.0,4988400
2017-08-01,WOOD,246.0,254.0,240.0,242.0,3787900
2017-08-02,WOOD,240.0,244.0,236.0,240.0,4177700
2017-08-03,WOOD,238.0,242.0,236.0,238.0,3212500
2017-08-04,WOOD,240.0,250.0,234.0,236.0,2762100
2017-08-07,WOOD,236.0,240.0,234.0,236.0,3498600
2017-08-08,WOOD,238.0,238.0,232.0,236.0,3380100
2017-08-09,WOOD,234.0,236.0,230.0,232.0,3743500
2017-08-10,WOOD,234.0,236.0,228.0,232.0,5872900
2017-08-11,WOOD,232.0,232.0,226.0,228.0,5183700
2017-08-14,WOOD,228.0,230.0,226.0,228.0,2619100
2017-08-15,WOOD,226.0,236.0,224.0,230.0,3199700
2017-08-16,WOOD,230.0,240.0,228.0,232.0,12153100
2017-08-17,WOOD,232.0,232.0,232.0,232.0,0
2017-08-18,WOOD,232.0,234.0,228.0,230.0,2723900
2017-08-21,WOOD,230.0,234.0,230.0,230.0,1585600
2017-08-22,WOOD,230.0,230.0,226.0,226.0,3508300
2017-08-23,WOOD,226.0,240.0,226.0,240.0,14194200
2017-08-24,WOOD,244.0,244.0,238.0,238.0,3917700
2017-08-25,WOOD,238.0,238.0,232.0,238.0,4359600
2017-08-28,WOOD,240.0,244.0,234.0,242.0,2991200
2017-08-29,WOOD,242.0,254.0,242.0,242.0,8052000
2017-08-30,WOOD,246.0,248.0,240.0,246.0,3069700
2017-08-31,WOOD,246.0,250.0,240.0,250.0,4952100
2017-09-01,WOOD,250.0,250.0,250.0,250.0,0
2017-09-04,WOOD,254.0,254.0,242.0,242.0,3278400
2017-09-05,WOOD,242.0,242.0,236.0,238.0,2846700
2017-09-06,WOOD,240.0,240.0,234.0,236.0,1777300
2017-09-07,WOOD,234.0,238.0,232.0,232.0,943200
2017-09-08,WOOD,232.0,234.0,230.0,230.0,2085000
2017-09-11,WOOD,230.0,236.0,228.0,230.0,2395000
2017-09-12,WOOD,232.0,232.0,224.0,228.0,11568100
2017-09-13,WOOD,228.0,230.0,224.0,224.0,5081800
2017-09-14,WOOD,226.0,228.0,224.0,226.0,2088600
2017-09-15,WOOD,226.0,236.0,226.0,228.0,2765000
2017-09-18,WOOD,228.0,228.0,224.0,224.0,1920900
2017-09-19,WOOD,224.0,228.0,220.0,220.0,2481800
2017-09-20,WOOD,220.0,232.0,220.0,226.0,4815600
2017-09-21,WOOD,226.0,226.0,226.0,226.0,0
2017-09-22,WOOD,226.0,228.0,224.0,226.0,1588000
2017-09-25,WOOD,226.0,230.0,224.0,228.0,3620000
2017-09-26,WOOD,230.0,230.0,222.0,230.0,4539000
2017-09-27,WOOD,230.0,234.0,226.0,226.0,2347100
2017-09-28,WOOD,228.0,230.0,226.0,226.0,3205400
2017-09-29,WOOD,226.0,228.0,222.0,224.0,912900
2017-10-02,WOOD,226.0,226.0,222.0,224.0,3605400
2017-10-03,WOOD,224.0,228.0,220.0,222.0,3348500
2017-10-04,WOOD,222.0,226.0,222.0,222.0,2233100
2017-10-05,WOOD,222.0,226.0,220.0,226.0,1939800
2017-10-06,WOOD,224.0,228.0,224.0,228.0,2150900
2017-10-09,WOOD,228.0,228.0,222.0,222.0,951200
2017-10-10,WOOD,222.0,224.0,218.0,218.0,1070400
2017-10-11,WOOD,218.0,224.0,216.0,216.0,5781600
2017-10-12,WOOD,218.0,218.0,214.0,214.0,5329600
2017-10-13,WOOD,216.0,218.0,208.0,210.0,3921700
2017-10-16,WOOD,208.0,230.0,208.0,230.0,9827700
2017-10-17,WOOD,230.0,230.0,214.0,220.0,1919400
2017-10-18,WOOD,220.0,220.0,214.0,216.0,2768500
2017-10-19,WOOD,216.0,218.0,212.0,216.0,2275500
2017-10-20,WOOD,216.0,218.0,210.0,216.0,3734300
2017-10-23,WOOD,216.0,218.0,212.0,216.0,2074500
2017-10-24,WOOD,216.0,222.0,216.0,218.0,3566100
2017-10-25,WOOD,220.0,222.0,216.0,220.0,7605100
2017-10-26,WOOD,220.0,222.0,216.0,220.0,6119900
2017-10-27,WOOD,222.0,222.0,216.0,222.0,4515600
2017-10-30,WOOD,222.0,234.0,220.0,234.0,10447700
2017-10-31,WOOD,234.0,238.0,228.0,232.0,10989500
2017-11-01,WOOD,232.0,236.0,220.0,230.0,4962200
2017-11-02,WOOD,230.0,230.0,222.0,226.0,4982100
2017-11-03,WOOD,226.0,226.0,220.0,226.0,5301800
2017-11-06,WOOD,226.0,226.0,222.0,226.0,5533700
2017-11-07,WOOD,224.0,226.0,222.0,224.0,3872800
2017-11-08,WOOD,224.0,226.0,222.0,224.0,368000
2017-11-09,WOOD,224.0,226.0,218.0,226.0,5927200
2017-11-10,WOOD,222.0,226.0,220.0,226.0,2259100
2017-11-13,WOOD,226.0,234.0,220.0,232.0,13916500
2017-11-14,WOOD,232.0,238.0,228.0,232.0,1276700
2017-11-15,WOOD,232.0,246.0,228.0,240.0,9626800
2017-11-16,WOOD,246.0,246.0,234.0,240.0,6756400
2017-11-17,WOOD,242.0,242.0,236.0,236.0,781500
2017-11-20,WOOD,236.0,238.0,234.0,234.0,889200
2017-11-21,WOOD,234.0,260.0,234.0,250.0,34769600
2017-11-22,WOOD,256.0,256.0,238.0,240.0,7503500
2017-11-23,WOOD,240.0,240.0,230.0,234.0,3407000
2017-11-24,WOOD,234.0,236.0,228.0,234.0,11461200
2017-11-27,WOOD,234.0,236.0,232.0,234.0,673000
2017-11-28,WOOD,232.0,240.0,232.0,236.0,2296800
2017-11-29,WOOD,240.0,240.0,236.0,238.0,339300
2017-11-30,WOOD,234.0,238.0,232.0,236.0,227400
2017-12-01,WOOD,236.0,236.0,236.0,236.0,0
2017-12-04,WOOD,230.0,250.0,230.0,236.0,9430300
2017-12-05,WOOD,236.0,240.0,228.0,240.0,9917900
2017-12-06,WOOD,238.0,240.0,232.0,234.0,460300
2017-12-07,WOOD,232.0,232.0,230.0,232.0,307600
2017-12-08,WOOD,232.0,244.0,226.0,230.0,18605800
2017-12-11,WOOD,230.0,240.0,228.0,232.0,4309000
2017-12-12,WOOD,230.0,232.0,228.0,232.0,1261900
2017-12-13,WOOD,230.0,232.0,230.0,230.0,735400
2017-12-14,WOOD,230.0,242.0,226.0,238.0,7821200
2017-12-15,WOOD,238.0,238.0,228.0,234.0,6634500
2017-12-18,WOOD,230.0,232.0,228.0,232.0,621700
2017-12-19,WOOD,230.0,232.0,226.0,228.0,198000
2017-12-20,WOOD,228.0,240.0,222.0,226.0,9890000
2017-12-21,WOOD,230.0,230.0,224.0,230.0,197700
2017-12-22,WOOD,226.0,228.0,224.0,228.0,162500
2017-12-25,WOOD,228.0,228.0,228.0,228.0,0
2017-12-26,WOOD,228.0,228.0,228.0,228.0,0
2017-12-27,WOOD,228.0,228.0,222.0,224.0,1171000
2017-12-28,WOOD,222.0,248.0,220.0,232.0,8492300
2017-12-29,WOOD,234.0,254.0,228.0,244.0,40893800
2018-01-01,WOOD,244.0,244.0,244.0,244.0,0
2018-01-02,WOOD,250.0,250.0,236.0,238.0,1055200
2018-01-03,WOOD,240.0,240.0,234.0,234.0,470200
2018-01-04,WOOD,234.0,234.0,230.0,232.0,1587400
2018-01-05,WOOD,232.0,232.0,230.0,230.0,228400
2018-01-08,WOOD,230.0,234.0,226.0,230.0,1643800
2018-01-09,WOOD,230.0,230.0,226.0,230.0,725000
2018-01-10,WOOD,228.0,232.0,226.0,232.0,261000
2018-01-11,WOOD,234.0,234.0,228.0,228.0,222700
2018-01-12,WOOD,228.0,230.0,224.0,230.0,614500
2018-01-15,WOOD,230.0,232.0,226.0,232.0,445000
2018-01-16,WOOD,232.0,238.0,228.0,228.0,548300
2018-01-17,WOOD,228.0,234.0,226.0,230.0,193100
2018-01-18,WOOD,230.0,230.0,226.0,226.0,335700
2018-01-19,WOOD,226.0,232.0,220.0,220.0,3778000
2018-01-22,WOOD,220.0,230.0,220.0,220.0,3687300
2018-01-23,WOOD,224.0,230.0,220.0,220.0,3700700
2018-01-24,WOOD,224.0,224.0,220.0,220.0,790100
2018-01-25,WOOD,224.0,226.0,222.0,224.0,1281200
2018-01-26,WOOD,224.0,226.0,222.0,222.0,1394700
2018-01-29,WOOD,222.0,226.0,222.0,226.0,561200
2018-01-30,WOOD,226.0,232.0,222.0,224.0,1553900
2018-01-31,WOOD,222.0,228.0,222.0,224.0,211700
2018-02-01,WOOD,224.0,226.0,220.0,222.0,2037500
2018-02-02,WOOD,222.0,226.0,222.0,222.0,995900
2018-02-05,WOOD,222.0,226.0,220.0,220.0,1717900
2018-02-06,WOOD,220.0,224.0,210.0,214.0,1963100
2018-02-07,WOOD,216.0,220.0,210.0,216.0,1290500
2018-02-08,WOOD,214.0,220.0,200.0,218.0,318100
2018-02-09,WOOD,216.0,220.0,210.0,210.0,3159000
2018-02-12,WOOD,214.0,234.0,214.0,226.0,7373000
2018-02-13,WOOD,228.0,232.0,224.0,228.0,1678400
2018-02-14,WOOD,228.0,246.0,228.0,240.0,57784200
2018-02-15,WOOD,242.0,268.0,240.0,266.0,34110500
2018-02-16,WOOD,266.0,266.0,266.0,266.0,0
2018-02-19,WOOD,270.0,284.0,258.0,266.0,36801200
2018-02-20,WOOD,264.0,278.0,264.0,264.0,22697500
2018-02-21,WOOD,264.0,270.0,260.0,266.0,15485900
2018-02-22,WOOD,266.0,290.0,266.0,282.0,34368800
2018-02-23,WOOD,284.0,294.0,282.0,282.0,29549300
2018-02-26,WOOD,282.0,302.0,282.0,296.0,61556700
2018-02-27,WOOD,296.0,340.0,296.0,300.0,90126500
2018-02-28,WOOD,306.0,310.0,300.0,304.0,33509000
2018-03-01,WOOD,306.0,306.0,292.0,296.0,20156100
2018-03-02,WOOD,296.0,308.0,294.0,298.0,23598700
2018-03-05,WOOD,298.0,306.0,296.0,296.0,12038000
2018-03-06,WOOD,298.0,304.0,292.0,292.0,17704300
2018-03-07,WOOD,294.0,316.0,292.0,300.0,73738700
2018-03-08,WOOD,302.0,308.0,300.0,300.0,35094200
2018-03-09,WOOD,302.0,304.0,300.0,300.0,19016300
2018-03-12,WOOD,300.0,306.0,296.0,298.0,35162900
2018-03-13,WOOD,298.0,302.0,294.0,296.0,20980800
2018-03-14,WOOD,296.0,298.0,284.0,296.0,21734700
2018-03-15,WOOD,298.0,300.0,292.0,294.0,13884100
2018-03-16,WOOD,294.0,298.0,278.0,290.0,32951700
2018-03-19,WOOD,292.0,294.0,282.0,290.0,18406200
2018-03-20,WOOD,290.0,290.0,286.0,290.0,21018000
2018-03-21,WOOD,290.0,294.0,286.0,288.0,20375500
2018-03-22,WOOD,288.0,292.0,284.0,284.0,14747800
2018-03-23,WOOD,280.0,290.0,276.0,282.0,22512200
2018-03-26,WOOD,280.0,300.0,280.0,298.0,28481700
2018-03-27,WOOD,306.0,326.0,300.0,310.0,85394400
