,Date,Ticker,Open,High,Low,Close,Volume
0,2022-12-21,ARII,302.0,302.0,296.0,300.0,213100
0,2022-12-21,ARKA,50.0,50.0,50.0,50.0,1600
0,2022-12-21,AKRA,1350.0,1380.0,1340.0,1365.0,20629700
0,2022-12-21,TINS,1160.0,1170.0,1160.0,1160.0,3444800
0,2022-12-21,AKPI,1305.0,1310.0,1295.0,1295.0,12900
0,2022-12-21,BBKP,100.0,102.0,98.0,100.0,78540700
0,2022-12-21,MKPI,19900.0,19900.0,18200.0,18200.0,16600
0,2022-12-21,BAUT,50.0,50.0,50.0,50.0,400900
0,2022-12-21,ADCP,67.0,67.0,66.0,66.0,2669800
0,2022-12-21,MEDC,1075.0,1105.0,1070.0,1080.0,22821600
0,2022-12-21,PTPW,905.0,910.0,900.0,910.0,54600
0,2022-12-21,IPCM,274.0,278.0,272.0,274.0,556700
0,2022-12-21,DGIK,108.0,108.0,105.0,106.0,13646000
0,2022-12-21,MARK,615.0,625.0,585.0,585.0,2639200
0,2022-12-21,PNBS,64.0,64.0,61.0,63.0,29687200
0,2022-12-20,AKKU,0.0,50.0,50.0,50.0,0
0,2022-12-21,BINA,3900.0,3910.0,3890.0,3900.0,14000
0,2022-12-21,AGRO,444.0,458.0,444.0,456.0,16041800
0,2022-12-21,BCAP,79.0,80.0,77.0,77.0,14069000
0,2022-12-21,AMIN,109.0,115.0,104.0,108.0,170000
0,2022-12-21,MLBI,8650.0,8650.0,8575.0,8575.0,257700
0,2022-12-21,INDY,2920.0,2930.0,2890.0,2920.0,3511100
0,2022-12-21,BANK,1415.0,1430.0,1380.0,1405.0,16803000
0,2022-12-21,ESSA,985.0,1000.0,930.0,945.0,22710300
0,2022-12-21,BAYU,995.0,995.0,995.0,995.0,100
0,2022-12-21,BBHI,1775.0,1805.0,1775.0,1800.0,611400
0,2022-12-21,APII,199.0,200.0,193.0,195.0,263100
0,2022-12-21,UFOE,246.0,248.0,240.0,242.0,14851200
0,2022-12-21,AISA,153.0,156.0,153.0,154.0,1776900
0,2022-12-21,TECH,4090.0,4090.0,3860.0,3900.0,4368500
0,2022-12-21,SIMP,416.0,420.0,416.0,418.0,296000
0,2022-12-21,BGTG,89.0,90.0,83.0,84.0,14582200
0,2022-12-21,IMAS,895.0,900.0,880.0,900.0,199700
0,2022-12-20,ATPK,194.0,194.0,194.0,194.0,0
0,2022-12-21,BATA,540.0,540.0,515.0,515.0,15000
0,2022-12-21,ASLC,123.0,125.0,122.0,123.0,4764600
0,2022-12-21,PTRO,4050.0,4050.0,4000.0,4020.0,66000
0,2022-12-21,PTPP,705.0,725.0,700.0,720.0,8319800
0,2022-12-21,MYOR,2500.0,2520.0,2440.0,2500.0,2773000
0,2022-12-21,DOID,314.0,318.0,312.0,316.0,4001400
0,2022-12-21,APEX,202.0,206.0,188.0,188.0,982800
0,2022-12-21,ABMM,3430.0,3480.0,3400.0,3450.0,443900
0,2022-12-21,NOBU,570.0,570.0,550.0,555.0,332700
0,2022-12-21,BBSS,70.0,71.0,67.0,69.0,9222800
0,2022-12-21,RAJA,955.0,975.0,945.0,955.0,28230200
0,2022-12-21,WEHA,110.0,113.0,109.0,111.0,4643400
0,2022-12-21,AHAP,79.0,85.0,79.0,81.0,10445800
0,2022-12-21,DEPO,478.0,482.0,476.0,482.0,333300
0,2022-12-21,TOWR,1075.0,1080.0,1065.0,1070.0,26005800
0,2022-12-21,ACES,432.0,440.0,422.0,436.0,58388400
0,2022-12-21,AMFG,5600.0,5650.0,5525.0,5550.0,28200
0,2022-12-21,AMRT,2590.0,2640.0,2550.0,2610.0,8443300
0,2022-12-21,SRTG,2730.0,2730.0,2680.0,2700.0,9510300
0,2022-12-21,MTDL,530.0,550.0,525.0,545.0,1687700
0,2022-12-21,ABBA,154.0,157.0,150.0,151.0,2773100
0,2022-12-21,ARCI,328.0,328.0,320.0,324.0,389800
0,2022-12-21,DSFI,91.0,93.0,91.0,92.0,1151800
0,2022-12-21,BISI,1600.0,1600.0,1570.0,1595.0,314900
0,2022-12-21,BUMI,164.0,167.0,162.0,164.0,345775900
0,2022-12-21,MLPL,115.0,117.0,113.0,114.0,9262100
0,2022-12-21,ADES,7125.0,7400.0,7100.0,7200.0,50500
0,2022-12-21,ATAP,83.0,85.0,82.0,84.0,957500
0,2022-12-20,ASDM,0.0,925.0,925.0,925.0,0
0,2022-12-21,BMRI,10125.0,10125.0,10000.0,10075.0,7443300
0,2022-12-21,AMAR,276.0,276.0,270.0,274.0,14038000
0,2022-12-21,POLL,190.0,196.0,189.0,191.0,2592600
0,2022-12-21,HOMI,428.0,436.0,400.0,400.0,18740100
0,2022-12-21,ARTA,2260.0,2290.0,2260.0,2290.0,6300
0,2022-12-21,BBNI,9500.0,9500.0,9375.0,9450.0,7498300
0,2022-12-21,DAYA,206.0,206.0,206.0,206.0,1000
0,2022-12-21,BBYB,655.0,670.0,620.0,630.0,105535500
0,2022-12-21,BNBR,67.0,68.0,65.0,67.0,38641800
0,2022-12-21,RALS,565.0,575.0,560.0,570.0,1933700
0,2022-12-21,ANJT,645.0,655.0,640.0,650.0,1148200
0,2022-12-21,BRIS,1100.0,1200.0,1100.0,1140.0,56310200
0,2022-12-21,BMHS,418.0,422.0,414.0,416.0,495100
0,2022-12-21,TCPI,8425.0,8525.0,8400.0,8450.0,16821100
0,2022-12-21,BSML,400.0,410.0,400.0,402.0,276400
0,2022-12-21,ASII,5700.0,5725.0,5650.0,5650.0,15539200
0,2022-12-21,AMAG,360.0,362.0,356.0,362.0,52700
0,2022-12-21,AMMS,43.0,46.0,42.0,44.0,2444900
0,2022-12-21,ADRO,3890.0,3930.0,3880.0,3920.0,21917400
0,2022-12-21,ANDI,50.0,50.0,50.0,50.0,3000
0,2022-12-21,SIDO,755.0,765.0,755.0,755.0,10818600
0,2022-12-21,FILM,2030.0,2080.0,2000.0,2070.0,3505300
0,2022-12-21,OKAS,121.0,121.0,112.0,113.0,7852100
0,2022-12-21,PYFA,935.0,975.0,900.0,965.0,109300
0,2022-12-21,ALDO,820.0,820.0,795.0,815.0,52100
0,2022-12-21,AIMS,212.0,212.0,208.0,208.0,500
0,2022-12-21,ISAT,5725.0,5750.0,5625.0,5700.0,800800
0,2022-12-21,BEKS,50.0,50.0,50.0,50.0,30100
0,2022-12-21,AALI,7975.0,8025.0,7950.0,8000.0,165900
0,2022-12-21,BJBR,1345.0,1345.0,1335.0,1340.0,753400
0,2022-12-21,TNCA,332.0,332.0,310.0,312.0,571400
0,2022-12-21,TRIS,186.0,196.0,182.0,188.0,2736000
0,2022-12-21,BNBA,1040.0,1065.0,975.0,980.0,1584400
0,2022-12-21,BKSL,50.0,50.0,50.0,50.0,189000
0,2022-12-21,ALKA,268.0,286.0,268.0,280.0,32700
0,2022-12-21,MMLP,470.0,470.0,446.0,456.0,2802900
0,2022-12-21,KBLI,328.0,330.0,320.0,322.0,1287900
